beta,target,closed_score,axial_score,square_score,cube_score,margin,face_mass,face_occ,inner_r,outer_r,gap,axial_frac,closed_frac,cube_frac,square_frac
0.0,0.75,0.9999999999999607,0.020047408999912943,0.04009481799982571,0.06014222699973881,0.9398577730002218,0.0601422269997388,1.0,10.136567466356647,10.897247358851684,0.7606798924950375,0.0,1.0,0.0,0.0
0.0,0.76,0.9999999999999607,0.020047408999912943,0.04009481799982571,0.06014222699973881,0.9398577730002218,0.0601422269997388,1.0,10.136567466356647,11.105404446502096,0.9688369801454488,0.0,1.0,0.0,0.0
0.0,0.77,0.9999999999999805,0.02190781674740673,0.04381563349481327,0.06572345024222016,0.9342765497577603,0.06572345024222015,1.0000000000000002,10.4708294294219,11.521718621802913,1.0508891923810122,0.0,1.0,0.0,0.0
0.0,0.78,0.9999999999999623,0.023696642983439556,0.047393285966878904,0.07108992895031861,0.9289100710496437,0.07108992895031861,1.0,10.805091392487155,11.521718621802913,0.7166272293157583,0.0,1.0,0.0,0.0
0.0,0.79,0.9999999999999623,0.023696642983439556,0.047393285966878904,0.07108992895031861,0.9289100710496437,0.07108992895031861,1.0,10.805091392487155,11.521718621802913,0.7166272293157583,0.0,1.0,0.0,0.0
1.0,0.75,0.7165497788737223,0.08481435198103053,0.045309678294036926,0.07670151624652993,0.634660949983061,0.11816009188084352,0.7530272794933943,7.641012780252581,10.241840459525356,2.600827679272774,0.08333333333333333,0.9166666666666666,0.0,0.0
1.0,0.76,0.7156947048263164,0.0980556234243069,0.05954029462041018,0.0855232603067194,0.633923589964756,0.13717353780645528,0.760970243895581,7.8728738883815135,9.785853523122068,1.9129796347405543,0.1111111111111111,0.8888888888888888,0.0,0.0
1.0,0.77,0.7413226533088126,0.06835877777371845,0.07621862787313205,0.08389056768124034,0.6508770941653932,0.11553253693953007,0.7979353117165849,7.821072731125028,10.156603082358558,2.3355303512335297,0.027777777777777776,0.9722222222222222,0.0,0.0
1.0,0.78,0.7644677633965773,0.06788875705368157,0.07860254212427989,0.08857335041179393,0.6686675739332463,0.11811207288767976,0.8118598072434028,7.751809924722776,9.971181913620494,2.219371988897718,0.027777777777777776,0.9722222222222222,0.0,0.0
1.0,0.79,0.6774520409383109,0.10450545438245763,0.06203990010602627,0.09028301638319045,0.5808272713692566,0.14515719916941863,0.7322164138800519,7.342370692161016,9.757641537826135,2.4152708456651184,0.1111111111111111,0.8888888888888888,0.0,0.0
1.0,0.8,0.6733013586553191,0.11288865390237642,0.0746256807108407,0.09825519996585903,0.5890280791788468,0.1590089643592523,0.7434051482828452,7.871554971504208,9.889923063773367,2.018368092269157,0.08333333333333333,0.9166666666666666,0.0,0.0
1.0,0.81,0.7209420318535762,0.08656553928488643,0.06871904479800678,0.08619176854540767,0.631674375087321,0.13092941249511292,0.779570911226495,7.782144516454167,10.201033242442215,2.4188887259880474,0.08333333333333333,0.9166666666666666,0.0,0.0
1.0,0.82,0.7088989239103825,0.09161908158169971,0.07460317699541072,0.0928587984268486,0.6056985673066635,0.139536635399752,0.7649533374283011,8.551710821493648,10.269001140275558,1.7172903187819104,0.05555555555555555,0.9444444444444444,0.0,0.0
1.0,0.83,0.6616456479636272,0.1084374134527968,0.06677250378169383,0.09086549709954145,0.5845763034215996,0.1512168910234314,0.7621765439095285,7.545567452296327,10.103295370274141,2.557727917977815,0.08333333333333333,0.9166666666666666,0.0,0.0
1.0,0.84,0.6955640690956046,0.07412041806136876,0.06869407409891459,0.07792685866753658,0.6130968690578044,0.11499952810416543,0.7636534331456183,8.306772956456875,10.358433158703054,2.05166020224618,0.05555555555555555,0.9444444444444444,0.0,0.0
1.0,0.85,0.7495502416793838,0.0737947724607106,0.06359644920210045,0.08074980445531879,0.6756049751785077,0.11508587169363033,0.7951173681104076,8.196255759295079,10.15723822449116,1.960982465196081,0.027777777777777776,0.9722222222222222,0.0,0.0
