geometry,beta,criterion,q_family,dominant_q,n_valid_bands,same_sector_mean,same_shell_mean,deficit_fill_mean,completion_gain_mean,same_sector_outer,same_shell_outer,deficit_fill_outer,completion_gain_outer,outer_level,outer_radius,outer_gap
cubic,0.0,score_q,"1-axis:(1,)",Y1,2,0.964644996201844,0.9741392724233455,-0.0029993736198211073,4.1826140233756914e-06,0.99304561695049,0.9948610927448298,-0.021366183720769587,0.002863206433857339,0.25,9.420721840708387,1.1440036658708426
cubic,0.0,score_iso,"1-axis:(1,)",Y1,2,0.964644996201844,0.9741392724233455,-0.0029993736198211073,4.1826140233756914e-06,0.99304561695049,0.9948610927448298,-0.021366183720769587,0.002863206433857339,0.25,9.420721840708387,1.1440036658708426
cubic,0.0,q_only,"1-axis:(1,)",Y1,2,0.964644996201844,0.9741392724233455,-0.0029993736198211073,4.1826140233756914e-06,0.99304561695049,0.9948610927448298,-0.021366183720769587,0.002863206433857339,0.25,9.420721840708387,1.1440036658708426
cubic,0.0,xyz_only,"1-axis:(1,)",Y1,2,0.964644996201844,0.9741392724233455,-0.0029993736198211073,4.1826140233756914e-06,0.99304561695049,0.9948610927448298,-0.021366183720769587,0.002863206433857339,0.25,9.420721840708387,1.1440036658708426
cubic,1.0,score_q,"1-axis:(1,)",Y1,7,0.9533056365917683,0.9579868220289615,-0.03443016185874699,0.0008780486392968829,0.9998456820302272,0.9998285688402525,-0.05214991565551827,0.00020039954432837966,0.75,11.947803145348521,4.684883622181546
cubic,1.0,score_iso,"1-axis:(1,)",Y1,7,0.9533056365917683,0.9579868220289615,-0.03443016185874699,0.0008780486392968829,0.9998456820302272,0.9998285688402525,-0.05214991565551827,0.00020039954432837966,0.75,11.947803145348521,4.684883622181546
cubic,1.0,q_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,8,0.8319554339227472,0.9843325554762041,-0.01047265940509181,0.005989225949725642,0.864416450900869,0.9805387583616064,0.0028068587203531406,0.00836129321192675,0.15,9.778985563278722,4.2597954690934
cubic,1.0,xyz_only,"1-axis:(1,)",Y1,7,0.9533056365917683,0.9579868220289615,-0.03443016185874699,0.0008780486392968829,0.9998456820302272,0.9998285688402525,-0.05214991565551827,0.00020039954432837966,0.75,11.947803145348521,4.684883622181546
cubic,1.5,score_q,"3-axis:(1, 1, 1)",X1+Y1+Z1,7,0.6703583553738587,0.9449719185801501,-0.012322987521702375,0.0060158556032065495,0.962869878044626,0.9741582582677684,-0.0430683611427083,-0.006295079673855203,0.25,10.598428401095013,3.35284632010676
cubic,1.5,score_iso,"3-axis:(1, 1, 1)",X1+Y1+Z1,7,0.6703583553738587,0.9449719185801501,-0.012322987521702375,0.0060158556032065495,0.962869878044626,0.9741582582677684,-0.0430683611427083,-0.006295079673855203,0.25,10.598428401095013,3.35284632010676
cubic,1.5,q_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,7,0.8072240088692044,0.9795299599913451,0.005826609604687872,0.009463713957487152,0.8001560895823648,0.9964368981226035,0.01168806670898423,0.004589531715307861,0.05,10.394096166519752,4.3211749454341515
cubic,1.5,xyz_only,"3-axis:(1, 1, 1)",X1+Y1+Z1,8,0.8848906066980012,0.9805191677695168,-0.04448224254275332,0.001823150664783615,0.8617925341811691,0.9800194922228094,-0.085773361408564,-0.0009093709955915884,0.65,9.886563301500749,3.232262836700091
cubic,2.0,score_q,"3-axis:(1, 1, 1)",X1+Y1+Z1,9,0.8580928080357363,0.9854749043233048,-0.044617381830149926,-0.0008816321564340708,0.6781155669615121,0.9383798590562755,-0.010342709662319531,-0.003684125993832426,0.05,9.656890715231349,5.637152500115732
cubic,2.0,score_iso,"3-axis:(1, 1, 1)",X1+Y1+Z1,4,0.8150907239997648,0.9611347243769321,0.006793609304065485,0.0004550070032739869,0.8418111048470356,0.9366366179449319,-0.015140635662018401,-0.0038861026252401086,0.25,10.16286444645126,3.5290616561606765
cubic,2.0,q_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,9,0.8479634096166095,0.9804236313245062,-0.04272510142912941,0.003932659087181875,0.9504475402926582,0.9807033144917726,-0.08060836871820755,8.461795316734187e-05,0.05,10.218158847354157,3.7898884189006257
cubic,2.0,xyz_only,"3-axis:(1, 1, 1)",X1+Y1+Z1,4,0.8150907239997648,0.9611347243769321,0.006793609304065485,0.0004550070032739869,0.8418111048470356,0.9366366179449319,-0.015140635662018401,-0.0038861026252401086,0.25,10.16286444645126,3.5290616561606765
cubic,5.0,score_q,"3-axis:(1, 2, 2)",X1+Y2+Z2,5,0.8492921033365247,0.9565691492899099,-0.003876285154586263,0.002623662697178747,0.749646749883938,0.8634750244811191,0.013869035386270906,-0.005855881778882299,0.05,10.596833766682542,4.074180401925145
cubic,5.0,score_iso,"3-axis:(1, 2, 2)",X1+Y2+Z2,5,0.8492921033365247,0.9565691492899099,-0.003876285154586263,0.002623662697178747,0.749646749883938,0.8634750244811191,0.013869035386270906,-0.005855881778882299,0.05,10.596833766682542,4.074180401925145
cubic,5.0,q_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,8,0.740313108894672,0.9791934500143313,-0.016016547871308004,0.008636616179404154,0.8824674803846553,0.9755891278845521,-0.030570410213624784,0.0074861819636235245,0.05,10.179169928788758,3.0373287462615117
cubic,5.0,xyz_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,5,0.8492921033365247,0.9565691492899099,-0.003876285154586263,0.002623662697178747,0.749646749883938,0.8634750244811191,0.013869035386270906,-0.005855881778882299,0.05,10.596833766682542,4.074180401925145
cubic,10.0,score_q,"3-axis:(1, 2, 2)",X1+Y2+Z2,8,0.788589172157764,0.9738472917146849,-0.01856969846388129,0.002602085530957524,0.8021961389799462,0.9440331593946687,-0.02413076417639646,0.007764589434878205,0.05,9.547093651898741,4.428141841248896
cubic,10.0,score_iso,"3-axis:(1, 1, 1)",X1+Y1+Z1,8,0.8018860052179646,0.9706514072595431,-0.016214431452329134,0.004061036181780331,0.6936887423555358,0.8880055328768842,-0.029332382851911164,0.004887280912441794,0.05,9.694667580263427,5.328588930639925
cubic,10.0,q_only,"3-axis:(1, 1, 2)",X1+Y1+Z2,7,0.8120113669137564,0.9809660866893868,-0.025984275897248835,0.005310526792555551,0.9779367030625264,0.9995747959254105,-0.012616857046198436,0.0064828483650163585,0.05,9.152735121984636,3.7140948552010036
cubic,10.0,xyz_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,8,0.788589172157764,0.9738472917146849,-0.01856969846388129,0.002602085530957524,0.8021961389799462,0.9440331593946687,-0.02413076417639646,0.007764589434878205,0.05,9.547093651898741,4.428141841248896
tet_1.05,0.0,score_q,"1-axis:(1,)",Z1,2,0.9646449962018437,0.9741392724233454,-0.0029993736198212512,4.182614023025277e-06,0.9930456169504898,0.9948610927448298,-0.021366183720769812,0.0028632064338573425,0.25,9.420721840708387,1.1440036658708426
tet_1.05,0.0,score_iso,"1-axis:(1,)",Z1,2,0.9646449962018437,0.9741392724233454,-0.0029993736198212512,4.182614023025277e-06,0.9930456169504898,0.9948610927448298,-0.021366183720769812,0.0028632064338573425,0.25,9.420721840708387,1.1440036658708426
tet_1.05,0.0,q_only,"1-axis:(1,)",Z1,2,0.9646449962018437,0.9741392724233454,-0.0029993736198212512,4.182614023025277e-06,0.9930456169504898,0.9948610927448298,-0.021366183720769812,0.0028632064338573425,0.25,9.420721840708387,1.1440036658708426
tet_1.05,0.0,xyz_only,"1-axis:(1,)",Z1,2,0.9646449962018437,0.9741392724233454,-0.0029993736198212512,4.182614023025277e-06,0.9930456169504898,0.9948610927448298,-0.021366183720769812,0.0028632064338573425,0.25,9.420721840708387,1.1440036658708426
tet_1.05,1.0,score_q,"1-axis:(1,)",Z1,5,0.8754746829287292,0.926801263603814,-0.019333196015388847,-0.0005474469119304427,0.8806074443040648,0.9088309904068507,-0.005323151180783553,0.007212359656756713,0.35,9.224897897436414,4.249960711903314
tet_1.05,1.0,score_iso,"1-axis:(1,)",Z1,5,0.8754746829287292,0.926801263603814,-0.019333196015388847,-0.0005474469119304427,0.8806074443040648,0.9088309904068507,-0.005323151180783553,0.007212359656756713,0.35,9.224897897436414,4.249960711903314
tet_1.05,1.0,q_only,"1-axis:(1,)",Z1,9,0.8978196003338711,0.9688890449125306,-0.03477377997936541,0.00014189594734789556,0.7882378304355772,0.8832047253396831,0.0036880722252198364,0.003718866277177792,0.5499999999999999,11.620128893311255,4.123277227899434
tet_1.05,1.0,xyz_only,"1-axis:(1,)",Z1,5,0.8754746829287292,0.926801263603814,-0.019333196015388847,-0.0005474469119304427,0.8806074443040648,0.9088309904068507,-0.005323151180783553,0.007212359656756713,0.35,9.224897897436414,4.249960711903314
tet_1.05,1.5,score_q,"3-axis:(1, 1, 1)",X1+Y1+Z1,7,0.7719061005103678,0.9609314103827833,-0.008184232800446719,0.003977585680843828,0.9536450925076156,0.9662123485149562,-0.03025004160308007,-0.0021616079265203807,0.25,10.883955933044328,4.40165765395353
tet_1.05,1.5,score_iso,"3-axis:(1, 1, 1)",X1+Y1+Z1,7,0.7719061005103678,0.9609314103827833,-0.008184232800446719,0.003977585680843828,0.9536450925076156,0.9662123485149562,-0.03025004160308007,-0.0021616079265203807,0.25,10.883955933044328,4.40165765395353
tet_1.05,1.5,q_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,9,0.7636799152598137,0.9597904505901318,-0.009975133489912713,0.004043470049242268,0.9176971399101831,0.9580668415069434,-0.004178631495221952,0.0016985828754229313,0.15,10.71353000195452,2.82054249407635
tet_1.05,1.5,xyz_only,"3-axis:(1, 1, 1)",X1+Y1+Z1,7,0.7719061005103678,0.9609314103827833,-0.008184232800446719,0.003977585680843828,0.9536450925076156,0.9662123485149562,-0.03025004160308007,-0.0021616079265203807,0.25,10.883955933044328,4.40165765395353
tet_1.05,2.0,score_q,"3-axis:(1, 1, 1)",X1+Y1+Z1,9,0.7982299198613293,0.9666449843662266,-0.03040475298817146,0.0017604481424082373,0.8520119964431841,0.9792256977187853,-0.039561804045055035,-0.0032817158208038348,0.44999999999999996,10.189087147185937,4.10558872585337
tet_1.05,2.0,score_iso,"3-axis:(1, 2, 2)",X1+Y2+Z2,5,0.9014178417297629,0.9196896182297596,-0.0018825701394796501,-0.0033007996080707176,0.9253337654133277,0.9498667120740752,-0.01670064732137606,-0.007182923045818794,0.44999999999999996,11.628239752689314,3.7283477031596712
tet_1.05,2.0,q_only,"3-axis:(1, 1, 2)",X1+Y2+Z1,8,0.8725427915015671,0.9786929330838305,-0.01647893064679751,0.00339213913011062,0.7993648380486064,0.9167550038749926,-0.002197125629329201,0.0010637743878467104,0.05,11.46561123513024,3.7788011245575683
tet_1.05,2.0,xyz_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,5,0.9014178417297629,0.9196896182297596,-0.0018825701394796501,-0.0033007996080707176,0.9253337654133277,0.9498667120740752,-0.01670064732137606,-0.007182923045818794,0.44999999999999996,11.628239752689314,3.7283477031596712
tet_1.05,5.0,score_q,"3-axis:(1, 1, 1)",X1+Y1+Z1,8,0.828182818869571,0.9654016249616808,-0.027514835745191393,0.0016538270043815568,0.7667471315103446,0.8859901602161859,-0.00029216024363126064,-0.0015169881187712276,0.15,10.059783152392892,3.8004747337713463
tet_1.05,5.0,score_iso,"3-axis:(1, 1, 2)",X1+Y1+Z2,6,0.8680599583025086,0.9341392201724529,-0.011951047504050058,0.0005416313301713827,0.8080840272864641,0.8525756419900655,-0.011777231932877393,0.002246048215413448,0.05,11.23514194183676,3.595383247025646
tet_1.05,5.0,q_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,8,0.8281828188695809,0.9654016249616892,-0.027514835745188083,0.0016538270043803007,0.7667471315104312,0.885990160216234,-0.0002921602436606191,-0.0015169881187654163,0.15,10.059783152392892,3.8004747337713463
tet_1.05,5.0,xyz_only,"3-axis:(1, 1, 1)",X1+Y1+Z1,8,0.828182818869571,0.9654016249616808,-0.027514835745191393,0.0016538270043815568,0.7667471315103446,0.8859901602161859,-0.00029216024363126064,-0.0015169881187712276,0.15,10.059783152392892,3.8004747337713463
tet_1.05,10.0,score_q,"3-axis:(1, 2, 2)",X1+Y2+Z2,7,0.8517941672180839,0.9626341671345695,-0.0349490981134177,0.003545277780819938,0.7485177822070065,0.938714599271838,-0.01831332179667013,0.005661570009069918,0.05,9.810897736408627,5.296894934438025
tet_1.05,10.0,score_iso,"3-axis:(1, 1, 1)",X1+Y1+Z1,9,0.8970121206808344,0.9769079233778987,-0.027781700097757076,0.0004454108919050778,0.7730606821347613,0.903822932655782,-0.020691367993507195,0.00567224903709784,0.05,10.816885171304657,2.7025195803037345
tet_1.05,10.0,q_only,"3-axis:(1, 1, 2)",X1+Y2+Z1,7,0.7528548670427133,0.9755042341176651,-0.01788186789824,0.007828123165474241,0.7599784798076106,0.9230713729731868,-0.0026899329750770147,0.010011583085543311,0.05,9.68936944382881,3.0767699887215523
tet_1.05,10.0,xyz_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,7,0.8517941672180839,0.9626341671345695,-0.0349490981134177,0.003545277780819938,0.7485177822070065,0.938714599271838,-0.01831332179667013,0.005661570009069918,0.05,9.810897736408627,5.296894934438025
tet_1.10,0.0,score_q,"1-axis:(1,)",Y1,2,0.9646449962018437,0.9741392724233455,-0.0029993736198211177,4.18261402319528e-06,0.9930456169504895,0.9948610927448296,-0.021366183720769656,0.0028632064338573113,0.25,9.420721840708387,1.1440036658708426
tet_1.10,0.0,score_iso,"1-axis:(1,)",Y1,2,0.9646449962018437,0.9741392724233455,-0.0029993736198211177,4.18261402319528e-06,0.9930456169504895,0.9948610927448296,-0.021366183720769656,0.0028632064338573113,0.25,9.420721840708387,1.1440036658708426
tet_1.10,0.0,q_only,"1-axis:(1,)",Y1,2,0.9646449962018437,0.9741392724233455,-0.0029993736198211177,4.18261402319528e-06,0.9930456169504895,0.9948610927448296,-0.021366183720769656,0.0028632064338573113,0.25,9.420721840708387,1.1440036658708426
tet_1.10,0.0,xyz_only,"1-axis:(1,)",Y1,2,0.9646449962018437,0.9741392724233455,-0.0029993736198211177,4.18261402319528e-06,0.9930456169504895,0.9948610927448296,-0.021366183720769656,0.0028632064338573113,0.25,9.420721840708387,1.1440036658708426
tet_1.10,1.0,score_q,"1-axis:(1,)",Z1,7,0.9165244297536027,0.9554987344241134,-0.02426790229843461,0.0014523221871671958,0.9689819863220458,0.991991608755703,-0.023313010357206728,0.008224102203310253,0.5499999999999999,9.832035009829195,2.8499149879447243
tet_1.10,1.0,score_iso,"1-axis:(1,)",Z1,7,0.9165244297536027,0.9554987344241134,-0.02426790229843461,0.0014523221871671958,0.9689819863220458,0.991991608755703,-0.023313010357206728,0.008224102203310253,0.5499999999999999,9.832035009829195,2.8499149879447243
tet_1.10,1.0,q_only,"1-axis:(1,)",Z1,9,0.8598805401526872,0.9552761279162453,-0.029768209655066206,0.000834101214048488,0.969047181612004,0.978442051637449,-0.02344649794931703,-0.002126630709572296,0.44999999999999996,11.637147013299282,3.1357863597528706
tet_1.10,1.0,xyz_only,"1-axis:(1,)",Z1,7,0.9165244297536027,0.9554987344241134,-0.02426790229843461,0.0014523221871671958,0.9689819863220458,0.991991608755703,-0.023313010357206728,0.008224102203310253,0.5499999999999999,9.832035009829195,2.8499149879447243
tet_1.10,1.5,score_q,"2-axis:(1, 1)",X1+Y1,10,0.8680492594260313,0.9833706948333247,-0.040509976501958464,0.0036912933618402227,0.6910737769027772,0.9540550551154506,0.0026026258187796594,-0.0019408262829448226,0.5499999999999999,10.23860653025921,3.4001807463031692
tet_1.10,1.5,score_iso,"1-axis:(1,)",Z1,7,0.8405197152413574,0.9615440261764492,-0.01927552841314249,0.003230754525872857,0.959977247135561,0.9683682219882447,-0.0380395153270964,-0.0017113137450793254,0.65,11.863810517704673,2.458098951792012
tet_1.10,1.5,q_only,"3-axis:(1, 1, 2)",X1+Y2+Z1,9,0.7059308279176353,0.9511338691289046,0.0016533749742370296,0.003796099149071648,0.9147350456088592,0.9613791384099786,0.013672159330937888,-0.009645027723477726,0.25,10.429734877894703,4.378907810183599
tet_1.10,1.5,xyz_only,"1-axis:(1,)",Z1,7,0.8405197152413574,0.9615440261764492,-0.01927552841314249,0.003230754525872857,0.959977247135561,0.9683682219882447,-0.0380395153270964,-0.0017113137450793254,0.65,11.863810517704673,2.458098951792012
tet_1.10,2.0,score_q,"3-axis:(1, 1, 1)",X1+Y1+Z1,9,0.8532474438283927,0.9706185232775528,-0.02857914804740717,0.0006395340032632242,0.9088068061209027,0.9511350166780032,-0.02341318741276935,-0.004107774473898268,0.25,10.459419013596923,4.157768597294403
tet_1.10,2.0,score_iso,"3-axis:(1, 1, 2)",X1+Y1+Z2,7,0.839450496437962,0.9350375646356534,-0.0030080825397384575,0.001236027719178495,0.9791800661890708,0.9805309481257353,-0.05339518389880597,-0.005980800650946567,0.65,10.956171011390671,3.8635966432834152
tet_1.10,2.0,q_only,"3-axis:(1, 1, 2)",X1+Y2+Z1,8,0.7586361224625569,0.9709412407750317,-0.003923858604181998,0.0025098604030466065,0.8888324037739197,0.9951915096831553,-0.021647520069170298,-0.0021962926739567653,0.05,10.846562428563667,4.317058005194875
tet_1.10,2.0,xyz_only,"3-axis:(1, 1, 2)",X1+Y1+Z2,7,0.839450496437962,0.9350375646356534,-0.0030080825397384575,0.001236027719178495,0.9791800661890708,0.9805309481257353,-0.05339518389880597,-0.005980800650946567,0.65,10.956171011390671,3.8635966432834152
tet_1.10,5.0,score_q,"3-axis:(1, 1, 1)",X1+Y1+Z1,9,0.7845430364011242,0.948422309115045,-0.019049160422918914,0.0034661281509830734,0.817502595576987,0.9020063449851816,-0.0014211427372586988,0.008422110033917237,0.05,9.916888874492207,4.177378926516998
tet_1.10,5.0,score_iso,"3-axis:(1, 1, 1)",X1+Y1+Z1,6,0.8656646742325412,0.9342308694710639,-0.010986954229053244,0.0007409249615732888,0.8027384923158244,0.860310246927485,-0.011687979432611288,0.0032246333050723903,0.05,11.23514194183676,3.8418910207075587
tet_1.10,5.0,q_only,"3-axis:(1, 2, 2)",X1+Y2+Z2,9,0.784543036401124,0.9484223091150449,-0.019049160422919067,0.003466128150983242,0.8175025955769865,0.9020063449851806,-0.0014211427372591845,0.008422110033917346,0.05,9.916888874492205,4.1773789265169965
tet_1.10,5.0,xyz_only,"3-axis:(1, 1, 1)",X1+Y1+Z1,9,0.7845430364011242,0.948422309115045,-0.019049160422918914,0.0034661281509830734,0.817502595576987,0.9020063449851816,-0.0014211427372586988,0.008422110033917237,0.05,9.916888874492207,4.177378926516998
tet_1.10,10.0,score_q,"3-axis:(1, 1, 2)",X1+Y2+Z1,7,0.7949697368212226,0.9641885179792602,-0.0266846895792058,-0.00012956204661072437,0.8151272403559043,0.9010745709387739,-0.026080322473229976,0.002713624612407404,0.05,10.04301352830284,3.7832219140945815
tet_1.10,10.0,score_iso,"3-axis:(1, 1, 1)",X1+Y1+Z1,8,0.9057849897637822,0.9782843445651122,-0.030653385105757266,0.0013756358614339338,0.7466416475669997,0.9086507377345235,-0.018790668848826134,0.007224008035970904,0.05,10.648892239913842,2.852662321179113
tet_1.10,10.0,q_only,"3-axis:(1, 1, 2)",X1+Y2+Z1,7,0.7949697368212226,0.9641885179792602,-0.0266846895792058,-0.00012956204661072437,0.8151272403559043,0.9010745709387739,-0.026080322473229976,0.002713624612407404,0.05,10.04301352830284,3.7832219140945815
tet_1.10,10.0,xyz_only,"3-axis:(1, 1, 2)",X1+Y2+Z1,7,0.7949697368212226,0.9641885179792602,-0.0266846895792058,-0.00012956204661072437,0.8151272403559043,0.9010745709387739,-0.026080322473229976,0.002713624612407404,0.05,10.04301352830284,3.7832219140945815
ortho_1.05_1.20,0.0,score_q,"1-axis:(1,)",Y1,2,0.9646449962018432,0.974139272423345,-0.002999373619820717,4.182614021849135e-06,0.9930456169504895,0.9948610927448298,-0.02136618372076973,0.0028632064338573494,0.25,9.420721840708387,1.1440036658708426
ortho_1.05_1.20,0.0,score_iso,"1-axis:(1,)",Y1,2,0.9646449962018432,0.974139272423345,-0.002999373619820717,4.182614021849135e-06,0.9930456169504895,0.9948610927448298,-0.02136618372076973,0.0028632064338573494,0.25,9.420721840708387,1.1440036658708426
