beta,metric,real,fft_phase_mean,z_vs_fft_phase,exceed_vs_fft_phase,n_sur_valid
0.0,bw_selected,0.005,0.02550385802469136,-1388888892.8728774,0.0,6.055555555555555
0.0,carrier_vs_space_sector,0.011989136463856909,-0.21943566343312154,2.108615204744431,0.9456900352733686,6.055555555555555
0.0,completion_gain,0.0011929868224163928,0.0025584605381277475,-0.5116372078963229,0.42835097001763667,6.055555555555555
0.0,deficit_fill,-0.04613134924625653,-0.005803649616070211,-1.7259242170115667,0.09281305114638448,6.055555555555555
0.0,gap,0.7606798924950375,3.482797453770621,-6.195191395198605,0.0,6.055555555555555
0.0,inner_r,10.136567466356647,5.799579331969214,6.02475929819261,1.0,6.055555555555555
0.0,n_band,72.0,23.203736772486774,13.77228529198068,1.0,6.055555555555555
0.0,outer_r,10.897247358851684,9.282376785739835,3.1210842350166836,0.9918981481481483,6.055555555555555
0.0,same_sector,0.9956119431428873,0.5136871881468866,4.254562168037808,1.0,6.055555555555555
0.0,same_shell,0.9952412279141402,0.9646552482981681,1.0770805483399528,0.8622905643738977,6.055555555555555
1.0,bw_selected,0.006285714285714286,0.01856168831168831,-2.048700758894018,0.016666666666666666,10.285714285714286
1.0,carrier_vs_space_sector,0.001154858517083365,-0.22737224398119615,1.680206224373776,0.867987012987013,10.285714285714286
1.0,completion_gain,0.00047388430059426497,0.0016485571053197943,-0.5136572308925129,0.33955988455988456,10.285714285714286
1.0,deficit_fill,-0.0425701326757314,-0.010865716408645433,-1.1577069827327122,0.20143578643578644,10.285714285714286
1.0,gap,2.724583076164077,3.5200133017656423,-0.9619553450902218,0.2864069264069264,10.285714285714286
1.0,inner_r,7.438308526838286,5.709126433104455,1.7180176703436811,0.8338239538239538,10.285714285714286
1.0,n_band,36.57142857142857,26.425627705627704,1.774846172226666,0.7163419913419913,10.285714285714286
1.0,outer_r,10.162891603002363,9.229139734870097,1.1252184366845985,0.7312193362193362,10.285714285714286
1.0,same_sector,0.8978398485683814,0.4746219661520054,3.1799286862181217,0.9300432900432901,10.285714285714286
1.0,same_shell,0.9730134823874561,0.957808968938527,0.45031549967974127,0.7316666666666667,10.285714285714286
1.5,bw_selected,0.010138888888888888,0.01486405723905724,-0.9447903711503343,0.12836700336700335,11.5
1.5,carrier_vs_space_sector,-0.03465734847808023,-0.16477299135313447,0.9495166444378703,0.711026936026936,11.5
1.5,completion_gain,0.0014800745494219592,0.0014220889534749734,0.7230135898375267,0.35485409652076316,11.5
1.5,deficit_fill,-0.03411637809587893,-0.024873734828133508,-0.3394183663432033,0.35860690235690235,11.5
1.5,gap,2.1133619506348142,3.2501147271800064,-1.2731657714884337,0.22163299663299663,11.5
1.5,inner_r,6.513370814430319,5.907764208854221,0.9029312430648123,0.6298400673400674,11.5
1.5,n_band,47.22222222222222,27.87697109988777,3.0795980358132073,0.7063973063973064,11.5
1.5,outer_r,8.626732765065134,9.157878936034228,-0.2826800656393319,0.48406285072951744,11.5
1.5,same_sector,0.8063975191229451,0.5353690353944222,1.99805714349531,0.7704124579124579,11.5
1.5,same_shell,0.9683676315072292,0.9639124537846206,-0.029088322278450558,0.576753647586981,11.5
2.0,bw_selected,0.006470588235294118,0.013308489304812834,-1.17860949415121,0.030860071301247773,11.617647058823529
2.0,carrier_vs_space_sector,-0.003751834782904189,-0.137567383559279,0.7503716046542314,0.6712344028520498,11.617647058823529
2.0,completion_gain,0.0023996266500114966,0.0012405137471031276,2.9291733436656884,0.48255347593582887,11.617647058823529
