geometry,beta,criterion,metric,real,fft_phase_mean,fft_phase_sd,z_vs_fft_phase,exceed_vs_fft_phase,n_sur_valid
cubic,0.0,score_q,same_sector,0.9956119431428875,0.5211638507537772,0.08420991051938805,5.634112296963451,1.0,7
cubic,0.0,score_q,same_shell,0.9952412279141402,0.9776046189985746,0.018614299184684744,0.9474763857416065,0.7142857142857143,7
cubic,0.0,score_q,deficit_fill,-0.04391338108607501,-0.011670537586182476,0.01931790893604075,-1.669064887145685,0.14285714285714285,7
cubic,0.0,score_q,completion_gain,0.0011929868224164388,0.0032634167130995246,0.005259320574284028,-0.3936686994158504,0.5714285714285714,7
cubic,0.0,score_q,carrier_vs_space_sector,0.011989136463853023,-0.18805711060807134,0.10161073919648062,1.968751026238813,1.0,7
cubic,0.0,score_q,n_band,72.0,21.714285714285715,4.43087497693452,11.348935491854673,1.0,7
cubic,0.0,score_q,inner_r,10.136567466356647,6.035059883985132,0.7680984312373298,5.339820282875799,1.0,7
cubic,0.0,score_q,outer_r,10.897247358851684,9.60660352119559,0.42252568763393983,3.0545925973883157,1.0,7
cubic,0.0,score_q,gap,0.7606798924950375,3.5715436372104596,0.4667957914038195,-6.021613297446711,0.0,7
cubic,0.0,score_q,bw_selected,0.005,0.02142857142857143,0.0034992710611188253,-4.694855338992759,0.0,7
cubic,0.0,score_iso,same_sector,0.9956119431428875,0.5474912302217411,0.14643024470392627,3.06030160520568,1.0,5
cubic,0.0,score_iso,same_shell,0.9952412279141402,0.9582491197670648,0.040538186572470734,0.9125249862874709,0.8,5
cubic,0.0,score_iso,deficit_fill,-0.04391338108607501,-0.025419964582256194,0.03409492038190466,-0.542409728373834,0.4,5
cubic,0.0,score_iso,completion_gain,0.0011929868224164388,0.0017149901862395223,0.0013640081960327156,-0.38269811351475574,0.4,5
cubic,0.0,score_iso,carrier_vs_space_sector,0.011989136463853023,-0.16255488780808386,0.16928818751395708,1.0310466833754448,0.6,5
cubic,0.0,score_iso,n_band,72.0,21.6,6.1838499334961226,8.150262464648383,1.0,5
cubic,0.0,score_iso,inner_r,10.136567466356647,6.155295746233946,0.8327075052540197,4.781116652603512,1.0,5
cubic,0.0,score_iso,outer_r,10.897247358851684,9.389914954560222,0.7298851116116392,2.065163928280573,1.0,5
