geometry,beta,criterion,kind,level,gap,inner_r,outer_r,inner_count,outer_count,same_sector,same_shell,deficit_fill,completion_gain
cubic,0.0,score_q,real,0.05,1.5439582731785277,5.890353084900229,7.434311358078757,192.0,144.0,0.9362443754531979,0.9534174521018614,0.015367436481127372,-0.0028548412058105876
cubic,0.0,score_q,real,0.25,1.1440036658708426,8.276718174837544,9.420721840708387,56.0,48.0,0.99304561695049,0.9948610927448298,-0.021366183720769587,0.002863206433857339
cubic,0.0,score_q,fft_phase_0,0.05,3.678266224295303,5.402479357164841,9.080745581460144,67.0,128.0,0.915371987533779,0.9786100394345149,-0.0012088379712597297,0.0026293854648021774
cubic,0.0,score_q,fft_phase_0,0.15,4.069779742017237,4.815449777828193,8.88522951984543,74.0,111.0,0.8960067341627528,0.9691212762908226,0.00932242695562644,0.005157638693028342
cubic,0.0,score_q,fft_phase_0,0.25,3.3101196954820518,5.48216246152468,8.792282157006731,55.0,91.0,0.8902500081533564,0.9794751317314087,0.01272217146854698,0.00044257783119919236
cubic,0.0,score_q,fft_phase_0,0.35,4.183908142471791,4.796843593567461,8.980751736039252,29.0,70.0,0.8399169057091391,0.9853757047584253,-0.005411141630220162,0.008543285157066243
cubic,0.0,score_q,fft_phase_0,0.44999999999999996,3.6448023225593325,6.283627454351626,9.928429776910958,42.0,31.0,0.7353711272969276,0.9637909569729288,0.005913062095124148,0.003087329029490214
cubic,0.0,score_q,fft_phase_0,0.5499999999999999,3.031050598507063,7.143548056027763,10.174598654534826,20.0,21.0,0.7570189668470623,0.995056962453192,-0.007387590138484605,-0.0005552138164232577
cubic,0.0,score_q,fft_phase_1,0.05,3.491836572989416,5.669278735988086,9.161115308977502,90.0,125.0,0.911042014432532,0.9841108323232247,0.0019425738618135471,0.003980149428981585
cubic,0.0,score_q,fft_phase_1,0.15,3.870105730559928,5.555428005412972,9.4255337359729,91.0,105.0,0.9534535875020973,0.9872975528248465,-0.007411081627329341,0.0017990114228293268
