beta,metric,real,fft_phase_mean,z_vs_fft_phase,exceed_vs_fft_phase
0.0,completion_gain_mean,4.182614021037477e-06,0.00495579809079182,-3.0516279244093814,0.003472222222222222
0.0,completion_gain_outer,0.0028632064338571014,0.0038012349263344147,-0.25189746058344864,0.4513888888888889
0.0,deficit_fill_mean,-0.0029993736198218484,0.000728092055936186,-0.9070437498569937,0.23958333333333334
0.0,deficit_fill_outer,-0.021366183720771068,0.00013317806139003365,-1.8253029277659998,0.0625
0.0,n_valid_bands,2.0,5.9375,-111111111118.41063,0.0
0.0,outer_gap,1.1440036658708426,3.6310318846798046,-7.826904691847618,0.0
0.0,outer_radius,9.420721840708387,9.673380923059739,-0.9760476819156888,0.1840277777777778
0.0,same_sector_mean,0.9646449962018432,0.8295059665425568,4.986896008228875,1.0
0.0,same_sector_outer,0.9930456169504898,0.7850102674585786,1.8343311666143636,1.0
0.0,same_shell_mean,0.9741392724233451,0.979098769025073,-1.0797896946157886,0.17708333333333334
0.0,same_shell_outer,0.9948610927448299,0.966002196347056,1.5536001175042022,0.9791666666666666
1.0,completion_gain_mean,0.0007033333973472636,0.005210529889457241,-2.6958226089248973,0.08680555555555555
1.0,completion_gain_outer,0.0017992437533658266,0.0036942725891719866,-0.458858339163686,0.3645833333333333
1.0,deficit_fill_mean,-0.024347818092815752,-7.399452726658166e-05,-4.771877420291428,0.04861111111111111
1.0,deficit_fill_outer,-0.027031597222469367,-0.00094785331479527,-1.990898892248313,0.1875
1.0,n_valid_bands,8.0,6.791666666666667,27777777779.588448,0.7534722222222222
1.0,outer_gap,3.859978272084381,3.663366276767009,0.9549044193789725,0.5277777777777778
1.0,outer_radius,10.871853543917664,9.806145667192636,3.8547321611502365,0.8680555555555556
1.0,same_sector_mean,0.877432068683166,0.7788769294370748,3.2781686986904344,0.9652777777777778
1.0,same_sector_outer,0.9013687267011401,0.7371847170176592,1.2276089228366425,0.8819444444444444
1.0,same_shell_mean,0.9605298206456807,0.9757253699819075,-2.2057034433100995,0.1597222222222222
1.0,same_shell_outer,0.9692860185020442,0.9530417036387813,0.32650141476671785,0.6840277777777778
1.5,completion_gain_mean,0.003281859544234681,0.004569897698547618,-0.7397859922217176,0.3333333333333333
1.5,completion_gain_outer,0.00042660376783333127,0.003721187922739166,-0.943753068391253,0.2986111111111111
1.5,deficit_fill_mean,-0.01200170146452204,-0.009315306087534092,-1.0872540002343947,0.4618055555555556
1.5,deficit_fill_outer,-0.024040035228708054,-0.010174257591830903,-0.8617321641740333,0.3090277777777778
1.5,n_valid_bands,7.611111111111111,7.555555555555555,-0.013658555599849884,0.3263888888888889
1.5,outer_gap,3.2220910662267976,3.5604122102089244,-0.9562494097918213,0.3368055555555556
1.5,outer_radius,10.785991170173832,9.944054555715969,2.72212386614152,0.9375
1.5,same_sector_mean,0.7844010858959422,0.7598572489111375,0.4645194693305239,0.6215277777777778
1.5,same_sector_outer,0.8677103808617189,0.70755517554155,1.3907696804188712,0.8402777777777778
1.5,same_shell_mean,0.960659574438832,0.9762112847321652,-3.0464842996498533,0.14930555555555555
1.5,same_shell_outer,0.9648552382781603,0.9557222846686554,0.2095374433909627,0.5763888888888888
2.0,completion_gain_mean,0.001978498766188824,0.004937979980505988,-1.8246438382376968,0.2048611111111111
2.0,completion_gain_outer,0.0006502854026756587,0.003555794088941875,-0.715012619297295,0.3506944444444444
2.0,deficit_fill_mean,-0.011401935531196913,-0.005892445292274503,-1.290407817343349,0.3159722222222222
2.0,deficit_fill_outer,-0.013114900666567172,-0.007735590400564023,-0.3761616822247299,0.4444444444444444
2.0,n_valid_bands,7.833333333333333,7.305555555555555,1.0486703687936993,0.5625
2.0,outer_gap,3.894352376358744,3.5786512929555454,0.4777655370708437,0.6180555555555556
2.0,outer_radius,10.646339069101773,9.878184412153987,2.7737231667721463,0.8541666666666666
2.0,same_sector_mean,0.8164900708975749,0.7645276399973973,1.4311608081633436,0.7569444444444444
2.0,same_sector_outer,0.8193141970126832,0.7157708698061147,0.6852384739814531,0.6875
2.0,same_shell_mean,0.9604813965115547,0.9760047260896779,-3.3882138649665716,0.2048611111111111
2.0,same_shell_outer,0.9504035591417563,0.9548957224416659,-0.3837737973166709,0.4479166666666667
5.0,completion_gain_mean,0.0036016718573945745,0.005480985567458365,-1.0867830140630348,0.25
5.0,completion_gain_outer,0.0035394306286781843,0.0039146887084168846,-0.03784482890897725,0.5034722222222222
5.0,deficit_fill_mean,-0.011533457420133005,-0.00013117895779666424,-1.8016307557917206,0.2048611111111111
5.0,deficit_fill_outer,-0.00102405452462917,-0.001061900347422735,0.02464631089970973,0.5243055555555556
5.0,n_valid_bands,7.138888888888889,7.732638888888889,-1.0613287181509947,0.2222222222222222
5.0,outer_gap,3.638486594724581,3.7030198257315283,0.004959056965125047,0.5
5.0,outer_radius,10.354982158557586,9.915606367161395,1.4771721188934313,0.8159722222222222
5.0,same_sector_mean,0.8292693202044842,0.7450451047547597,1.8504937482433117,0.8402777777777778
5.0,same_sector_outer,0.7823466898233221,0.6874138299736154,0.5394092323676688,0.6284722222222222
5.0,same_shell_mean,0.9541916326545853,0.9750504643021886,-2.8732322640927834,0.09027777777777778
5.0,same_shell_outer,0.8834288534156765,0.9523594719399937,-2.807316887913617,0.14583333333333334
10.0,completion_gain_mean,0.0035653465555099246,0.004880985867332836,-0.6877709579295087,0.3125
10.0,completion_gain_outer,0.005062206618784852,0.0028743785518247585,0.5595076314914694,0.6666666666666666
10.0,deficit_fill_mean,-0.017041576314576576,0.003797744977140972,-3.609240574051815,0.15625
10.0,deficit_fill_outer,-0.007179598435823831,0.002713808523829235,-0.5215068251464404,0.3263888888888889
10.0,n_valid_bands,7.277777777777778,7.944444444444445,-1.0405440318696395,0.19791666666666666
10.0,outer_gap,3.3752567757622205,3.5881951241506593,-0.7670555632275516,0.4201388888888889
10.0,outer_radius,10.092913282797479,9.908625915377511,0.6881748093825872,0.6180555555555556
10.0,same_sector_mean,0.8260256095626126,0.73407275923744,2.5646730744146375,0.8819444444444444
10.0,same_sector_outer,0.7651829915524027,0.6913619070780963,0.5045767452431398,0.5798611111111112
10.0,same_shell_mean,0.9596494038838065,0.972998818237763,-1.68410203553518,0.2326388888888889
10.0,same_shell_outer,0.9063606449538207,0.9480728589248142,-1.6186835951914953,0.2222222222222222
