beta,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
0.0,0.75,0.9956119431428873,0.011989136463853677,621593632588.1146,305307206285.5297,463450419436.8221,1.0,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
1.0,0.85,0.9035203707347318,0.005881946089014142,511347627345.55914,286802951414.7017,399075289380.13043,1.0,0.007242424242424243,8.179812348310405,10.125718917855542,1.945906569545136
1.5,0.8,0.9175707159301607,0.05326076233072473,240827780267.91705,135028171769.27744,187927976018.59723,0.8875,0.006500000000000001,6.85739802527768,8.50363479075334,1.6462367654756598
2.0,0.77,0.8461104117687032,0.025634848088554634,83165567888.45294,27809142647.631413,55487355268.04218,0.8804347826086957,0.0055000000000000005,6.485949832481716,8.674874047165888,2.1889242146841714
5.0,0.81,0.8893826382231906,0.013360036646774452,118855787674.9085,73887987620.09726,96371887647.50288,0.9553571428571429,0.0074516129032258065,5.3492793366876406,7.502586505133486,2.1533071684458456
10.0,0.79,0.8942177068627396,0.09248317403035371,76028110236.57655,43219690473.89793,59623900355.23724,0.96875,0.0074444444444444445,5.469496552887435,6.810629641278615,1.3411330883911798
