geometry,beta,criterion,kind,valid,target,bw,n_band,inner_count,outer_count,inner_r,outer_r,gap,same_sector,same_shell,deficit_fill,completion_gain,carrier_vs_space_sector,bw_selected
tet_1.10,1.0,q_only,fft_phase_0,True,0.75,0.01,40.0,14.0,26.0,3.8703015031681716,8.84298493329783,4.972683430129658,0.3400047149394075,0.9171191685583259,-0.017064619431360038,0.00027594038105329007,-0.3204521332493953,0.01
tet_1.10,1.0,q_only,fft_phase_1,True,0.75,0.005,39.0,22.0,17.0,6.958810873255837,9.590743353487317,2.6319324802314803,0.7433568856784397,0.9277100461727511,-0.0016169097673248284,0.0005002740125981155,-0.10738261093613422,0.005
tet_1.10,1.0,q_only,fft_phase_2,True,0.75,0.01,64.0,19.0,45.0,4.7757327316723055,8.715086051213644,3.939353319541339,0.5560104884901499,0.9840848138760876,-0.011402686720100062,0.0019128508683538988,-0.1879216011416185,0.01
tet_1.10,1.0,q_only,fft_phase_3,True,0.75,0.01,44.0,19.0,25.0,6.045499135172758,9.56752469981161,3.5220255646388523,0.5693877802784719,0.9688317435395978,-0.041832728318867585,0.001486202499017609,-0.11089294645767478,0.01
tet_1.10,1.0,q_only,fft_phase_4,True,0.75,0.005,30.0,15.0,15.0,6.20153417642861,9.405144561038432,3.2036103846098216,0.7274279855451592,0.9495247625476967,-0.06645457605350523,1.5993186436233917e-05,0.04612333074665409,0.005
tet_1.10,1.0,q_only,fft_phase_5,True,0.75,0.005,32.0,14.0,18.0,5.941058415566411,9.437781849722148,3.4967234341557374,0.3242121893529826,0.9194515850281647,0.02784581918822454,0.0037345398746115237,-0.4842894051103583,0.005
tet_1.10,1.0,q_only,fft_phase_6,True,0.75,0.005,30.0,12.0,18.0,3.7703996451204826,9.778289658014605,6.007890012894123,0.35921523664423,0.969965240835232,0.04225643731848222,0.006389982761807944,-0.3808998509787466,0.005
tet_1.10,1.0,q_only,fft_phase_7,True,0.75,0.005,31.0,13.0,18.0,5.073807111162887,9.37531815339099,4.301511042228103,0.5294278624603719,0.9981654665059555,0.013163019574880704,0.001959036768204821,-0.28301758765421003,0.005
tet_1.10,1.0,q_only,fft_phase_8,True,0.75,0.01,48.0,18.0,30.0,3.8263197524359023,10.189156795229367,6.3628370427934655,0.478010583373504,0.896349206076601,0.02987272337057376,0.009438926513768209,-0.26402875658936686,0.01
tet_1.10,1.0,q_only,fft_phase_9,True,0.75,0.005,23.0,13.0,10.0,5.2008684634526015,10.929052654160277,5.728184190707675,0.31923042608828456,0.9131927587664344,0.02938489512673577,6.551212071792302e-05,-0.2378228445008197,0.005
tet_1.10,1.0,q_only,fft_phase_10,True,0.75,0.005,25.0,10.0,15.0,6.826880066728319,9.311918005020322,2.4850379382920034,0.6897217941952357,0.9396473303729109,-0.03067320697899445,0.0013367644270964746,0.007187543857361978,0.005
tet_1.10,1.0,q_only,fft_phase_11,True,0.75,0.01,46.0,16.0,30.0,3.609093500214062,10.804416516455152,7.19532301624109,0.22470615942681862,0.9442989757191621,0.015899162100482252,0.0017550220226321559,-0.5178884942248639,0.01
tet_1.10,1.0,xyz_only,real,True,0.75,0.01,40.0,16.0,24.0,7.262919523166975,9.746473203713036,2.483553680546061,0.9919641222123445,0.9958406953699241,-0.04497916494536823,-0.0006101273350640393,0.03241325609149337,0.01
tet_1.10,1.0,xyz_only,fft_phase_0,True,0.75,0.02,18.0,10.0,8.0,7.444998421620762,10.260275332549593,2.815276910928831,0.3389230090635914,0.943912635759256,-0.00024311033255409314,0.0013932566405225248,-0.360603443708192,0.02
tet_1.10,1.0,xyz_only,fft_phase_1,True,0.75,0.02,21.0,12.0,9.0,6.034848293050679,9.866506004597047,3.8316577115463684,0.34138220248082884,0.9172753538691307,-2.1879209083565387e-05,0.0002751332226864729,-0.341225557200465,0.02
tet_1.10,1.0,xyz_only,fft_phase_2,True,0.75,0.02,20.0,10.0,10.0,5.228309612532396,8.547423168599098,3.3191135560667018,0.5090292532040616,0.9989600586714839,-0.019442174275802436,4.13143099306015e-05,-0.21715716631305182,0.02
tet_1.10,1.0,xyz_only,fft_phase_3,True,0.75,0.02,16.0,8.0,8.0,6.621628200279142,9.269620885486866,2.647992685207724,0.5421387382346506,0.9662165628128192,0.0018704703453238589,-0.0001829638037742388,-0.11951669615647509,0.02
tet_1.10,1.0,xyz_only,fft_phase_4,False,,,,,,,,,,,,,,
tet_1.10,1.0,xyz_only,fft_phase_5,True,0.75,0.01,16.0,8.0,8.0,4.865020749430365,9.731821836974929,4.866801087544563,0.6468719110880301,0.9372964928316873,-0.018944165548153133,-9.871365900514576e-05,-0.09074036505261474,0.01
tet_1.10,1.0,xyz_only,fft_phase_6,True,0.75,0.02,17.0,8.0,9.0,5.336362467940296,8.253274133062787,2.916911665122491,0.6262397247872341,0.9976125910839663,-0.030967496415817492,0.0018328235099032693,-0.05860425971357408,0.02
tet_1.10,1.0,xyz_only,fft_phase_7,True,0.75,0.03,34.0,15.0,19.0,7.054281637217942,10.58668293992387,3.532401302705928,0.4586550811545193,0.8717927210041544,0.00044957559154130966,0.005230355471322116,-0.15701326280640576,0.03
tet_1.10,1.0,xyz_only,fft_phase_8,False,,,,,,,,,,,,,,
tet_1.10,1.0,xyz_only,fft_phase_9,True,0.75,0.03,24.0,12.0,12.0,7.020502487872985,9.984089541049439,2.963587053176454,0.6042781103112795,0.9362757538339594,-0.018268751147982376,-0.0002395239432146508,-0.1460261662243577,0.03
tet_1.10,1.0,xyz_only,fft_phase_10,True,0.75,0.02,27.0,9.0,18.0,4.802745303886442,8.95220389642826,4.149458592541818,0.3690088644670983,0.9611546183405336,0.006353425109469499,0.0029449285935976943,-0.3846439161600897,0.02
tet_1.10,1.0,xyz_only,fft_phase_11,True,0.75,0.02,30.0,15.0,15.0,7.586545703419033,10.200222902088301,2.6136771986692677,0.6093390829373715,0.9517359562510476,-0.006131449579287414,0.0031553741609010293,-0.14744082405374903,0.02
tet_1.10,1.5,score_q,real,True,0.75,0.005,24.0,12.0,12.0,6.685112873500252,9.471018613793683,2.7859057402934315,0.4119465832180148,0.8895074661809905,-0.022206521333941943,0.002773346682616566,-0.3528159563768879,0.005
tet_1.10,1.5,score_q,fft_phase_0,True,0.75,0.01,24.0,8.0,16.0,4.905637086170667,8.809608317152115,3.9039712309814485,0.43841503588763486,0.970564542019324,0.027521659093401252,0.0033355892763853425,-0.28535780379736664,0.01
tet_1.10,1.5,score_q,fft_phase_1,True,0.75,0.01,16.0,8.0,8.0,6.670596706681314,11.211404944430768,4.540808237749454,0.3270022136883636,0.8288258948173575,-0.02196651282803989,-0.00011276107687455727,-0.30123978074109314,0.01
tet_1.10,1.5,score_q,fft_phase_2,True,0.75,0.02,21.0,11.0,10.0,5.498300748183083,7.859181475586448,2.360880727403365,0.631603176132155,0.9986362481499896,-0.06282481460259426,8.061913165209166e-05,-0.009251703904648023,0.02
tet_1.10,1.5,score_q,fft_phase_3,True,0.75,0.02,30.0,11.0,19.0,5.465965581885299,9.20480847071608,3.7388428888307805,0.4329931856366852,0.978246419044472,-0.02424332150095097,0.0012373072795946018,-0.23705190808533982,0.02
tet_1.10,1.5,score_q,fft_phase_4,True,0.75,0.02,24.0,13.0,11.0,6.731802493148251,8.598550102497072,1.8667476093488204,0.49890350132175926,0.9806530093241828,-0.01746332704715164,0.0015700326920547042,-0.24820975867428569,0.02
tet_1.10,1.5,score_q,fft_phase_5,True,0.75,0.01,22.0,9.0,13.0,7.295668331324567,10.90600378131364,3.6103354499890727,0.5319263198531247,0.8715933490615526,-0.02128204884914174,0.0007546388001111902,-0.17915592320524143,0.01
tet_1.10,1.5,score_q,fft_phase_6,True,0.75,0.02,43.0,12.0,31.0,4.995888789852185,8.692876109950404,3.696987320098219,0.6168982915682769,0.9721720996109505,-0.02410506466858924,0.0007763138999628182,-0.19341646901906084,0.02
tet_1.10,1.5,score_q,fft_phase_7,True,0.75,0.02,22.0,10.0,12.0,6.0461641312555034,7.387128048371294,1.3409639171157908,0.907025435558258,0.9993992253718829,-0.07907984451273548,0.00011289816081305678,0.11802603446633164,0.02
tet_1.10,1.5,score_q,fft_phase_8,True,0.75,0.02,34.0,17.0,17.0,5.62188660424105,7.956622019508194,2.3347354152671436,0.37077778205006373,0.995294204368391,-0.025647875519554258,0.002913590614258708,-0.3492394217919753,0.02
tet_1.10,1.5,score_q,fft_phase_9,True,0.75,0.02,24.0,13.0,11.0,4.6678398379968975,7.547275046618091,2.879435208621193,0.19650314532939572,0.9334573098281564,0.030124595553843527,0.0007076671660160484,-0.36512318845332103,0.02
tet_1.10,1.5,score_q,fft_phase_10,True,0.75,0.01,20.0,10.0,10.0,6.271929842228893,9.136606584249305,2.8646767420204124,0.6822505474337469,0.957414321689873,-0.02217023848659564,0.000784272094138156,-0.07144295675389767,0.01
