beta,target,closed_score,axial_score,square_score,cube_score,margin,face_mass,face_occ,inner_r,outer_r,gap,axial_frac,closed_frac,cube_frac,square_frac
0.0,0.05,0.9999999999998848,0.05717382399529728,0.11434764799059367,0.171521471985891,0.8284785280139937,0.171521471985891,1.0,5.722979271763569,7.92148975887743,2.19851048711386,0.0,1.0,0.0,0.0
0.0,0.06,0.9999999999998332,0.06776301117385995,0.1355260223477176,0.2032890335215785,0.7967109664782547,0.2032890335215785,1.0,7.060740418116865,8.2915619758885,1.2308215577716357,0.0,1.0,0.0,0.0
0.0,0.07,0.9999999999997866,0.11854947097071133,0.23709894194141878,0.3556484129121296,0.6443515870876569,0.35564841291212956,1.0,5.43492512340445,7.522696591632467,2.0877714682280173,0.0,1.0,0.0,0.0
0.0,0.08,0.9999999999998759,0.12031081368228182,0.24062162736455564,0.3609324410468394,0.6390675589530365,0.3609324410468394,1.0,7.475284811236189,8.645034394291804,1.1697495830556148,0.0,1.0,0.0,0.0
0.0,0.09,0.99999999999983,0.0369990095057861,0.07399801901157095,0.1109970285173578,0.8890029714824722,0.11099702851735778,1.0000000000000002,4.55521678957215,9.205976319760984,4.650759530188834,0.0,1.0,0.0,0.0
0.0,0.1,0.9999999999998804,0.0548077353118622,0.10961547062372373,0.1644232059355857,0.8355767940642946,0.1644232059355857,1.0,5.214506129030432,10.164329068383147,4.949822939352715,0.0,1.0,0.0,0.0
0.0,0.11,0.9999999999991616,0.018792792376208935,0.03758558475241748,0.0563783771286268,0.9436216228705346,0.0563783771286268,1.0,4.330127018922194,5.298615170385969,0.9684881514637755,0.0,1.0,0.0,0.0
0.0,0.12,0.9999999999997495,0.029487463449845232,0.05897492689968981,0.08846239034953549,0.9115376096502141,0.08846239034953549,1.0,5.172040216394301,6.224949798994366,1.0529095826000656,0.0,1.0,0.0,0.0
0.0,0.13,0.999999999999939,0.09928977262777788,0.198579545255551,0.2978693178833302,0.7021306821166088,0.2978693178833302,1.0,6.674426611690936,8.04673846971554,1.372311858024605,0.0,1.0,0.0,0.0
0.0,0.14,0.9999999999997927,0.02469161994345765,0.049383239886914634,0.07407485983037261,0.92592514016942,0.07407485983037261,1.0,4.9749371855331,8.04673846971554,3.071801284182441,0.0,1.0,0.0,0.0
0.0,0.15,0.9999999999997927,0.02469161994345765,0.049383239886914634,0.07407485983037261,0.92592514016942,0.07407485983037261,1.0,4.9749371855331,5.894913061275798,0.9199758757426978,0.0,1.0,0.0,0.0
0.0,0.16,0.9999999999999507,0.035337820830313595,0.07067564166062656,0.10601346249094043,0.8939865375090102,0.10601346249094042,1.0,5.621881219803623,6.996791149778005,1.3749099299743817,0.0,1.0,0.0,0.0
0.0,0.17,0.99999999999983,0.04035653918719392,0.08071307837438714,0.1210696175615812,0.8789303824382488,0.1210696175615812,1.0,5.722761571129799,6.639145525190222,0.9163839540604233,0.0,1.0,0.0,0.0
0.0,0.18,0.9999999999998317,0.03217968432373325,0.06435936864746618,0.09653905297119958,0.9034609470286319,0.09653905297119958,1.0,6.5383484153110105,7.533259586659682,0.9949111713486715,0.0,1.0,0.0,0.0
0.0,0.19,0.999999999999846,0.021847042363051145,0.04369408472610194,0.06554112708915333,0.9344588729106929,0.06554112708915334,1.0,5.545268253204709,8.411301920630361,2.8660336674256524,0.0,1.0,0.0,0.0
0.0,0.2,0.999999999999851,0.06138230441737905,0.12276460883475623,0.18414691325213628,0.8158530867477147,0.18414691325213628,1.0,6.5383484153110105,7.262919523166975,0.7245711078559642,0.0,1.0,0.0,0.0
0.0,0.21,0.9999999999999507,0.053644505374469985,0.10728901074893897,0.16093351612340945,0.8390664838765414,0.16093351612340945,1.0,7.308387779936106,8.04673846971554,0.738350689779435,0.0,1.0,0.0,0.0
0.0,0.22,0.9999999999999647,0.0716672944203551,0.14333458884070838,0.21500188326106406,0.7849981167389006,0.21500188326106406,1.0,7.946090802198487,8.874119674649423,0.9280288724509358,0.0,1.0,0.0,0.0
0.0,0.23,0.9999999999999366,0.028204214180077347,0.05640842836015428,0.08461264254023187,0.9153873574597048,0.08461264254023187,1.0,6.224949798994366,8.556576369392092,2.3316265703977255,0.0,1.0,0.0,0.0
0.0,0.24,0.9999999999999366,0.028204214180077347,0.05640842836015428,0.08461264254023187,0.9153873574597048,0.08461264254023187,1.0,6.224949798994366,8.645808232895291,2.420858433900925,0.0,1.0,0.0,0.0
0.0,0.25,0.9999999999999489,0.034798039755798794,0.0695960795115972,0.10439411926739622,0.8956058807325525,0.10439411926739622,1.0,8.276718174837544,9.420721840708387,1.1440036658708426,0.0,1.0,0.0,0.0
0.0,0.26,0.9999999999999518,0.038130452665520204,0.0762609053310399,0.1143913579965604,0.8856086420033914,0.1143913579965604,1.0,6.850699708256842,9.420721840708387,2.5700221324515446,0.0,1.0,0.0,0.0
0.0,0.27,0.9999999999999442,0.041250075494056626,0.08250015098811267,0.12375022648216964,0.8762497735177746,0.12375022648216961,1.0,6.98212002188447,9.313968005098578,2.331847983214108,0.0,1.0,0.0,0.0
0.0,0.28,0.9999999999998964,0.02578853427646037,0.05157706855292046,0.07736560282938103,0.9226343971705153,0.07736560282938103,1.0,6.837397165588672,10.037429949942366,3.200032784353694,0.0,1.0,0.0,0.0
0.0,0.29,0.9999999999999483,0.058101382232233295,0.11620276446446587,0.17430414669669952,0.8256958533032488,0.17430414669669952,1.0,7.794228634059948,10.712142642814275,2.9179140087543267,0.0,1.0,0.0,0.0
0.0,0.3,0.9999999999999505,0.07615557872573792,0.15231115745147494,0.22846673617721322,0.7715332638227372,0.22846673617721322,1.0,8.645808232895291,10.712142642814275,2.0663344099189835,0.0,1.0,0.0,0.0
0.0,0.31,0.9999999999999061,0.021854363474025293,0.043708726948050364,0.06556309042207584,0.9344369095778302,0.06556309042207585,1.0,6.689544080129826,8.645808232895291,1.956264152765465,0.0,1.0,0.0,0.0
0.0,0.32,0.9999999999999061,0.021854363474025293,0.043708726948050364,0.06556309042207584,0.9344369095778302,0.06556309042207585,1.0,6.689544080129826,7.533259586659682,0.8437155065298558,0.0,1.0,0.0,0.0
0.0,0.33,0.9999999999999061,0.021854363474025293,0.043708726948050364,0.06556309042207584,0.9344369095778302,0.06556309042207585,1.0,6.689544080129826,7.533259586659682,0.8437155065298558,0.0,1.0,0.0,0.0
0.0,0.34,0.9999999999999696,0.030700083445976183,0.06140016689195211,0.09210025033792844,0.9078997496620411,0.09210025033792846,1.0,7.488614488931246,8.2915619758885,0.8029474869572546,0.0,1.0,0.0,0.0
0.0,0.35,0.9999999999999175,0.030439766145666607,0.0608795322913329,0.09131929843699971,0.9086807015629178,0.09131929843699971,1.0,7.399324293474371,8.2915619758885,0.8922376824141295,0.0,1.0,0.0,0.0
0.0,0.36,0.9999999999999175,0.030439766145666607,0.0608795322913329,0.09131929843699971,0.9086807015629178,0.09131929843699971,1.0,7.399324293474371,8.2915619758885,0.8922376824141295,0.0,1.0,0.0,0.0
0.0,0.37,0.9999999999999206,0.028723514484924037,0.0574470289698478,0.086170543454772,0.9138294565451486,0.086170543454772,1.0,8.170067319184096,9.096702699330127,0.9266353801460312,0.0,1.0,0.0,0.0
0.0,0.38,0.9999999999999228,0.02066271025908488,0.04132542051816955,0.06198813077725461,0.9380118692226682,0.061988130777254596,1.0000000000000002,7.262919523166975,8.170067319184096,0.9071477960171208,0.0,1.0,0.0,0.0
0.0,0.39,0.9999999999999228,0.02066271025908488,0.04132542051816955,0.06198813077725461,0.9380118692226682,0.061988130777254596,1.0000000000000002,7.262919523166975,8.170067319184096,0.9071477960171208,0.0,1.0,0.0,0.0
0.0,0.4,0.9999999999999242,0.04314451740713247,0.08628903481426436,0.12943355222139705,0.8705664477785271,0.12943355222139705,1.0,8.170067319184096,8.91144657570152,0.7413792565174244,0.0,1.0,0.0,0.0
0.0,0.41,0.9999999999999754,0.04116581944402371,0.08233163888804691,0.12349745833207086,0.8765025416679044,0.12349745833207086,1.0,8.91144657570152,9.63068014212911,0.7192335664275902,0.0,1.0,0.0,0.0
0.0,0.42,0.999999999999985,0.03416898227901329,0.06833796455802618,0.10250694683703968,0.8974930531629453,0.10250694683703966,1.0,8.515463848971883,9.595879908629017,1.080416059657134,0.0,1.0,0.0,0.0
0.0,0.43,0.9999999999999655,0.024494769087754754,0.04898953817550926,0.07348430726326417,0.9265156927367012,0.07348430726326417,1.0,7.92148975887743,9.526279441628825,1.6047896827513952,0.0,1.0,0.0,0.0
0.0,0.44,0.9999999999999655,0.024494769087754754,0.04898953817550926,0.07348430726326417,0.9265156927367012,0.07348430726326417,1.0,7.92148975887743,9.526279441628825,1.6047896827513952,0.0,1.0,0.0,0.0
0.0,0.45,0.9999999999999655,0.024494769087754754,0.04898953817550926,0.07348430726326417,0.9265156927367012,0.07348430726326417,1.0,7.92148975887743,9.998589644029183,2.077099885151754,0.0,1.0,0.0,0.0
0.0,0.46,0.9999999999999729,0.03056802491648906,0.06113604983297774,0.09170407474946697,0.9082959252505058,0.09170407474946696,1.0000000000000002,8.524154004490242,10.455578949770135,1.9314249452798933,0.0,1.0,0.0,0.0
0.0,0.47,0.9999999999998109,0.0187927923762262,0.0375855847524522,0.05637837712867858,0.9436216228711323,0.05637837712867858,1.0,7.794228634059948,10.897247358851684,3.1030187247917365,0.0,1.0,0.0,0.0
0.0,0.48,0.9999999999999686,0.032499689019009445,0.06499937803801847,0.09749906705702809,0.9025009329429405,0.09749906705702809,1.0,8.645808232895291,10.897247358851684,2.2514391259563933,0.0,1.0,0.0,0.0
0.0,0.49,0.9999999999999408,0.023632969522513883,0.047265939045027544,0.0708989085675416,0.9291010914323993,0.0708989085675416,1.0,8.52936105461599,9.420721840708387,0.8913607860923971,0.0,1.0,0.0,0.0
0.0,0.5,0.9999999999999408,0.023632969522513883,0.047265939045027544,0.0708989085675416,0.9291010914323993,0.0708989085675416,1.0,8.52936105461599,9.420721840708387,0.8913607860923971,0.0,1.0,0.0,0.0
0.0,0.51,0.9999999999999408,0.023632969522513883,0.047265939045027544,0.0708989085675416,0.9291010914323993,0.0708989085675416,1.0,8.52936105461599,9.420721840708387,0.8913607860923971,0.0,1.0,0.0,0.0
0.0,0.53,0.9999999999999444,0.02065916242988536,0.04131832485977052,0.06197748728965605,0.9380225127102884,0.06197748728965605,1.0,8.411301920630361,9.205976319760984,0.7946743991306224,0.0,1.0,0.0,0.0
0.0,0.54,0.9999999999999444,0.02065916242988536,0.04131832485977052,0.06197748728965605,0.9380225127102884,0.06197748728965605,1.0,8.411301920630361,9.205976319760984,0.7946743991306224,0.0,1.0,0.0,0.0
0.0,0.55,0.9999999999999815,0.02496447471654596,0.04992894943309167,0.07489342414963779,0.9251065758503435,0.07489342414963779,1.0,8.941084853384108,9.937303457175895,0.9962186037917871,0.0,1.0,0.0,0.0
0.0,0.56,0.999999999999982,0.026712809952597366,0.05342561990519445,0.08013842985779197,0.9198615701421899,0.08013842985779197,1.0,9.169551779617363,9.937303457175895,0.7677516775585325,0.0,1.0,0.0,0.0
0.0,0.57,0.9999999999999489,0.02601915320445502,0.05203830640890974,0.07805745961336491,0.9219425403865841,0.0780574596133649,1.0,9.096702699330127,9.937303457175895,0.8406007578457686,0.0,1.0,0.0,0.0
