target,beta,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
0.6,2.840909090909091,0.7910502635190739,-0.08224384210829563,28366470077.209084,12602770275.106537,20484620176.15781,0.7891414141414141,0.005994949494949495,6.8468217751033675,8.947734348190675,2.100912573087307
0.61,3.2230392156862746,0.8019292948330158,-0.07463355454750763,46056039746.71611,22924238527.228813,34490139136.97246,0.8259803921568627,0.00475,6.645075209910832,8.908312624790863,2.263237414880032
0.62,3.1497584541062804,0.7790228228359862,-0.10545814965911827,30573858181.066746,9670682909.381258,20122270545.224003,0.7548309178743962,0.006637681159420289,6.572365332907718,8.805080610533333,2.2327152776256143
0.63,3.414110429447853,0.7648752020653561,-0.0906687249635606,28385319412.87138,11727986856.508343,20056653134.689865,0.7837423312883436,0.004742331288343558,6.130835773853654,8.577565674511568,2.446729900657914
0.64,3.5705521472392636,0.7383584314216273,-0.0952638765450385,22160280154.663643,10616475275.722597,16388377715.19312,0.7346625766871165,0.004496932515337423,6.270537298163925,8.688587287104166,2.418049988940242
0.65,2.8535353535353534,0.8040621181917315,-0.05974903006740017,97779471625.573,46001194082.83938,71890332854.20619,0.8208762886597938,0.006565656565656566,6.836387886112757,8.958363483806558,2.1219755976938015
0.66,3.478395061728395,0.8002682657765282,-0.045691435100298126,47705024548.158844,25177313748.51776,36441169148.3383,0.8113207547169812,0.0050987654320987655,6.3018650340934235,8.381505625895446,2.079640591802022
0.67,3.4135802469135803,0.7679510549693769,-0.07325223629881751,44123503632.44574,20300124101.21452,32211813866.830128,0.761437908496732,0.005833333333333333,6.15539463842764,8.531975817949947,2.376581179522307
0.68,3.503086419753086,0.7484767069701816,-0.07713988715464801,55603215042.56222,22088854939.32687,38846034990.94454,0.7758064516129032,0.0058456790123456795,6.135215409748443,8.59808754562081,2.462872135872367
0.69,3.673780487804878,0.7881712207730961,-0.06912083748328873,70978910930.24391,31632780123.942078,51305845527.092995,0.7882165605095541,0.005585365853658537,6.115101116032796,8.52373838288581,2.4086372668530136
0.7,3.6834319526627217,0.7580731787298799,-0.09062776218162347,70118693205.19678,33055572200.722885,51587132702.95983,0.7728758169934641,0.005532544378698225,6.2714673733361375,8.574228097002543,2.302760723666405
0.71,3.459627329192547,0.7785324477127966,-0.07241255576227086,81054395897.86076,43148955061.81147,62101675479.83611,0.7587412587412588,0.0055031055900621115,6.501627613154896,8.728253253855378,2.226625640700483
0.72,3.896551724137931,0.7860461969221586,-0.04916830519768031,68118913347.7353,35889830531.27403,52004371939.50467,0.785,0.006183908045977012,6.215914069481929,8.433252925295491,2.2173388558135607
0.73,3.9245283018867925,0.8034720657249388,-0.026721897857167536,95378460637.74252,59160184852.46601,77269322745.10426,0.7978723404255319,0.006572327044025157,6.338502917256892,8.598347069947085,2.259844152690193
0.74,3.541958041958042,0.7934259447684265,-0.04433029561226827,99386362251.55727,59910847512.047325,79648604881.80229,0.8,0.006258741258741259,6.491779356725859,8.67268628049187,2.1809069237660115
0.75,2.86340206185567,0.8370939616511845,-0.03211263684036815,106256559013.57703,60023666242.907,83140112628.242,0.7846153846153846,0.006041237113402062,6.903580868661508,8.794602941390078,1.8910220727285694
0.76,3.481012658227848,0.8054793383978766,-0.040772634477050276,113370461856.10724,61052801052.3405,87211631454.22388,0.7804878048780488,0.006018987341772152,6.115100159820565,8.345920036611531,2.230819876790966
0.77,3.390322580645161,0.8330851277991705,-0.030855369788661133,124388895401.79237,68303894758.23648,96346395080.01442,0.8125,0.0053096774193548395,6.339679606294026,8.464703524368014,2.125023918073988
0.78,2.553475935828877,0.8596525048186212,-0.01960949051551424,106884115353.52238,50487190573.59653,78685652963.55945,0.7785714285714286,0.006267379679144385,7.2971091840790345,9.116830071506262,1.8197208874272275
0.79,3.261290322580645,0.8243178049572045,-0.018541135862860807,139758330180.6672,78783393625.50955,109270861903.08838,0.7927927927927928,0.0057483870967741935,6.254242350536674,8.34941363007884,2.0951712795421673
0.8,3.1020408163265305,0.8312414266519075,-0.019488300892478327,152996923502.2597,88891034871.77654,120943979187.01811,0.8315789473684211,0.005816326530612244,6.440267723873312,8.416803108229718,1.9765353843564062
0.81,3.506666666666667,0.8345330551251053,-0.008065553123721451,135631247576.83714,81659122756.4828,108645185166.65997,0.8085106382978723,0.00582,6.490776558647381,8.480526540323558,1.9897499816761763
0.82,3.7628205128205128,0.7995699114370455,-0.031515132015599474,109274218691.95155,65758513087.306015,87516365889.62878,0.7692307692307693,0.00658974358974359,6.460326840526191,8.241264698387504,1.7809378578613126
0.83,3.4536423841059603,0.7771422007959355,-0.06399503464500693,127103776207.02684,55507795425.29719,91305785816.16202,0.7134146341463414,0.006423841059602649,6.259419732826523,8.327616615462103,2.0681968826355805
0.84,3.6487341772151898,0.8495222324614765,0.011318114526372235,156985542153.51355,83954389383.38068,120469965768.44711,0.8633720930232558,0.006569620253164557,6.508776554594069,8.332276294866343,1.823499740272273
0.85,3.7847682119205297,0.8403399941782508,-0.0005530637502201322,182179824501.58978,75188533365.48262,128684178933.53621,0.7678571428571429,0.006443708609271523,6.252696294577114,7.945217082475183,1.6925207878980681
0.86,3.707547169811321,0.8511797730668124,0.01631584926580156,157464545379.2657,83791767877.25313,120628156628.25941,0.7532467532467533,0.0075911949685534596,6.255719520789499,7.862819014018168,1.6070994932286693
