beta,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
0.0,0.6,0.989999010447155,0.004100836897041795,134613928869.80566,55250852769.44485,94932390819.62526,0.9652777777777778,0.01,8.986100377805714,9.836157786453,0.8500574086472863
0.0,0.61,0.9801835719732297,-0.011883078568688433,214117438952.53897,109827113200.61044,161972276076.5747,0.9861111111111112,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
0.0,0.62,0.9801835719732297,-0.011883078568688433,155339372711.9673,74942809537.15344,115141091124.56036,0.9722222222222222,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
0.0,0.65,0.9822209909928602,-0.011888341954243745,339570882464.2159,140925258629.28958,240248070546.75275,0.9545454545454546,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
0.0,0.75,0.9956119431428873,0.011989136463853677,621593632588.1146,305307206285.5297,463450419436.8221,1.0,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
0.0,0.78,0.9972139121464851,0.008711952137280512,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
1.0,0.6,0.8342241283535448,-0.08465096963638741,7143598280.266438,4814908583.646197,5979253431.956317,0.8194444444444444,0.003666666666666667,7.1438012307105225,9.320358531675948,2.176557300965426
1.0,0.61,0.818122970800938,-0.08757508672557439,27841607602.349075,4805976803.249448,16323792202.799263,0.8125,0.003888888888888889,6.729852936367071,8.863342837256129,2.133489900889057
1.0,0.62,0.7457466010393111,-0.15948083696384532,15977000513.348053,-12068684193.754824,1954158159.7966144,0.6597222222222222,0.0039722222222222225,7.395944112055162,9.441554456559679,2.0456103445045173
1.0,0.63,0.7938668221739023,-0.09081774845529235,56049918304.551,12295877377.367018,34172897840.95901,0.7708333333333334,0.005194444444444444,7.417022816928671,10.326814982236838,2.909792165308168
1.0,0.64,0.7332551016419535,-0.12824546181829324,55332343510.83426,26954009184.780045,41143176347.80715,0.6666666666666666,0.0041111111111111105,7.573800204700668,9.846308934459858,2.2725087297591893
1.0,0.65,0.8735463555234079,-0.018995758618686468,128273414265.47586,69613900844.37941,98943657554.92763,0.8984375,0.005090909090909091,7.618107527820836,9.740952680266673,2.1228451524458376
1.0,0.66,0.8319302334308274,-0.05887820898469039,82595112776.69011,28390582526.39526,55492847651.54268,0.8636363636363636,0.004416666666666667,7.78012329500712,10.102106757178504,2.3219834621713833
1.0,0.67,0.8621608560044245,-0.06186780979956184,159026473984.53125,88684261024.62988,123855367504.58057,0.8189655172413793,0.005555555555555556,7.580051115940715,10.317929429437342,2.7378783134966276
1.0,0.68,0.865861139925604,-0.04328307174776353,189296289339.81573,96352830332.75528,142824559836.2855,0.9032258064516129,0.005194444444444444,7.8286380162392994,10.475381016341894,2.646743000102596
1.0,0.69,0.9071219410450859,-0.009375090264615074,204802758670.61008,95785875963.8931,150294317317.2516,0.9015151515151515,0.0041111111111111105,7.264554914504528,10.46098936087501,3.1964344463704815
1.0,0.7,0.8458581022336991,-0.05818366235859959,152690411949.32672,64527266976.09608,108608839462.7114,0.875,0.004611111111111111,7.948381903893306,10.37889440728808,2.4305125033947728
1.0,0.71,0.8583122986473081,-0.04339375372238363,200437218850.04593,88117334930.61635,144277276890.33115,0.8020833333333334,0.005083333333333333,8.807083722240337,10.649741143608164,1.842657421367827
1.0,0.72,0.8799704466286825,-0.013457048998271473,189997456757.3613,89239378411.29236,139618417584.3268,0.9021739130434783,0.004972222222222222,8.695458018603372,10.783886276446093,2.0884282578427222
1.0,0.73,0.8789580680276906,0.0007371810446357244,193201463954.6271,124837004238.4109,159019234096.519,0.90625,0.005611111111111112,9.274499334616591,11.12021821316322,1.8457188785466299
1.0,0.74,0.9075744122163839,0.006263127292690999,175718994042.3619,101431170448.87505,138575082245.61847,0.8333333333333334,0.0059,8.406898416295151,10.90772764084829,2.5008292245531383
1.0,0.75,0.9232484859251515,0.018548102367271047,175693667469.7502,97344043024.37616,136518855247.06317,0.8611111111111112,0.005194444444444444,7.6380865317615205,10.4034111501766,2.765324618415079
1.0,0.76,0.8635668829223591,-0.03597699868341112,161307592990.29968,78582638863.3147,119945115926.8072,0.8235294117647058,0.004972222222222222,8.036561393827863,9.860335052126958,1.8237736582990935
1.0,0.77,0.9097658822443715,-0.011540163905946607,246708637312.98975,149126481532.82697,197917559422.9084,0.8382352941176471,0.004611111111111111,7.797418584927207,10.269025280895674,2.471606695968468
