geometry,beta,criterion,winner_mode_index,winner_q,winner_exact_family,winner_support_family,real_exact,sur_exact_mean,sur_exact_std,z_exact,exact_exceed,sur_exact_p95,triads_exact,eligible_exact,real_support,sur_support_mean,sur_support_std,z_support,support_exceed,sur_support_p95,triads_support,eligible_support
cubic,0.0,score_q,8,X1,"1-axis:(1,)",1-axis,0.9989051587117911,0.5502416191495978,0.23431254175397268,1.914808043145098,1.0,0.9364819089273213,3,3,0.7392349511505388,0.3988794132492551,0.24854827550623318,1.3693739665129112,0.875,0.8096258523265099,6,6
cubic,0.0,score_iso,8,X1,"1-axis:(1,)",1-axis,0.9989051587117911,0.5219162098838324,0.2584236076535405,1.8457638338738596,1.0,0.9527250474226906,3,3,0.7392349511505388,0.3357288347564267,0.2536271425332502,1.5909421695259691,0.8958333333333334,0.8222782267532808,6,6
cubic,0.0,q_only,8,X1,"1-axis:(1,)",1-axis,0.9989051587117911,0.5319338284168388,0.2541070852543009,1.837695040363739,1.0,0.9428838498145314,3,3,0.7392349511505388,0.31544121541569764,0.21314505274523435,1.9882879300951937,0.9583333333333334,0.6590987400832895,6,6
cubic,0.0,xyz_only,8,X1,"1-axis:(1,)",1-axis,0.9989051587117911,0.5412564655673777,0.21302503856410596,2.1483328731075155,1.0,0.8650391588659909,3,3,0.7392349511505388,0.3738419947209575,0.2431019486810466,1.5030441278258913,0.875,0.8128433743382175,6,6
cubic,1.0,score_q,8,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.9938401945356221,0.993840194535622,1.1102230246251565e-16,0.0001110099778791752,0.0,0.9938401945356221,1,1,0.517723804509421,0.2739849955133368,0.22565426732207153,1.0801426974439656,0.8125,0.7104637438247927,8,8
cubic,1.0,score_iso,10,Y1,"1-axis:(1,)",1-axis,0.9997058565174101,0.540201575762635,0.24509668737990706,1.8747878058451897,1.0,0.9419926290690127,3,3,0.7212238739951183,0.3424902374402965,0.26003803961348865,1.4564547445300762,0.8541666666666666,0.8384479421479284,6,6
cubic,1.0,q_only,9,X1+Y2+Z1,"3-axis:(1, 1, 2)",3-axis,0.3444376802438882,0.5094346128514108,0.22685017989948572,-0.7273387778660928,0.2916666666666667,0.792511812081024,2,3,0.31956951618823043,0.34804104198918345,0.2417371481203506,-0.117778860312609,0.5416666666666666,0.7771667871887459,4,8
cubic,1.0,xyz_only,10,Y1,"1-axis:(1,)",1-axis,0.9997058565174101,0.526118176773904,0.243522099167345,1.9447421049705982,1.0,0.900918761987784,3,3,0.7212238739951183,0.3735226688780735,0.23513663354984823,1.4787198398919603,0.875,0.8284151816203387,6,6
cubic,1.5,score_q,6,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.9974777917723576,0.9974777917723577,1.1102230246251565e-16,-0.0001110099778791752,0.0,0.9974777917723576,1,1,0.6427090958230822,0.4479680770780412,0.27874106616363514,0.6986448800838679,0.6666666666666666,0.8663286872033874,8,8
cubic,1.5,score_iso,9,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9711153591351174,0.49488232577413743,0.24617870777301148,1.9345013127542898,1.0,0.9047580112246126,3,3,0.4770800449977665,0.2805042977347862,0.2211776925006187,0.8887684152936973,0.8125,0.6814042793659736,8,8
cubic,1.5,q_only,10,X1+Y2+Z1,"3-axis:(1, 1, 2)",3-axis,0.39446945821900775,0.6202620233301224,0.2721752371499838,-0.8295852608584693,0.2708333333333333,0.9627834737827357,2,3,0.2674694247655413,0.3652127545753599,0.25300501562147065,-0.3863296131475487,0.4375,0.7865650933102133,6,8
cubic,1.5,xyz_only,6,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.9974777917723576,0.9974777917723577,1.1102230246251565e-16,-0.0001110099778791752,0.0,0.9974777917723576,1,1,0.6427090958230822,0.5457273213742876,0.2429100822603685,0.39924968756316725,0.5625,0.8532071237561677,8,8
cubic,2.0,score_q,6,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9653618983253816,0.9779719886176604,0.010586493399302333,-1.1911489305721157,0.10416666666666667,0.9979072866289725,3,3,0.7264581511778102,0.5206667049202137,0.22322572975585087,0.9218984141378115,0.7708333333333334,0.8611904331894426,8,8
cubic,2.0,score_iso,10,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.9992603145541656,0.9992603145541655,1.1102230246251565e-16,0.0001110099778791752,0.0,0.9992603145541656,1,1,0.44363265979128175,0.2585730926990784,0.2282138277376182,0.810904268711355,0.8333333333333334,0.7272598904657848,8,8
cubic,2.0,q_only,9,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.5810197635885608,0.7677980940352619,0.12092264012099224,-1.5446100933478681,0.041666666666666664,0.9363454049053668,3,3,0.22518690777364267,0.4934324702973372,0.254332500182093,-1.0547042251013363,0.16666666666666666,0.879464771439711,6,8
cubic,2.0,xyz_only,10,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.9992603145541656,0.9992603145541655,1.1102230246251565e-16,0.0001110099778791752,0.0,0.9992603145541656,1,1,0.44363265979128175,0.26333541338643496,0.2066508986343937,0.8724725979680146,0.8541666666666666,0.7447480795463424,8,8
cubic,5.0,score_q,10,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.9999797597763765,0.9999797597763765,0.0,0.0,0.0,0.9999797597763765,1,1,0.551898514474736,0.3869005247516743,0.2188981087450912,0.7537661730757556,0.7708333333333334,0.7047566882833007,8,8
cubic,5.0,score_iso,9,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.999995065530882,0.562748125415078,0.2246620882745591,1.9462426592398585,1.0,0.9224246283429949,3,3,0.33048470651229855,0.30645864628409675,0.22379715127783698,0.10735641669659533,0.6041666666666666,0.6902306841820565,8,8
cubic,5.0,q_only,3,X1+Y2+Z1,"3-axis:(1, 1, 2)",3-axis,0.7311012275968227,0.8682981446318868,0.09813039404458736,-1.3981082861170213,0.0625,0.9960527649422173,3,3,0.4500881985467908,0.5065441263629684,0.2810409608103911,-0.20088149305063643,0.375,0.8472047964264632,8,8
cubic,5.0,xyz_only,9,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.999995065530882,0.5051689381225455,0.22293779258604735,2.219570408705508,1.0,0.9179668967484208,3,3,0.33048470651229855,0.2740992700053386,0.22344137128570013,0.2523500289237446,0.625,0.6339524254975035,8,8
