criterion,beta,real_exact_mean,sur_exact_mean,z_exact_mean,exact_exceed_mean,real_support_mean,sur_support_mean,z_support_mean,support_exceed_mean
q_only,0.0,0.9989051587117914,0.5288599564645406,1.9675624396875777,1.0,0.7392349511505077,0.34587991134665025,1.6938164722056603,0.9120370370370371
q_only,1.0,0.8104098450276316,0.7977157807655697,0.004295443621837449,0.2222222222222222,0.6938295896743047,0.5289372112377336,0.582482819381387,0.6550925925925926
q_only,1.5,0.6781315915350873,0.6667773584362391,0.16519813604663583,0.4884259259259259,0.4118977917719625,0.3425818539195664,0.3648525754050895,0.625
q_only,2.0,0.8243486776338567,0.8141562381811042,0.08517450877869052,0.3541666666666667,0.5438546708918754,0.37487295866754944,0.6302417090845207,0.6597222222222222
q_only,5.0,0.2690384058204019,0.6344656785197141,-1.3981410684126518,0.15509259259259262,0.25721654506200975,0.3847057172028053,-0.36219875500441906,0.40046296296296297
q_only,10.0,0.43408929573049787,0.7178072712770134,-1.061706443038072,0.10185185185185185,0.2670384453449325,0.3590193509200266,-0.2744660890969039,0.4375
score_iso,0.0,0.9989051587117914,0.5397143792506418,1.9615824838743232,1.0,0.7392349511505077,0.3417293719143044,1.6302148395898337,0.9097222222222222
score_iso,1.0,0.9991509409087601,0.6302352072297618,1.5675506554925889,0.7777777777777778,0.7503767805156731,0.3953916202548833,1.4937560215672425,0.8634259259259259
score_iso,1.5,0.9103323181188334,0.5782255871791337,1.427376035854416,0.8078703703703703,0.6823997792473095,0.34567971013577226,1.5163415248860213,0.8888888888888888
score_iso,2.0,0.8643461589606721,0.6461009728769032,0.9397790986457843,0.625,0.3989162117593071,0.28448933531064846,0.5570418508635333,0.7453703703703703
score_iso,5.0,0.7957380830613964,0.5859347521862055,0.8806697978427352,0.662037037037037,0.3634907271300255,0.2620893562995186,0.5395568325080419,0.7337962962962963
score_iso,10.0,0.6943731583498678,0.6927685496308946,0.03474570752259059,0.3287037037037037,0.32334306798127294,0.2987837128564786,0.12810920797423844,0.5902777777777778
score_q,0.0,0.9989051587117914,0.5247753966096156,2.0458541834817,1.0,0.7392349511505077,0.33053033385746455,1.772493796474875,0.9212962962962963
score_q,1.0,0.9922675522430665,0.6814189673605792,1.5068070705381738,0.8333333333333334,0.6414890910275652,0.33736781799204957,1.2752125410721726,0.8356481481481481
score_q,1.5,0.7754053826304077,0.7118397439432884,0.3961810070658982,0.4421296296296296,0.39311049111702195,0.3407528648265189,0.35886063270653423,0.6458333333333334
score_q,2.0,0.7815346347768615,0.7705913679387041,0.09849138581837798,0.4583333333333333,0.4943660622767635,0.34692234023309915,0.6498910146059029,0.7106481481481481
score_q,5.0,0.7345006724158227,0.8017459420756023,-0.1957574097126019,0.24305555555555555,0.44279529154637653,0.35891004857642167,0.4048274215265468,0.6203703703703703
score_q,10.0,0.7562823146331868,0.7722516799126191,0.014603845100178179,0.3425925925925926,0.42637121082937834,0.3286316117537612,0.42299240089790563,0.6944444444444444
xyz_only,0.0,0.9989051587117914,0.5203590795804401,1.958344334575671,1.0,0.7392349511505077,0.334862539000094,1.6826546361031285,0.9027777777777778
xyz_only,1.0,0.9931318324419595,0.5835044000145182,1.847552241599493,0.9652777777777778,0.6808557090629265,0.3559070324485787,1.4707772848706335,0.8796296296296295
xyz_only,1.5,0.99935102433865,0.6443517417458805,1.6206270118547197,0.7777777777777778,0.6655936323434845,0.36308923668728504,1.343172684813336,0.8564814814814815
xyz_only,2.0,0.9075884311804363,0.6921253990498125,0.9406328779568331,0.6087962962962963,0.4297689885609215,0.31500946205116265,0.5064280862855718,0.6967592592592592
xyz_only,5.0,0.7870414056627335,0.5733979108175791,0.9327035083742145,0.6620370370370371,0.3287965486726523,0.28098150656750465,0.23235709188850684,0.6087962962962963
xyz_only,10.0,0.7945332444746005,0.7133232081128906,0.4349502318057051,0.4305555555555556,0.3803517947809062,0.3068135777864277,0.3323804250666544,0.6388888888888888
