criterion,beta,real_all_mean,sur_all_mean,all_z_mean,all_exceed_mean,real_topk_mean,sur_topk_mean,topk_z_mean,topk_exceed_mean
q_only,0.0,0.4527102990715157,0.21471382517689283,1.7309725083393663,0.9166666666666666,0.6915100349623029,0.3057857237734352,1.816713294293638,0.9340277777777778
q_only,1.0,0.17589171720708777,0.1839874351387505,0.19810406482724308,0.6145833333333334,0.16177920079991512,0.3306525320318208,-0.7911777852114334,0.23958333333333334
q_only,1.5,0.33069381413793775,0.22047344228922067,0.7657501295666597,0.7395833333333334,0.44075889134293333,0.32388918828610413,0.5709461353735965,0.6944444444444444
q_only,2.0,0.3128045484386635,0.2075990039305292,0.7444808892460667,0.734375,0.4372703354865551,0.3415995306384003,0.42663515585279005,0.6579861111111112
q_only,5.0,0.22642435371636982,0.26932810474843527,-0.0835194329430592,0.4427083333333333,0.2358615833299455,0.3533829635998471,-0.36408337630972964,0.34375
q_only,10.0,0.32640907745521147,0.33015339042315867,0.13010358306173198,0.5277777777777778,0.3655269389650146,0.38068342539361777,0.01918992210595929,0.5104166666666666
score_iso,0.0,0.4527102990715157,0.22709719080290786,1.567249186684211,0.9045138888888888,0.6915100349623029,0.3152642031102207,1.7374560119569198,0.9166666666666666
score_iso,1.0,0.08975570197981077,0.1009319242054953,-0.2671377716868231,0.4756944444444444,0.3761240216298158,0.27385656248609397,0.6560212891943026,0.6041666666666666
score_iso,1.5,0.07494099756706535,0.10587738518073295,-0.9072829486778432,0.18055555555555555,0.23694323572499057,0.24291854801163457,-0.0036705064581401053,0.5086805555555556
score_iso,2.0,0.10149493766599124,0.1259583702704189,-0.9787886702398537,0.21006944444444445,0.3908509979953946,0.3011613412477686,0.46038847235742825,0.6892361111111112
score_iso,5.0,0.21086669201463185,0.1636652237568491,0.4606914845113496,0.6822916666666666,0.372077591596462,0.28527105205615527,0.4556773999638901,0.6736111111111112
score_iso,10.0,0.2697547054859272,0.22152726193972627,0.34006485262967345,0.6597222222222222,0.3286851618438446,0.29070893730175856,0.19774473922800326,0.6041666666666666
score_q,0.0,0.4527102990715157,0.21755452930091612,1.7119677361299195,0.9375,0.6915100349623029,0.304738685285704,1.8410962616636146,0.9322916666666666
score_q,1.0,0.127515711430789,0.12520241955565115,-0.25921651522825695,0.421875,0.44163842908127815,0.28842549548834534,0.825218466136049,0.6979166666666666
score_q,1.5,0.27968541848511225,0.19902806190298347,0.3082121766243492,0.5694444444444444,0.382581660771503,0.27490770852673063,0.5436015526234431,0.7013888888888888
score_q,2.0,0.1802402570786415,0.16711956412472673,-0.02408927106525568,0.5659722222222222,0.20985619524575583,0.29046981337841105,-0.3535348801808766,0.4166666666666667
score_q,5.0,0.36413831436997834,0.25526226743322716,0.6261253318894683,0.703125,0.4728667903015402,0.356715995683161,0.45013930163650007,0.625
score_q,10.0,0.29544172567757326,0.27722171885367475,0.11279992983732533,0.5659722222222222,0.35650562077853154,0.34345577611401557,0.07739766924775227,0.5538194444444444
xyz_only,0.0,0.4527102990715157,0.221166135064943,1.617212882804475,0.90625,0.6915100349623029,0.30799377426171903,1.7976026419816198,0.9131944444444444
xyz_only,1.0,0.06980592231290117,0.09866359281190788,-0.4663892099087536,0.3784722222222222,0.40332641059494406,0.2693456778843311,0.7145601901690765,0.6875
xyz_only,1.5,0.08613392124009327,0.12180128424621486,-0.9340833321186331,0.1909722222222222,0.28194849345332235,0.26220528713753494,0.08623009127038579,0.5243055555555556
xyz_only,2.0,0.064025272851998,0.11362408227595575,-0.9979589999712398,0.2013888888888889,0.2871194891855637,0.2942535371833846,-0.047648278364668,0.5052083333333334
xyz_only,5.0,0.20765860463349511,0.17930853383738604,0.19426868556893243,0.609375,0.37162705272481855,0.2960333933677749,0.32710590738730677,0.6354166666666666
xyz_only,10.0,0.313873087828266,0.26872084399966906,0.23353245393228064,0.6128472222222222,0.38438801817124546,0.3376472576714188,0.19610720041721472,0.5972222222222222
