geometry,beta,criterion,winner_mode_index,winner_q,winner_family,winner_q_contrast,winner_xyz,real_triad_all,sur_triad_all_mean,sur_triad_all_std,triad_all_z,triad_all_exceed,sur_triad_all_p95,real_triad_topk,sur_triad_topk_mean,sur_triad_topk_std,triad_topk_z,triad_topk_exceed,sur_triad_topk_p95
cubic,0.0,score_q,8,Y1,"1-axis:(1,)",0.151399214399411,0.00011271220073669298,0.4527102990715227,0.20232959463065492,0.13049642691798385,1.9186786209580415,0.96875,0.43289006037796673,0.6145678105858732,0.2698848705321605,0.18597375860932852,1.8533955684356958,0.921875,0.6647761866395909
cubic,0.0,score_iso,8,Y1,"1-axis:(1,)",0.151399214399411,0.00011271220073669298,0.4527102990715227,0.2293260372000599,0.13219655490804694,1.68978883016395,0.921875,0.48055091882258233,0.6145678105858732,0.3141994789184901,0.2013015850166143,1.492130981686509,0.921875,0.6641385255404083
cubic,0.0,q_only,8,Y1,"1-axis:(1,)",0.151399214399411,0.00011271220073669298,0.4527102990715227,0.18596505206255748,0.13273227590048192,2.0096487097603295,0.96875,0.42828113796190054,0.6145678105858732,0.25225562311060223,0.184751860977867,1.9610746303481854,0.953125,0.562330320726846
cubic,0.0,xyz_only,8,Y1,"1-axis:(1,)",0.151399214399411,0.00011271220073669298,0.4527102990715227,0.2205706841963052,0.13234386208597682,1.7540640813599242,0.953125,0.44173606881230587,0.6145678105858732,0.3131502959382696,0.21167180985325051,1.4239851535031929,0.9375,0.7257260409113414
cubic,1.0,score_q,9,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12882601848740413,3.90236708588167e-05,0.47574022871048094,0.22496546627975933,0.16272346290053594,1.5411100400589777,0.9375,0.5152038989538807,0.5178184766591679,0.259855984284575,0.19809768292923216,1.3021984334135017,0.90625,0.5933479592061391
cubic,1.0,score_iso,10,X1,"1-axis:(1,)",0.08101503670650763,5.99903250447288e-05,0.07652333861628406,0.09152461698301173,0.053951206383387004,-0.27805269561254714,0.46875,0.17594568996663565,0.3206090357216355,0.2662339585273457,0.2134992864220895,0.2546850535440911,0.65625,0.6575796101200839
cubic,1.0,q_only,8,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.20166804938929603,6.383596512797944e-06,0.018329675783566222,0.39161248918279923,0.23156069344432692,-1.6120301241340325,0.0,0.7575823447957182,0.018329675783566222,0.39161248918279923,0.23156069344432692,-1.6120301241340325,0.0,0.7575823447957182
cubic,1.0,xyz_only,10,X1,"1-axis:(1,)",0.08101503670650763,5.99903250447288e-05,0.07652333861628406,0.08712236575551102,0.05886476518951679,-0.18005723975833476,0.53125,0.20075919493041813,0.3206090357216355,0.24886080184886328,0.18794583714980262,0.3817495240142159,0.765625,0.6422324401359756
cubic,1.5,score_q,9,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.13147317584902388,6.127265493809863e-05,0.4429593444488181,0.24988151673891762,0.1892744853100554,1.0200943217074117,0.8125,0.5990744270331967,0.48289420128080324,0.2799232654300438,0.21951439229267874,0.9246361194359113,0.8125,0.6962494215730524
cubic,1.5,score_iso,10,X1,"1-axis:(1,)",0.04895680482788125,7.075993741760492e-05,0.016795784404729373,0.07423044247303766,0.04236106929811713,-1.3558358893812277,0.0625,0.15284074966088368,0.6573541370430716,0.23125309862182342,0.18405132190101403,2.315120771846982,0.984375,0.5517997491875232
