model,g_abs,k_phase,q_quadloss,rho_corr,V0,a,b,dist_ab,r2,mae,rmse
pure_phase,0.0,0.6,0.0,,1.0,-8.326672684688674e-17,0.18000000000000002,0.17573984044888635,1.0,7.401486830834377e-17,9.064933036736789e-17
pure_magnitude,0.19772151898734178,0.0,0.0,,0.9998856454989554,0.15757428377374416,-0.006051194498074175,0.19338400753804535,0.9999994038954729,6.540512943209453e-05,7.236232489961432e-05
mixed_local,0.1,0.76,0.0,,1.0143946758562754,0.1761153482871018,0.19002188157855326,0.0035674391618660817,0.999223684529765,0.0063177936062664974,0.00750513380465053
mixed_segmented,0.1,0.76,0.0,0.1,1.0143005236783018,0.17611138154512596,0.188238633284448,0.0018173256320590274,0.9992032294427363,0.006162576117567246,0.007578208093938905
