geometry,beta,criterion,winner_family,support_degree,mean_boundary,center_frac,opp_edge,neck_floor_z,pred_support_degree,correct,distance
cubic,0.0,score_q,"1-axis:(1,)",1,3.678406307863791,0.139909754780879,0.9791666666666666,0.02625443174647143,1,True,1.3333430854889925
cubic,0.0,score_iso,"1-axis:(1,)",1,3.713972400291809,0.139909754780879,1.0,0.02625443174647143,1,True,1.3938290405139928
cubic,0.0,q_only,"1-axis:(1,)",1,3.678406307863791,0.139909754780879,1.0,0.02625443174647143,1,True,1.3768060171613197
cubic,0.0,xyz_only,"1-axis:(1,)",1,3.678406307863791,0.139909754780879,1.0,0.02625443174647143,1,True,1.3768060171613197
cubic,1.0,score_q,"1-axis:(1,)",1,2.5944796550877816,0.0064749946780977,0.1458333333333333,-1.6791713566214503,2,False,2.761568226556586
cubic,1.0,score_iso,"1-axis:(1,)",1,2.5944796550877816,0.0064749946780977,0.1041666666666666,-1.6791713566214503,2,False,2.8161622523002214
cubic,1.0,q_only,"3-axis:(1, 2, 2)",3,2.4077492921143904,0.0040822591220541,1.0,-0.26850662311517626,2,False,1.8851850059241402
cubic,1.0,xyz_only,"2-axis:(1, 1)",2,2.5944795215212544,0.0529956470421811,0.125,-1.6791713566214503,2,True,2.726571937134908
cubic,1.5,score_q,"3-axis:(1, 1, 1)",3,2.1407906936084067,0.0073486428659786,1.0,-0.3827600982289831,3,True,1.7891686909432927
cubic,1.5,score_iso,"3-axis:(1, 1, 1)",3,2.1407906936084067,0.0073486428659786,0.7291666666666666,0.9806908027460941,3,True,1.7699529166248507
cubic,1.5,q_only,"3-axis:(1, 2, 2)",3,1.5148362139307696,0.0028070564463714,1.0,-0.3827600982289831,3,True,1.5045965277296427
cubic,1.5,xyz_only,"3-axis:(1, 1, 1)",3,2.1407906936084067,0.055941462476642,0.6458333333333334,2.7888601963281063,1,False,3.029530750214715
cubic,2.0,score_q,"3-axis:(1, 1, 2)",3,1.7647058381249272,0.0557343078537231,0.7916666666666666,0.8840704934702417,3,True,1.3744842543410505
cubic,2.0,score_iso,"3-axis:(1, 2, 2)",3,1.4279593146044147,0.0081829212755136,0.9791666666666666,-0.46013816718915906,3,True,1.4372259979090363
cubic,2.0,q_only,"3-axis:(1, 1, 1)",3,1.3345160152663895,0.0011910599901093,1.0,-0.16736261545762796,3,True,1.391873904902173
cubic,2.0,xyz_only,"3-axis:(1, 2, 2)",3,1.7647058381249283,0.0081829212755136,0.8125,-0.46013816718915906,3,True,1.3489415506476312
cubic,5.0,score_q,"3-axis:(1, 1, 1)",3,0.6330845939103601,0.0527388943995191,0.0208333333333333,0.31072847810167487,3,True,1.6487866801333497
cubic,5.0,score_iso,"3-axis:(1, 1, 1)",3,0.4605724989647946,0.193139245946764,0.2708333333333333,-0.4063218091430576,2,False,1.7264975901193234
cubic,5.0,q_only,"3-axis:(1, 1, 2)",3,0.2329686023065433,0.0527388943995191,1.0,1.0007033394640077,3,True,1.586104020685503
cubic,5.0,xyz_only,"3-axis:(1, 1, 1)",3,0.6330845939103601,0.193139245946764,0.1458333333333333,0.31072847810167487,2,False,1.8578854741825652
cubic,10.0,score_q,"3-axis:(1, 1, 2)",3,0.2070766612284846,0.0501833200116122,0.5,0.05933989256249598,3,True,0.6467916516030835
cubic,10.0,score_iso,"3-axis:(1, 1, 2)",3,0.1427258765234964,0.0069764915843611,0.5208333333333334,-0.5585807425786283,3,True,1.1687343361752505
cubic,10.0,q_only,"3-axis:(1, 2, 2)",3,0.0715936916674584,0.0133209264013171,1.0,-0.29003377139676956,3,True,1.4180829876334116
cubic,10.0,xyz_only,"3-axis:(1, 1, 2)",3,0.1427258765234964,0.0501833200116122,0.5625,-0.5585807425786283,3,True,0.9331586306034985
