edge,mean_weight,min_weight,max_weight,std_weight,role
CF_inc,0.8881944444444444,0.5638888888888889,1.0,0.159810764508136,persistent_backbone
L_align,0.88695987654321,0.8206018518518517,0.9224537037037037,0.0326658747851072,persistent_backbone
CE_inc,0.8619212962962962,0.5645833333333333,1.0,0.18649827433905974,persistent_backbone
EF_inc,0.840162037037037,0.5805555555555555,1.0,0.16253630918874165,persistent_backbone
F_opp,0.6570216049382717,0.17187499999999997,0.9149305555555556,0.26616358281484404,phase_selective
E_opp,0.6138117283950617,0.10937499999999999,0.9872685185185185,0.3079526083153711,phase_selective
C_opp,0.5107060185185185,0.05324074074074073,0.9195601851851851,0.29794507402849574,phase_selective
