candidate_bridge_feature,baseline_accuracy,augmented_accuracy,delta_accuracy,mean_feature_abs,corr_with_opp_edge
neck_floor_z,0.8101851851851852,0.7962962962962963,-0.01388888888888895,0.6684911449016804,0.22207922349494072
straightness_z,0.8101851851851852,0.7592592592592593,-0.05092592592592593,0.8485087187015671,0.12988293383307878
bridge_span_ratio_z,0.8101851851851852,0.7407407407407407,-0.06944444444444453,0.9668618753301949,0.1419693617684735
neck_mid_ratio_z,0.8101851851851852,0.7361111111111112,-0.07407407407407407,0.7306290222005266,0.19624429099751617
axiality_ratio_z,0.8101851851851852,0.7268518518518519,-0.08333333333333337,0.7611317625231235,-0.11047582914299983
continuity_frac_z,0.8101851851851852,0.7129629629629629,-0.09722222222222232,0.7638239800554719,0.12137614941774211
