geometry,beta,criterion,winner_q,winner_family,target_shell,target_pair,pair_strength,n_controls,neck_floor_target,neck_floor_control_mean,neck_floor_control_std,neck_floor_z,neck_floor_exceed,neck_mid_ratio_target,neck_mid_ratio_control_mean,neck_mid_ratio_control_std,neck_mid_ratio_z,neck_mid_ratio_exceed,axiality_ratio_target,axiality_ratio_control_mean,axiality_ratio_control_std,axiality_ratio_z,axiality_ratio_exceed,continuity_frac_target,continuity_frac_control_mean,continuity_frac_control_std,continuity_frac_z,continuity_frac_exceed,bridge_span_ratio_target,bridge_span_ratio_control_mean,bridge_span_ratio_control_std,bridge_span_ratio_z,bridge_span_ratio_exceed,straightness_target,straightness_control_mean,straightness_control_std,straightness_z,straightness_exceed
cubic,0.0,score_q,Y1,"1-axis:(1,)",face,"((1, 1, 0), (1, 1, 2))",0.00017016501669595425,12,0.8525971934177814,0.848989796071884,0.13740146352076388,0.02625443174647143,0.4166666666666667,1.3936821310782175,1.4104227445272042,0.03341813558607796,-0.5009439681446477,0.5,1.111866669568005,1.097879787342947,0.018254704070737243,0.7662070099900056,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9449586664743056,0.9535818798308086,0.006369473612932131,-1.3538345362858801,0.16666666666666666
cubic,0.0,score_iso,Y1,"1-axis:(1,)",face,"((1, 1, 0), (1, 1, 2))",0.00017016501669595425,12,0.8525971934177814,0.848989796071884,0.13740146352076388,0.02625443174647143,0.4166666666666667,1.3936821310782175,1.4104227445272042,0.03341813558607796,-0.5009439681446477,0.5,1.111866669568005,1.097879787342947,0.018254704070737243,0.7662070099900056,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9449586664743056,0.9535818798308086,0.006369473612932131,-1.3538345362858801,0.16666666666666666
cubic,0.0,q_only,Y1,"1-axis:(1,)",face,"((1, 1, 0), (1, 1, 2))",0.00017016501669595425,12,0.8525971934177814,0.848989796071884,0.13740146352076388,0.02625443174647143,0.4166666666666667,1.3936821310782175,1.4104227445272042,0.03341813558607796,-0.5009439681446477,0.5,1.111866669568005,1.097879787342947,0.018254704070737243,0.7662070099900056,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9449586664743056,0.9535818798308086,0.006369473612932131,-1.3538345362858801,0.16666666666666666
cubic,0.0,xyz_only,Y1,"1-axis:(1,)",face,"((1, 1, 0), (1, 1, 2))",0.00017016501669595425,12,0.8525971934177814,0.848989796071884,0.13740146352076388,0.02625443174647143,0.4166666666666667,1.3936821310782175,1.4104227445272042,0.03341813558607796,-0.5009439681446477,0.5,1.111866669568005,1.097879787342947,0.018254704070737243,0.7662070099900056,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9449586664743056,0.9535818798308086,0.006369473612932131,-1.3538345362858801,0.16666666666666666
cubic,1.0,score_q,Y1,"1-axis:(1,)",face,"((1, 1, 0), (1, 1, 2))",1.3642377770125558e-05,12,0.1872458670285803,0.7720585818781719,0.34827458945260686,-1.6791713566214503,0.16666666666666666,0.6664956832150057,1.638772322230368,0.6339924831353493,-1.533577550013728,0.16666666666666666,0.6023543269144733,0.9071160618256083,0.2795996724621197,-1.0899931756942036,0.25,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.689646169392967,0.8508739440607699,0.09299710662991081,-1.7336859232372426,0.16666666666666666
cubic,1.0,score_iso,Y1,"1-axis:(1,)",face,"((1, 1, 0), (1, 1, 2))",1.3642377770125558e-05,12,0.1872458670285803,0.7720585818781719,0.34827458945260686,-1.6791713566214503,0.16666666666666666,0.6664956832150057,1.638772322230368,0.6339924831353493,-1.533577550013728,0.16666666666666666,0.6023543269144733,0.9071160618256083,0.2795996724621197,-1.0899931756942036,0.25,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.689646169392967,0.8508739440607699,0.09299710662991081,-1.7336859232372426,0.16666666666666666
cubic,1.0,q_only,X1+Y2+Z1,"3-axis:(1, 1, 2)",corner,"((0, 0, 0), (2, 2, 2))",1.3139168389258694e-05,24,0.15987163576033106,0.23232903023632143,0.26985328568465583,-0.26850662311517626,0.6666666666666666,0.5667759096229584,0.34822850915191056,0.30495121665594344,0.7166634810213071,0.75,0.613036632153924,0.9123328428949554,0.410882959941817,-0.7284220566914841,0.25,0.5714285714285714,0.6309523809523809,0.33734826941201795,-0.17644616830962337,0.375,0.42857142857142855,0.5714285714285714,0.3734377890799553,-0.3825460278369786,0.4166666666666667,0.6308625892087701,0.5718621429612549,0.17031164113909275,0.3464263854928354,0.5833333333333334
cubic,1.0,xyz_only,Y1,"1-axis:(1,)",face,"((1, 1, 0), (1, 1, 2))",1.3642377770125558e-05,12,0.1872458670285803,0.7720585818781719,0.34827458945260686,-1.6791713566214503,0.16666666666666666,0.6664956832150057,1.638772322230368,0.6339924831353493,-1.533577550013728,0.16666666666666666,0.6023543269144733,0.9071160618256083,0.2795996724621197,-1.0899931756942036,0.25,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.689646169392967,0.8508739440607699,0.09299710662991081,-1.7336859232372426,0.16666666666666666
cubic,1.5,score_q,X1+Y1+Z1,"3-axis:(1, 1, 1)",edge,"((0, 1, 2), (2, 1, 0))",6.049050935746595e-05,60,0.2449484626167126,0.316727449739142,0.18752996316534923,-0.3827600982289831,0.31666666666666665,0.2449484626167126,0.425340903787861,0.21997459315962864,-0.8200603468757104,0.15,1.2354127804585928,1.2620520339725607,0.24832539754433905,-0.10727558992069719,0.55,0.5714285714285714,0.8023809523809522,0.19359060995574795,-1.1929937149533245,0.0,0.42857142857142855,0.6904761904761904,0.2882821117650536,-0.9085016073328286,0.1,0.8264900038445878,0.7486608963369981,0.12003476679590556,0.6483880427682569,0.6
cubic,1.5,score_iso,X1+Y1+Z2,"3-axis:(1, 1, 2)",corner,"((0, 2, 0), (2, 0, 2))",0.00011159231107331908,24,0.4866895891896317,0.33626129747322403,0.15339013203162832,0.9806908027460941,0.7083333333333334,0.5087457886167959,0.43856450843822153,0.17115971266864335,0.4100338747005947,0.5833333333333334,1.550124424408093,1.6862525773378743,0.4752356465691619,-0.28644348106510126,0.4583333333333333,1.0,0.8571428571428572,0.14285714285714285,0.9999999999929996,0.5,1.0,0.75,0.2550510153051018,0.9801960588157637,0.5,0.8303925292478721,0.766934267863089,0.06522532605783153,0.9729083044758621,0.875
cubic,1.5,q_only,X1+Y1+Z1,"3-axis:(1, 1, 1)",edge,"((0, 1, 2), (2, 1, 0))",6.049050935746595e-05,60,0.2449484626167126,0.316727449739142,0.18752996316534923,-0.3827600982289831,0.31666666666666665,0.2449484626167126,0.425340903787861,0.21997459315962864,-0.8200603468757104,0.15,1.2354127804585928,1.2620520339725607,0.24832539754433905,-0.10727558992069719,0.55,0.5714285714285714,0.8023809523809522,0.19359060995574795,-1.1929937149533245,0.0,0.42857142857142855,0.6904761904761904,0.2882821117650536,-0.9085016073328286,0.1,0.8264900038445878,0.7486608963369981,0.12003476679590556,0.6483880427682569,0.6
cubic,1.5,xyz_only,X1+Y1,"2-axis:(1, 1)",face,"((1, 0, 1), (1, 2, 1))",0.00021676606072601446,12,0.6396446195754166,0.28152167538405043,0.12841193856188715,2.7888601963281063,1.0,0.6491037849918636,0.5001365416381046,0.3533809532954097,0.4215485921472624,0.6666666666666666,1.3410211704648847,1.1105374881914363,0.21569801590979235,1.0685479942883251,0.8333333333333334,1.0,0.9166666666666666,0.13625622788404285,0.6115928396582382,0.3333333333333333,1.0,0.8214285714285715,0.26805548212375485,0.6661733875240058,0.3333333333333333,0.7185295425786703,0.7614532737700781,0.09059159277585979,-0.4738158351750715,0.3333333333333333
cubic,2.0,score_q,X1+Y2+Z2,"3-axis:(1, 2, 2)",face,"((1, 1, 0), (1, 1, 2))",0.0002781553320658818,12,0.4978516129988559,0.3821262189660832,0.1309006407143301,0.8840704934702417,0.75,0.5727327001948014,0.49097733136963123,0.20951665047851614,0.39020941122368286,0.5,1.361100510029084,1.1589111567858665,0.2124473544228148,0.9517150909766877,0.8333333333333334,1.0,0.9047619047619048,0.13468700594029473,0.7071067811812977,0.3333333333333333,1.0,0.8095238095238096,0.2693740118805895,0.7071067811839222,0.3333333333333333,0.7333154151172487,0.7312384008683918,0.06488516401430952,0.03201061876590019,0.5
cubic,2.0,score_iso,X1+Y2+Z1,"3-axis:(1, 1, 2)",face,"((1, 0, 1), (1, 2, 1))",0.00015084469548441333,12,0.5020928881726778,0.7342107443653264,0.504452516099945,-0.46013816718915906,0.3333333333333333,0.6311728113728997,1.7588583701281033,0.9601145371213912,-1.1745323241694143,0.25,0.6355143446225842,0.9747698798495433,0.26796825637381494,-1.2660288192957925,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7399169705624359,0.8477545535316119,0.08490142031414748,-1.270150517728576,0.25
cubic,2.0,q_only,X1+Y2+Z1,"3-axis:(1, 1, 2)",edge,"((0, 2, 1), (2, 0, 1))",8.807494978379742e-05,60,0.24931179235277376,0.2779585882790831,0.17116603877043635,-0.16736261545762796,0.36666666666666664,0.24931179235277376,0.32615751063967974,0.15504904301472372,-0.49562200960577973,0.31666666666666665,1.2889592559852876,1.2458266094965744,0.24012433133994251,0.179626305455364,0.5333333333333333,0.5714285714285714,0.7476190476190475,0.17760053522830016,-0.9920605023120932,0.05,0.42857142857142855,0.5642857142857143,0.27283470363977547,-0.4974231060172328,0.2,0.826247752508954,0.7344663799595949,0.09313671257081246,0.9854478434440307,0.9
cubic,2.0,xyz_only,X1+Y2+Z1,"3-axis:(1, 1, 2)",face,"((1, 0, 1), (1, 2, 1))",0.00015084469548441333,12,0.5020928881726778,0.7342107443653264,0.504452516099945,-0.46013816718915906,0.3333333333333333,0.6311728113728997,1.7588583701281033,0.9601145371213912,-1.1745323241694143,0.25,0.6355143446225842,0.9747698798495433,0.26796825637381494,-1.2660288192957925,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7399169705624359,0.8477545535316119,0.08490142031414748,-1.270150517728576,0.25
cubic,5.0,score_q,X1+Y1+Z1,"3-axis:(1, 1, 1)",face,"((1, 0, 1), (1, 2, 1))",0.0004947120581534749,12,0.40099662788032,0.3500988450610026,0.16380147429664355,0.31072847810167487,0.5833333333333334,0.5030897089445494,0.5946817698194927,0.16744194029145051,-0.547007880552331,0.3333333333333333,1.4266061251076534,1.238268911013763,0.22589639243331217,0.8337327217328468,0.8333333333333334,0.8571428571428571,0.904761904761905,0.0673435029701474,-0.7071067811760513,0.0,0.5714285714285714,0.7023809523809524,0.21395477090013607,-0.6120563724792626,0.08333333333333333,0.6761786355742229,0.6943449817740208,0.05490409654954305,-0.3308741485815101,0.5833333333333334
cubic,5.0,score_iso,X1+Y2+Z2,"3-axis:(1, 2, 2)",corner,"((0, 2, 2), (2, 0, 0))",0.00011487489363656828,24,0.2767600933813326,0.37814975197770123,0.2495304369947444,-0.4063218091430576,0.4166666666666667,0.33194438593350223,0.5119341928111363,0.2770422309257436,-0.6496836466972703,0.20833333333333334,1.70262801794616,1.3366149726864258,1.0250224988134087,0.3570780599285213,0.7083333333333334,1.0,0.7797619047619048,0.2944473858578961,0.7479709646450619,0.375,1.0,0.7321428571428571,0.3482524399121446,0.7691464930552889,0.375,0.7554062056483931,0.6270821897306743,0.19825986919163885,0.6472515917632983,0.7083333333333334
cubic,5.0,q_only,X1+Y2+Z1,"3-axis:(1, 1, 2)",edge,"((1, 0, 2), (1, 2, 0))",0.00021882281365442915,60,0.4064959590278916,0.23948569397188352,0.16689288270433938,1.0007033394640077,0.75,0.46691366755053537,0.3552899491590817,0.20745070230597357,0.5380734658891603,0.6666666666666666,1.4814708354096715,1.3065625005473112,0.2618743586692437,0.6679093583293799,0.8,0.8571428571428571,0.8119047619047618,0.1778397709371673,0.25437558201660093,0.4,0.5714285714285714,0.6261904761904762,0.28701094656251713,-0.19080075313359407,0.48333333333333334,0.6208616209400174,0.7158937633188516,0.09665443085182819,-0.9832155809135722,0.21666666666666667
cubic,5.0,xyz_only,X1+Y1+Z1,"3-axis:(1, 1, 1)",face,"((1, 0, 1), (1, 2, 1))",0.0004947120581534749,12,0.40099662788032,0.3500988450610026,0.16380147429664355,0.31072847810167487,0.5833333333333334,0.5030897089445494,0.5946817698194927,0.16744194029145051,-0.547007880552331,0.3333333333333333,1.4266061251076534,1.238268911013763,0.22589639243331217,0.8337327217328468,0.8333333333333334,0.8571428571428571,0.904761904761905,0.0673435029701474,-0.7071067811760513,0.0,0.5714285714285714,0.7023809523809524,0.21395477090013607,-0.6120563724792626,0.08333333333333333,0.6761786355742229,0.6943449817740208,0.05490409654954305,-0.3308741485815101,0.5833333333333334
cubic,10.0,score_q,X1+Y1+Z1,"3-axis:(1, 1, 1)",face,"((1, 1, 0), (1, 1, 2))",0.0008180268161476556,12,0.39005311742831794,0.3740474877939091,0.2697279847194292,0.05933989256249598,0.6666666666666666,0.40325453066408246,0.62609559046691,0.16948817665132232,-1.3147882300955427,0.08333333333333333,1.5168150227924173,1.2155222128215328,0.2750553179240022,1.0953898737309138,0.8333333333333334,0.7142857142857143,0.9523809523809524,0.0673435029701474,-3.5355339058802366,0.0,0.42857142857142855,0.9523809523809524,0.0673435029701474,-7.778174592936521,0.0,0.6379267743140817,0.6778838651784008,0.07906597444242691,-0.5053639210240694,0.5
cubic,10.0,score_iso,X1+Y1+Z1,"3-axis:(1, 1, 1)",face,"((1, 1, 0), (1, 1, 2))",0.0004903957063234434,12,0.39782473431442134,0.6614787116695237,0.4720069226472315,-0.5585807425786283,0.5833333333333334,0.3978247343144531,1.5084078472198368,1.0941737579400619,-1.014997028438335,0.16666666666666666,1.2269549675382458,1.3348143866129822,0.425432369358694,-0.25352894335960496,0.5,1.0,0.9047619047619047,0.10647942749999,0.8944271909915168,0.5,1.0,0.8571428571428572,0.20203050891044214,0.7071067811830473,0.5,0.6860457616985828,0.8039573450690618,0.10318635946791256,-1.1427051402661685,0.25
cubic,10.0,q_only,X1+Y1+Z2,"3-axis:(1, 1, 2)",edge,"((1, 0, 2), (1, 2, 0))",0.000510782876269064,60,0.3010700220334375,0.36981959204582987,0.23703987877346913,-0.29003377139676956,0.45,0.3010700220334375,0.8859421717242537,0.595730994207799,-0.9817722350800221,0.21666666666666667,0.9132861688512383,0.8803379516957932,0.24943420595319016,0.1320918156730122,0.5,0.8571428571428571,0.9238095238095236,0.12362623795949687,-0.5392598510355786,0.08333333333333333,0.42857142857142855,0.8285714285714287,0.2387609740327938,-1.6753156650440908,0.0,0.5626786685820304,0.6831922744751391,0.0890364223035593,-1.3535315410684183,0.05
cubic,10.0,xyz_only,X1+Y1+Z1,"3-axis:(1, 1, 1)",face,"((1, 1, 0), (1, 1, 2))",0.0004903957063234434,12,0.39782473431442134,0.6614787116695237,0.4720069226472315,-0.5585807425786283,0.5833333333333334,0.3978247343144531,1.5084078472198368,1.0941737579400619,-1.014997028438335,0.16666666666666666,1.2269549675382458,1.3348143866129822,0.425432369358694,-0.25352894335960496,0.5,1.0,0.9047619047619047,0.10647942749999,0.8944271909915168,0.5,1.0,0.8571428571428572,0.20203050891044214,0.7071067811830473,0.5,0.6860457616985828,0.8039573450690618,0.10318635946791256,-1.1427051402661685,0.25
tet_1.05,0.0,score_q,Z1,"1-axis:(1,)",face,"((0, 1, 1), (2, 1, 1))",0.00017016501669595723,12,1.0984914009085567,0.8489897960718805,0.13740146352076,1.8158584227682777,1.0,1.414213559220699,1.4104227445272104,0.03341813558607783,0.11343585232667705,0.6666666666666666,1.0823921981850222,1.0978797873429467,0.018254704070729433,-0.8484163368010817,0.4166666666666667,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9615588861983051,0.9535818798308059,0.006369473612933099,1.2523807854466436,0.6666666666666666
tet_1.05,0.0,score_iso,Z1,"1-axis:(1,)",face,"((0, 1, 1), (2, 1, 1))",0.00017016501669595723,12,1.0984914009085567,0.8489897960718805,0.13740146352076,1.8158584227682777,1.0,1.414213559220699,1.4104227445272104,0.03341813558607783,0.11343585232667705,0.6666666666666666,1.0823921981850222,1.0978797873429467,0.018254704070729433,-0.8484163368010817,0.4166666666666667,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9615588861983051,0.9535818798308059,0.006369473612933099,1.2523807854466436,0.6666666666666666
tet_1.05,0.0,q_only,Z1,"1-axis:(1,)",face,"((0, 1, 1), (2, 1, 1))",0.00017016501669595723,12,1.0984914009085567,0.8489897960718805,0.13740146352076,1.8158584227682777,1.0,1.414213559220699,1.4104227445272104,0.03341813558607783,0.11343585232667705,0.6666666666666666,1.0823921981850222,1.0978797873429467,0.018254704070729433,-0.8484163368010817,0.4166666666666667,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9615588861983051,0.9535818798308059,0.006369473612933099,1.2523807854466436,0.6666666666666666
tet_1.05,0.0,xyz_only,Z1,"1-axis:(1,)",face,"((0, 1, 1), (2, 1, 1))",0.00017016501669595723,12,1.0984914009085567,0.8489897960718805,0.13740146352076,1.8158584227682777,1.0,1.414213559220699,1.4104227445272104,0.03341813558607783,0.11343585232667705,0.6666666666666666,1.0823921981850222,1.0978797873429467,0.018254704070729433,-0.8484163368010817,0.4166666666666667,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9615588861983051,0.9535818798308059,0.006369473612933099,1.2523807854466436,0.6666666666666666
tet_1.05,1.0,score_q,Z1,"1-axis:(1,)",face,"((0, 1, 1), (2, 1, 1))",1.376886412040629e-05,12,1.2905045100526997,0.7485355465128173,0.3647599594480182,1.485823620439437,1.0,2.2922616564821237,1.6491176298818153,0.6340843383288514,1.0142878284840149,1.0,1.1820728439106147,0.8986646757956093,0.29151917589861853,0.9721767607239464,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9220981880517974,0.8514022096192576,0.09383666602309686,0.7533939709066966,0.6666666666666666
tet_1.05,1.0,score_iso,Z1,"1-axis:(1,)",face,"((0, 1, 1), (2, 1, 1))",1.376886412040629e-05,12,1.2905045100526997,0.7485355465128173,0.3647599594480182,1.485823620439437,1.0,2.2922616564821237,1.6491176298818153,0.6340843383288514,1.0142878284840149,1.0,1.1820728439106147,0.8986646757956093,0.29151917589861853,0.9721767607239464,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9220981880517974,0.8514022096192576,0.09383666602309686,0.7533939709066966,0.6666666666666666
tet_1.05,1.0,q_only,Z1,"1-axis:(1,)",face,"((1, 1, 0), (1, 1, 2))",0.00018108786794044656,12,0.741566204847794,0.3687832471725406,0.41957515635813775,0.8884771941934707,0.8333333333333334,0.8940777397294103,1.309564451828839,0.5858654429030067,-0.7091845356844262,0.3333333333333333,1.3931958824414423,0.9243044606576986,0.42524522779253765,1.1026377044056963,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7628716414615933,0.7986048599487964,0.10062050457912787,-0.35512859567055166,0.3333333333333333
tet_1.05,1.0,xyz_only,Z1,"1-axis:(1,)",face,"((0, 1, 1), (2, 1, 1))",1.376886412040629e-05,12,1.2905045100526997,0.7485355465128173,0.3647599594480182,1.485823620439437,1.0,2.2922616564821237,1.6491176298818153,0.6340843383288514,1.0142878284840149,1.0,1.1820728439106147,0.8986646757956093,0.29151917589861853,0.9721767607239464,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9220981880517974,0.8514022096192576,0.09383666602309686,0.7533939709066966,0.6666666666666666
tet_1.05,1.5,score_q,X1+Y1,"2-axis:(1, 1)",face,"((1, 0, 1), (1, 2, 1))",0.00020133017330667064,12,0.5995740787229628,0.206097852038596,0.14242010169259633,2.7627857444653032,1.0,0.629558290166998,0.5581802540863142,0.3912172838944232,0.18245113142742433,0.6666666666666666,1.3033933526368278,1.0686958396448112,0.198163972797418,1.1843601522399951,0.8333333333333334,1.0,0.8809523809523809,0.12821820969367867,0.9284766908780181,0.5833333333333334,1.0,0.7738095238095237,0.25056625214106176,0.9027172424729994,0.5833333333333334,0.6972675700629882,0.7537788936721094,0.0879063624042801,-0.6428581738894338,0.3333333333333333
tet_1.05,1.5,score_iso,Z1,"1-axis:(1,)",face,"((1, 1, 0), (1, 1, 2))",0.00011423406844280503,12,0.6268841682468798,0.7889068510875251,0.37442663023306116,-0.4327221136471034,0.5,0.6268841682468798,1.6950771608799258,0.7853484349725974,-1.3601516792593564,0.16666666666666666,0.5868098617766799,0.932951460892185,0.24807402319689073,-1.395315779755726,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7104647213448744,0.8492362157482175,0.09365693559795144,-1.4817001380183614,0.16666666666666666
tet_1.05,1.5,q_only,X1+Y2+Z1,"3-axis:(1, 1, 2)",corner,"((0, 0, 0), (2, 2, 2))",4.5543218192906045e-05,24,0.12203210098906211,0.17414985827013693,0.23449337795612216,-0.22225684040683105,0.6666666666666666,0.3131893646227416,0.23229263747259554,0.23681058714737677,0.34160941925902644,0.75,0.8410837718630935,0.9944533714829507,0.2981293997314331,-0.5144397022148913,0.4166666666666667,0.14285714285714285,0.5238095238095238,0.32384453592227247,-1.1763433953464602,0.0,0.14285714285714285,0.45833333333333326,0.35229849421327836,-0.8954798151487655,0.0,0.589010855612806,0.580225309555432,0.17857041352885436,0.04919933758178374,0.5833333333333334
