case,label,y,I_norm
coherent_baseline,kohärent,-0.55,0.0304251010352612
coherent_baseline,kohärent,-0.5492142857142858,0.031077761271189525
coherent_baseline,kohärent,-0.5484285714285715,0.03170726888612676
coherent_baseline,kohärent,-0.5476428571428572,0.032311889306905255
coherent_baseline,kohärent,-0.5468571428571429,0.03288993702072202
coherent_baseline,kohärent,-0.5460714285714287,0.033439780972487766
coherent_baseline,kohärent,-0.5452857142857144,0.033959849838081604
coherent_baseline,kohärent,-0.5445000000000001,0.03444863715571049
coherent_baseline,kohärent,-0.5437142857142857,0.03490470629792385
coherent_baseline,kohärent,-0.5429285714285714,0.035326695267222014
coherent_baseline,kohärent,-0.5421428571428571,0.035713321298666625
coherent_baseline,kohärent,-0.5413571428571429,0.036063385253416604
coherent_baseline,kohärent,-0.5405714285714286,0.03637577578768693
coherent_baseline,kohärent,-0.5397857142857143,0.03664947328226035
coherent_baseline,kohärent,-0.539,0.03688355351837039
coherent_baseline,kohärent,-0.5382142857142858,0.037077191086497194
coherent_baseline,kohärent,-0.5374285714285715,0.037229662515421605
coherent_baseline,kohärent,-0.5366428571428572,0.03734034910969589
coherent_baseline,kohärent,-0.5358571428571429,0.03740873948458269
coherent_baseline,kohärent,-0.5350714285714286,0.03743443178842035
coherent_baseline,kohärent,-0.5342857142857144,0.03741713560333809
coherent_baseline,kohärent,-0.5335000000000001,0.03735667351623556
coherent_baseline,kohärent,-0.5327142857142858,0.03725298235296614
coherent_baseline,kohärent,-0.5319285714285715,0.0371061140697201
coherent_baseline,kohärent,-0.5311428571428571,0.03691623629669379
coherent_baseline,kohärent,-0.5303571428571429,0.03668363253022049
coherent_baseline,kohärent,-0.5295714285714286,0.03640870197067852
coherent_baseline,kohärent,-0.5287857142857143,0.03609195900462113
coherent_baseline,kohärent,-0.528,0.03573403233073465
coherent_baseline,kohärent,-0.5272142857142857,0.035335663730374146
coherent_baseline,kohärent,-0.5264285714285715,0.03489770648461419
coherent_baseline,kohärent,-0.5256428571428572,0.034421123440887144
coherent_baseline,kohärent,-0.5248571428571429,0.033906984733465845
coherent_baseline,kohärent,-0.5240714285714286,0.03335646516318912
coherent_baseline,kohärent,-0.5232857142857144,0.032770841242963596
coherent_baseline,kohärent,-0.5225000000000001,0.03215148791671736
coherent_baseline,kohärent,-0.5217142857142858,0.03149987496056856
coherent_baseline,kohärent,-0.5209285714285715,0.03081756307606951
coherent_baseline,kohärent,-0.5201428571428572,0.030106199686431585
coherent_baseline,kohärent,-0.5193571428571429,0.02936751444767151
coherent_baseline,kohärent,-0.5185714285714286,0.028603314487603292
coherent_baseline,kohärent,-0.5177857142857143,0.027815479386554598
coherent_baseline,kohärent,-0.517,0.02700595591460359
coherent_baseline,kohärent,-0.5162142857142857,0.026176752540994736
coherent_baseline,kohärent,-0.5154285714285715,0.025329933732210683
coherent_baseline,kohärent,-0.5146428571428572,0.02446761405595689
coherent_baseline,kohärent,-0.5138571428571429,0.02359195210901754
coherent_baseline,kohärent,-0.5130714285714286,0.02270514428761464
coherent_baseline,kohärent,-0.5122857142857143,0.02180941841949331
coherent_baseline,kohärent,-0.5115000000000001,0.020907027277502762
coherent_baseline,kohärent,-0.5107142857142858,0.020000241994918514
coherent_baseline,kohärent,-0.5099285714285715,0.01909134540316098
coherent_baseline,kohärent,-0.5091428571428572,0.01818262531291417
coherent_baseline,kohärent,-0.508357142857143,0.01727636775992471
coherent_baseline,kohärent,-0.5075714285714286,0.01637485023696658
coherent_baseline,kohärent,-0.5067857142857143,0.015480334933601594
coherent_baseline,kohärent,-0.506,0.01459506200541877
