geometry,beta,consensus_family,consensus_count,consensus_q,consensus_q_count,mean_boundary,mean_q,mean_xyz
cubic,0.0,"1-axis:(1,)",4,Z1,4,3.6872978309707953,0.22215414505703104,0.00019046955742866537
cubic,0.25,"1-axis:(1,)",4,Z1,3,3.2240118498195645,0.2879608731583304,0.00015491226693128217
cubic,0.5,"1-axis:(1,)",4,X1,2,2.9286359221436693,0.23445843001664413,0.0001382200660272466
cubic,0.75,"1-axis:(1,)",2,X1+Y1+Z1,1,2.5162220466624756,0.15200759728378324,0.00012275255622272666
cubic,1.0,"1-axis:(1,)",2,Y1,2,2.547797030952802,0.14214751795403568,0.0001334193517008887
cubic,1.5,"3-axis:(1, 1, 1)",3,X1+Y1+Z1,3,1.9843020736889974,0.1760639001773205,0.0001780332340785605
cubic,2.0,"3-axis:(1, 2, 2)",2,X1+Y2+Z2,2,1.5729717515301649,0.16816799424273082,0.0001491395747200802
cubic,3.0,"3-axis:(1, 1, 2)",3,X1+Y2+Z1,3,1.0780071827452145,0.2958116085033584,0.00019699615776948406
cubic,4.0,"3-axis:(1, 1, 2)",4,X1+Y1+Z2,3,0.7726789159745734,0.24822966920280676,0.0002222227460991768
cubic,5.0,"3-axis:(1, 1, 1)",3,X1+Y1+Z1,3,0.48992757227301453,0.223705126044229,0.0002485527052945667
cubic,7.0,"3-axis:(1, 2, 2)",2,X1+Y2+Z2,2,0.34979467706403616,0.24034882354952433,0.00034781535670006577
cubic,10.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,3,0.14103052648573403,0.22041470526681664,0.00035973364849967133
ortho_1.05_1.20,0.0,"1-axis:(1,)",4,Z1,4,3.4190503040074485,0.41495577852084464,0.00021124003427341488
ortho_1.05_1.20,0.25,"1-axis:(1,)",4,Z1,4,3.1356534595950336,0.3447548847084299,0.00018793329092280534
ortho_1.05_1.20,0.5,"1-axis:(1,)",4,Z1,4,2.8523273655174717,0.2696651959210615,0.0001654897222563721
ortho_1.05_1.20,0.75,"1-axis:(1,)",4,Z1,4,2.5788649688626646,0.20084978577313545,0.00014470775173871877
ortho_1.05_1.20,1.0,"1-axis:(1,)",4,Z1,3,2.3280058940480415,0.14102925522120627,0.0001266516040549224
ortho_1.05_1.20,1.5,"2-axis:(1, 1)",2,Y1+Z1,2,1.5871669332148566,0.0907581697923743,0.00010534085056733842
ortho_1.05_1.20,2.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,1.310495133283796,0.09325040970303794,0.00012467878338257284
ortho_1.05_1.20,3.0,"3-axis:(1, 1, 2)",4,X1+Y2+Z1,3,0.9063575886026581,0.10481660636510744,0.0001531028358603498
ortho_1.05_1.20,4.0,"3-axis:(1, 1, 2)",4,X1+Y1+Z2,2,0.6441184234995996,0.110072846414755,0.00018177920645096808
ortho_1.05_1.20,5.0,"3-axis:(1, 2, 2)",3,X1+Y2+Z2,3,0.33134146085518035,0.11009681440805671,0.0002251144444297695
ortho_1.05_1.20,7.0,"3-axis:(1, 1, 2)",4,X1+Y2+Z1,3,0.18999960524832596,0.11704122338920835,0.00031526767379493016
ortho_1.05_1.20,10.0,"3-axis:(1, 1, 2)",4,X1+Y1+Z2,4,0.10079168742341742,0.12084473542537111,0.0004074601921331122
ortho_1.10_1.30,0.0,"1-axis:(1,)",4,Z1,3,3.287135495201709,0.4149556844027297,0.0002112399704232921
ortho_1.10_1.30,0.25,"1-axis:(1,)",4,Z1,4,3.0041011187754285,0.3429120565047446,0.00018717044055895237
ortho_1.10_1.30,0.5,"1-axis:(1,)",4,Z1,4,2.7192671198141167,0.26604057694779126,0.0001639917428781321
ortho_1.10_1.30,0.75,"1-axis:(1,)",4,Z1,4,2.445001148629166,0.19619565797624952,0.00014261275659883924
ortho_1.10_1.30,1.0,"1-axis:(1,)",4,Y1,2,2.204162256960143,0.13078533235282347,0.00012711216384772876
ortho_1.10_1.30,1.5,"2-axis:(1, 1)",2,X1+Y1+Z2,2,1.493119042026417,0.09227817604538792,0.00010778980647423067
ortho_1.10_1.30,2.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,3,1.2240514509509952,0.09442496814264645,0.00012708219174376284
ortho_1.10_1.30,3.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.8360107636508125,0.10563721227883849,0.00015721525619273656
ortho_1.10_1.30,4.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,3,0.5885273476408527,0.11058919142082745,0.0001848252240144499
ortho_1.10_1.30,5.0,"3-axis:(1, 1, 2)",4,X1+Y2+Z1,3,0.300554560089068,0.11116140444773315,0.00023564422869067148
ortho_1.10_1.30,7.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.20002763641536206,0.1178290900785153,0.0003878149056559632
ortho_1.10_1.30,10.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.1049662523322539,0.12075155794711705,0.0004542273549068619
ortho_1.20_1.50,0.0,"1-axis:(1,)",4,Y1,3,3.0668205106319824,0.41495568432094593,0.00021123997111064126
ortho_1.20_1.50,0.25,"1-axis:(1,)",4,Z1,4,2.785295260821751,0.3391824915849064,0.0001856310663937686
ortho_1.20_1.50,0.5,"1-axis:(1,)",4,Z1,4,2.497873767572913,0.25875987685294527,0.00016098417745624962
ortho_1.20_1.50,0.75,"1-axis:(1,)",4,Z1,4,2.2228601482681527,0.18701444307122456,0.00013845011356061122
ortho_1.20_1.50,1.0,"1-axis:(1,)",2,Z1,2,1.8208579968959633,0.12518960523840525,0.00010992243146564434
ortho_1.20_1.50,1.5,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,1.4171674712568616,0.09634958058535506,0.00014177229623597954
ortho_1.20_1.50,2.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,3,1.0676087011338082,0.09212621577570482,0.00016715753125583527
ortho_1.20_1.50,3.0,"3-axis:(1, 2, 2)",3,X1+Y2+Z2,3,0.675823340559027,0.10357080864001747,0.0002152954687122336
ortho_1.20_1.50,4.0,"3-axis:(1, 2, 2)",3,X1+Y2+Z2,3,0.4656723139501941,0.11038651246038764,0.0002762349476919583
ortho_1.20_1.50,5.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.27245429277366673,0.11450905798690682,0.00032665583435797976
