geometry,beta,criterion,branch_id,local_mode_index,eigenvalue,dominant_q,q_family,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,criterion_value,branch_overlap_prev
cubic,0.0,score_q,17,17,5.727495334112622,Z1,"1-axis:(1,)",0.24573912194290295,0.00021638867632598944,0.4171705361544112,3.6784063078637907,5.3175163318735677e-05,1.0
cubic,0.0,score_iso,8,8,2.88220793951544,Z1,"1-axis:(1,)",0.15139921439941528,0.00011271220073669311,0.9999999999999646,3.713972400291809,0.00011271220073668911,1.0
cubic,0.0,q_only,17,17,5.727495334112622,Z1,"1-axis:(1,)",0.24573912194290295,0.00021638867632598944,0.4171705361544112,3.6784063078637907,0.24573912194290295,1.0
cubic,0.0,xyz_only,17,17,5.727495334112622,Z1,"1-axis:(1,)",0.24573912194290295,0.00021638867632598944,0.4171705361544112,3.6784063078637907,0.00021638867632598944,1.0
cubic,0.25,score_q,18,18,6.6119772233501335,Z1,"1-axis:(1,)",0.302958213202752,0.00020189668177759997,0.5140506262374396,3.397147470315307,6.116625796290632e-05,0.7944752065230988
cubic,0.25,score_iso,18,18,6.6119772233501335,Z1,"1-axis:(1,)",0.302958213202752,0.00020189668177759997,0.5140506262374396,3.397147470315307,0.00010378511570303633,0.7944752065230988
cubic,0.25,q_only,5,5,2.646056264393772,Z1,"1-axis:(1,)",0.30935552087105045,1.176693768417413e-05,0.34475651586578965,2.704604988332339,0.30935552087105045,0.9779488800338638
cubic,0.25,xyz_only,16,17,6.611977223350079,Y1,"1-axis:(1,)",0.2365715453567671,0.0002040887664857546,0.396795986024772,3.3971474703153044,0.0002040887664857546,0.9634991329059501
cubic,0.5,score_q,16,18,7.426269501656027,Y1,"1-axis:(1,)",0.26639049040329316,0.0001712600084958219,0.704523791779255,3.1182461058103508,4.562203764967415e-05,0.900111788340574
cubic,0.5,score_iso,16,18,7.426269501656027,Y1,"1-axis:(1,)",0.26639049040329316,0.0001712600084958219,0.704523791779255,3.1182461058103508,0.00012065675056562386,0.900111788340574
cubic,0.5,q_only,6,7,3.2780775014831938,X1,"1-axis:(1,)",0.26919837328260193,1.879255302357543e-05,0.5158978850092434,2.359805371143624,0.26919837328260193,0.8327415129345204
