geometry,beta,criterion,num_deg_clusters,max_cluster_size,family_mode,family_mode_count,family_mode_frac,exact_q_mode,exact_q_mode_count,exact_q_mode_frac,n_unique_families,n_unique_exact_q
tet_1.10,0.5,consensus,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.10,1.0,score_q,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.10,1.0,score_iso,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.10,1.0,consensus,7,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.10,1.5,score_q,6,2,"2-axis:(1, 1)",12,1.0,X1+Y1,12,1.0,1,1
tet_1.10,1.5,score_iso,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.10,1.5,consensus,6,2,"1-axis:(1,)",12,1.0,X1+Y1,12,1.0,1,1
tet_1.10,2.0,score_q,6,2,"3-axis:(1, 1, 1)",6,0.5,X1+Y1+Z1,6,0.5,2,2
tet_1.10,2.0,score_iso,6,2,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
tet_1.10,2.0,consensus,6,2,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
tet_1.10,5.0,score_q,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
tet_1.10,5.0,score_iso,6,2,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
tet_1.10,5.0,consensus,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y2+Z1,12,1.0,1,1
tet_1.10,10.0,score_q,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.10,10.0,score_iso,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.10,10.0,consensus,6,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
ortho_1.05_1.20,0.0,score_q,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.05_1.20,0.0,score_iso,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.05_1.20,0.0,consensus,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.05_1.20,0.5,score_q,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.05_1.20,0.5,score_iso,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.05_1.20,0.5,consensus,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.05_1.20,1.0,score_q,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.05_1.20,1.0,score_iso,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
ortho_1.05_1.20,1.0,consensus,0,1,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
