geometry,beta,branch_id,parent_branch_id,branch_overlap_prev,local_mode_index,eigenvalue,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,score_q_only,score_xyz_only
cubic,0.0,1,1,1.0,1,3.14458203400092e-14,X1+Y1+Z2,2.5278300717822796e-21,4.1922484002772836e-18,0.9999999999999986,1.8749999997656257,1.0597291574602072e-38,4.1922484002772774e-18,2.5278300717822796e-21,4.1922484002772836e-18
cubic,0.0,2,2,1.0,2,0.9607359798384599,X1+Y2+Z2,1.3251318429460869e-21,3.389135679917651e-18,0.15302309586407686,2.4879907999410187,4.491051609523616e-39,5.186160340444021e-19,1.3251318429460869e-21,3.389135679917651e-18
cubic,0.0,3,3,1.0,3,0.9607359798384782,Y1,1.4430398038053168e-21,2.6020852139652106e-18,0.15363912772038651,2.4879907999410196,3.754912536645073e-39,3.9978210252773027e-19,1.4430398038053168e-21,2.6020852139652106e-18
cubic,0.0,4,4,1.0,4,0.9607359798384828,X1+Y2+Z2,2.2050797306647886e-21,4.521524615624733e-18,0.565935757682098,2.487990799941018,9.970322281615998e-39,2.5588924592218405e-18,2.2050797306647886e-21,4.521524615624733e-18
cubic,0.0,5,5,1.0,5,1.921471959676937,X1+Y2+Z1,2.3013894521955964e-21,4.421135525579779e-18,0.2111710285396135,3.1009816001164134,1.0174754665296538e-38,9.336157362497066e-19,2.3013894521955964e-21,4.421135525579779e-18
cubic,0.0,6,6,1.0,6,1.9214719596769794,Z1,3.661772901354907e-21,5.811524422702394e-18,0.1986669212641505,3.100981600116413,2.1280482646613843e-38,1.1545576649097041e-18,3.661772901354907e-21,5.811524422702394e-18
cubic,0.0,7,7,1.0,7,1.9214719596770056,X1+Z2,2.2028375211083433e-21,3.569083123823231e-18,0.33549782722957294,3.100981600116414,7.862110221112389e-39,1.1974196332444309e-18,2.2028375211083433e-21,3.569083123823231e-18
cubic,0.0,8,8,1.0,8,2.88220793951544,Z1,0.15139921439941528,0.00011271220073669311,0.9999999999999646,3.713972400291809,1.7064538644764535e-05,0.00011271220073668911,0.15139921439941528,0.00011271220073669311
cubic,0.0,9,9,1.0,9,3.8060233744356218,X1+Y2+Z1,2.591156340183976e-21,5.2237463004891875e-18,0.8910382079986637,2.452424707513,1.3535543346025148e-38,4.654557542627535e-18,2.591156340183976e-21,5.2237463004891875e-18
cubic,0.0,10,10,1.0,10,3.806023374435684,X1+Y2+Z2,1.7523123675066607e-21,3.0377738647603116e-18,0.9279445045031414,2.4524247075130003,5.323128712908e-39,2.8188855637276e-18,1.7523123675066607e-21,3.0377738647603116e-18
cubic,0.0,11,11,1.0,11,3.806023374435702,Y1,3.58404701082663e-21,6.179952383167375e-18,0.9547917381068202,2.452424707513001,2.214923986594194e-38,5.900567477341764e-18,3.58404701082663e-21,6.179952383167375e-18
cubic,0.0,12,12,1.0,12,4.7667593542741065,Y1,5.676204749094356e-12,1.7377385217515813e-13,0.32584802497644405,3.0654155077659904,9.863759649850532e-25,5.6623866523823824e-14,5.676204749094356e-12,1.7377385217515813e-13
cubic,0.0,13,13,1.0,13,4.766759354274165,Y1,1.7723855918756064e-17,3.0705810193870027e-16,0.41403181336494516,3.065415507688437,5.442253557448236e-33,1.2713182275407827e-16,1.7723855918756064e-17,3.0705810193870027e-16
cubic,0.0,14,14,1.0,14,4.766759354274184,Y1,7.074589633179018e-16,1.9402169316261267e-15,0.4085457035406485,3.0654155076883196,1.37262385906006e-30,7.926672913526742e-16,7.074589633179018e-16,1.9402169316261267e-15
cubic,0.0,15,15,1.0,15,4.766759354275207,Y1,5.4597191280702575e-06,1.7042989250331698e-10,0.36992331268390705,3.0654155518870625,9.304993440953175e-16,6.30459904151892e-11,5.4597191280702575e-06,1.7042989250331698e-10
cubic,0.0,16,16,1.0,16,5.727495334112609,X1,0.20830756568153497,0.0002151710517940074,0.3871596462420638,3.678406307863792,4.482175800434516e-05,8.330554829410069e-05,0.20830756568153497,0.0002151710517940074
cubic,0.0,17,17,1.0,17,5.727495334112622,Z1,0.24573912194290295,0.00021638867632598944,0.4171705361544112,3.6784063078637907,5.3175163318735677e-05,9.027098012065636e-05,0.24573912194290295,0.00021638867632598944
cubic,0.0,18,18,1.0,18,5.72749533411264,Z1,0.16742361613734572,0.000211039780162261,0.4384222408878489,3.678406307863795,3.5333043143596214e-05,9.252453333521747e-05,0.16742361613734572,0.000211039780162261
cubic,0.0,19,19,1.0,19,7.612046748871293,Y1,1.4346876753827147e-13,2.5307836619826018e-14,0.9252195455872835,3.029849415258896,3.630884128906373e-27,2.3415305097192642e-14,1.4346876753827147e-13,2.5307836619826018e-14
cubic,0.0,20,20,1.0,20,7.612046748871295,Y1,1.4646042941002686e-13,2.5567277164683697e-14,0.9359793090199839,3.0298494152621807,3.744594392384748e-27,2.393044241412306e-14,1.4646042941002686e-13,2.5567277164683697e-14
cubic,0.25,1,1,0.995480822558028,1,0.42130213126814686,X1+Y2+Z2,0.1162781219900855,1.3204976379954485e-07,0.9999999999999867,1.5100614525566034,1.535449854384545e-08,1.320497637995431e-07,0.1162781219900855,1.3204976379954485e-07
cubic,0.25,2,2,0.6309498940687698,2,1.5336791978309607,X1+Y1,0.1769224325691242,1.3403780335232503e-06,0.3043008585723627,2.1073332204444717,2.3714294225315257e-07,4.0787818641266027e-07,0.1769224325691242,1.3403780335232503e-06
cubic,0.25,3,3,0.7634007748621453,3,1.5336791978309718,Y1+Z2,0.1944588482912952,1.269767528900813e-06,0.4472110152088166,2.10733322044447,2.46917531267736e-07,5.67854025678923e-07,0.1944588482912952,1.269767528900813e-06
cubic,0.25,4,4,0.8619454286597052,4,1.5336791978309874,X1+Z1,0.1645727854458823,1.3792352799306711e-06,0.2827682043528947,2.1073332204444712,2.2698459180342175e-07,3.900038834861579e-07,0.1645727854458823,1.3792352799306711e-06
cubic,0.25,5,5,0.9779488800338638,5,2.646056264393772,Z1,0.30935552087105045,1.176693768417413e-05,0.34475651586578965,2.704604988332339,3.64016713634488e-06,4.056728438405736e-06,0.30935552087105045,1.176693768417413e-05
cubic,0.25,7,7,0.7358126743061996,6,2.646056264393786,Y1,0.2846856921235509,1.2085557881537259e-05,0.2732245597511546,2.7046049883323415,3.4405854102046698e-06,3.3020712315301143e-06,0.2846856921235509,1.2085557881537259e-05
cubic,0.25,6,6,0.7215762682155253,7,2.646056264393791,X1,0.2657498944783728,1.216859928809894e-05,0.24530526323513152,2.7046049883323393,3.233803976761895e-06,2.985021451569944e-06,0.2657498944783728,1.216859928809894e-05
cubic,0.25,8,8,0.9974056418133515,8,3.7584333309565685,X1,0.1372220285402818,9.708329999018084e-05,0.9999999999999871,3.3018767562202114,1.3321967362037333e-05,9.70832999901796e-05,0.1372220285402818,9.708329999018084e-05
cubic,0.25,11,11,0.8211147184041588,9,4.387223090224421,X1+Y1+Z1,0.12436592603765478,3.2725327960713786e-06,0.7854069115158586,2.2026039345395687,4.0699157167201265e-07,2.5702698761967786e-06,0.12436592603765478,3.2725327960713786e-06
cubic,0.25,10,10,0.8029878916149041,10,4.387223090224423,X1+Y1+Z2,0.12818051155438734,2.323056847324559e-06,0.8444223862740878,2.2026039345395665,2.9777061505998423e-07,1.9616412064681633e-06,0.12818051155438734,2.323056847324559e-06
cubic,0.25,9,9,0.9550203694590985,11,4.387223090224466,X1+Y2+Z2,0.20650067451813317,5.323881485726907e-07,0.8315130230568788,2.2026039345395696,1.0993851178572072e-07,4.4268767885933276e-07,0.20650067451813317,5.323881485726907e-07
cubic,0.25,15,15,0.7321285605345489,12,5.499600156787216,Y1+Z1,0.11415229474584868,2.9293744243577583e-05,0.28979185178596073,2.799875702425266,3.3439481271023763e-06,8.489088390090675e-06,0.11415229474584868,2.9293744243577583e-05
cubic,0.25,14,14,0.7361026415831281,13,5.499600156787223,X1+Y2,0.11911277742067433,2.4010591315887946e-05,0.46100997914912656,2.799875702412761,2.859968219148137e-06,1.1069122201895701e-05,0.11911277742067433,2.4010591315887946e-05
cubic,0.25,13,13,0.745453142620196,14,5.499600156787283,X1+Y1,0.14906446095760523,1.5684984731803906e-05,0.3918862566055594,2.799875702427448,2.3380737941746172e-06,6.146729951461987e-06,0.14906446095760523,1.5684984731803906e-05
cubic,0.25,12,12,0.4366792020403192,15,5.499600156787352,X1+Z1,0.15022599172238654,2.6514426296675088e-05,0.44199889289800104,2.79987570277913,3.98315598536814e-06,1.1719347068956034e-05,0.15022599172238654,2.6514426296675088e-05
cubic,0.25,17,17,0.8157051824025071,16,6.611977223350069,X1,0.2074651523449762,0.00020024930797765266,0.384131068615905,3.397147470315305,4.1544753186559766e-05,7.692198066305119e-05,0.2074651523449762,0.00020024930797765266
cubic,0.25,16,16,0.9634991329059501,17,6.611977223350079,Y1,0.2365715453567671,0.0002040887664857546,0.396795986024772,3.3971474703153044,4.828159487749134e-05,8.098160333429443e-05,0.2365715453567671,0.0002040887664857546
cubic,0.25,18,18,0.7944752065230988,18,6.6119772233501335,Z1,0.302958213202752,0.00020189668177759997,0.5140506262374396,3.397147470315307,6.116625796290632e-05,0.00010378511570303633,0.302958213202752,0.00020189668177759997
cubic,0.25,19,19,0.9916812140786397,19,8.353144049180681,X1+Y2+Z1,0.14754582635677893,1.3572485591012453e-05,0.8343975826324098,2.895146416522535,2.0025636022414074e-06,1.1324849167454005e-05,0.14754582635677893,1.3572485591012453e-05
cubic,0.25,20,20,0.9799887057297874,20,8.353144049180694,X1+Y2+Z2,0.17990579449668023,1.3040131099950776e-05,0.9169355807426913,2.895146416522559,2.345995145877513e-06,1.1956960183094194e-05,0.17990579449668023,1.3040131099950776e-05
cubic,0.5,1,1,0.9966706725058023,1,0.7616716512809578,X1+Y2+Z1,0.11988942273046072,8.464291419677869e-07,0.9999999999999695,1.2247886081160848,1.0147790121275716e-07,8.464291419677611e-07,0.11988942273046072,8.464291419677869e-07
cubic,0.5,4,4,0.6989952300431214,2,2.0198745763820636,X1+Z1,0.15969491364010968,4.656951503001975e-06,0.33239077995089716,1.7922969896298526,7.436914680980794e-07,1.5479277422763293e-06,0.15969491364010968,4.656951503001975e-06
cubic,0.5,2,2,0.715396912503701,3,2.0198745763820947,X1+Y1,0.14961884828721791,4.68635914389689e-06,0.31427434449102903,1.7922969896298564,7.011676577701252e-07,1.472802447997735e-06,0.14961884828721791,4.68635914389689e-06
cubic,0.5,3,3,0.8825780347229073,4,2.0198745763821266,Y1+Z2,0.16288674306073755,4.500425289064474e-06,0.3632854445455004,1.792296989629854,7.330596177238905e-07,1.6349390017815996e-06,0.16288674306073755,4.500425289064474e-06
cubic,0.5,5,5,0.917820028725614,5,3.2780775014831165,Z1,0.25671646198024367,1.9351538306880338e-05,0.4302446020024336,2.3598053711436195,4.9678584480174755e-06,8.325894896978578e-06,0.25671646198024367,1.9351538306880338e-05
cubic,0.5,7,7,0.7970406576208358,6,3.2780775014831396,Y1,0.25674497851079414,1.988015184356511e-05,0.40904307199084944,2.3598053711436218,5.104129157867449e-06,8.13183838173642e-06,0.25674497851079414,1.988015184356511e-05
cubic,0.5,6,6,0.8327415129345204,7,3.2780775014831938,X1,0.26919837328260193,1.879255302357543e-05,0.5158978850092434,2.359805371143624,5.058924703773548e-06,9.695038358786626e-06,0.26919837328260193,1.879255302357543e-05
cubic,0.5,8,8,0.9976599102493886,8,4.536280426584288,Z1,0.11955222520825884,8.303473713583273e-05,0.9999999999999933,2.9273137526573914,9.926987594171647e-06,8.303473713583217e-05,0.11955222520825884,8.303473713583273e-05
cubic,0.5,10,10,0.6596617473370132,9,4.909863651453765,X1+Y1+Z1,0.1256237799807673,1.1901303441540883e-05,0.7383568154308453,1.983229342782812,1.4950867250244804e-06,8.787408508572285e-06,0.1256237799807673,1.1901303441540883e-05
cubic,0.5,9,9,0.6445023129105594,10,4.909863651453792,X1+Y2+Z1,0.16541745594651258,2.463723234426123e-06,0.7453070877467967,1.983229342782815,4.075428295950827e-07,1.836230388864252e-06,0.16541745594651258,2.463723234426123e-06
cubic,0.5,11,11,0.7680306590701756,11,4.90986365145382,X1+Y2+Z2,0.1305988144908227,6.346569738443483e-06,0.7372285252350963,1.9832293427828132,8.288544839240496e-07,4.67887224857438e-06,0.1305988144908227,6.346569738443483e-06
cubic,0.5,13,13,0.712520969545859,12,6.168066576554868,X1+Z2,0.10767498803441042,3.810203950451677e-05,0.5379039419241316,2.5507377242762646,4.102636647735477e-06,2.049523724482856e-05,0.10767498803441042,3.810203950451677e-05
cubic,0.5,12,12,0.682772408697724,13,6.168066576554889,X1+Y1,0.15904457432398708,4.70912127278981e-05,0.6299972150509205,2.5507377242959226,7.489601882708876e-06,2.9667332871946267e-05,0.15904457432398708,4.70912127278981e-05
cubic,0.5,15,15,0.7914633700656473,14,6.16806657655489,Y1+Z2,0.12121703806381723,4.882780535161907e-05,0.5469788179514705,2.550737719676979,5.918761939879867e-06,2.6707775254393085e-05,0.12121703806381723,4.882780535161907e-05
cubic,0.5,14,14,0.43557384546826133,15,6.168066576554914,X1+Z1,0.09574709483820407,3.72313763458721e-05,0.383694817622516,2.550737723760957,3.5647961219450833e-06,1.4285486156864651e-05,0.09574709483820407,3.72313763458721e-05
cubic,0.5,18,18,0.903767878770094,16,7.426269501655878,X1,0.13585436597738823,0.0001915676940937671,0.35010074926834084,3.118246105810352,2.602530762285899e-05,6.706799323783618e-05,0.13585436597738823,0.0001915676940937671
cubic,0.5,17,17,0.8110101963337227,17,7.426269501655925,Z1,0.13853979845081524,0.00017869525843905218,0.3502054348536285,3.11824610581035,2.4756405088262628e-05,6.258005068792979e-05,0.13853979845081524,0.00017869525843905218
cubic,0.5,16,16,0.900111788340574,18,7.426269501656027,Y1,0.26639049040329316,0.0001712600084958219,0.704523791779255,3.1182461058103508,4.562203764967415e-05,0.00012065675056562386,0.26639049040329316,0.0001712600084958219
cubic,0.5,19,19,0.7822411701289993,19,9.058055651626562,X1+Y2+Z1,0.12855607454314927,4.6642544937488476e-05,0.6996967662910542,2.741670077725014,5.996182483865958e-06,3.2635637864345865e-05,0.12855607454314927,4.6642544937488476e-05
cubic,0.5,20,20,0.3840996475704397,20,9.058055651626571,X1+Y1+Z1,0.12710832486302245,0.0001068523443754097,0.7317529573852631,2.7416700774497325,1.3581822501245126e-05,7.818951900025463e-05,0.12710832486302245,0.0001068523443754097
cubic,0.75,1,1,0.9975741161222534,1,1.0389731014242547,X1+Y1+Z1,0.12012441219939182,2.2872441826079544e-06,0.9999999999999968,1.0029052553242983,2.7475386299225895e-07,2.287244182607947e-06,0.12012441219939182,2.2872441826079544e-06
cubic,0.75,2,2,0.8871095350420466,2,2.4344210159215147,X1+Y1+Z1,0.12803996727038866,1.0522641284912338e-05,0.22128858869949267,1.532405915997792,1.3473186457182162e-06,2.328540439329267e-06,0.12803996727038866,1.0522641284912338e-05
