geometry,beta,local_mode_index,eigenvalue,variant,dominant_q,q_family,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,score_q_only,score_xyz_only
cubic,0.0,3,0.9607359798384988,y+_r1,X1+Y2+Z2,"3-axis:(1, 2, 2)",1.2696039655738785e-14,8.631113643049902e-15,0.16893890073566056,2.487990799941014,1.0958096108534962e-28,1.4581308509814131e-15,1.2696039655738785e-14,8.631113643049902e-15
cubic,0.0,3,0.9607359798384988,z+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",8.349590605609208e-15,7.983465475315686e-15,0.16893890073566056,2.487990799941014,6.66586683329013e-29,1.34871788146093e-15,8.349590605609208e-15,7.983465475315686e-15
cubic,0.0,3,0.9607359798384988,xy+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.6987350964183897e-14,9.63716190504451e-15,0.16893890073566056,2.487990799941014,1.6370985157965418e-28,1.628091538449804e-15,1.6987350964183897e-14,9.63716190504451e-15
cubic,0.0,3,0.9607359798384988,xz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.08061929324841e-14,7.579882259407862e-15,0.16893890073566056,2.487990799941014,8.190967010067485e-29,1.2805369766100993e-15,1.08061929324841e-14,7.579882259407862e-15
cubic,0.0,3,0.9607359798384988,yz+_r1,X1,"1-axis:(1,)",1.0326126920896552e-14,8.928813474014613e-15,0.16893890073566056,2.487990799941014,9.220006118568616e-29,1.5084239331737833e-15,1.0326126920896552e-14,8.928813474014613e-15
cubic,0.0,3,0.9607359798384988,xyz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",9.581361990167438e-15,8.71100930425308e-15,0.16893890073566056,2.487990799941014,8.346333344376536e-29,1.4716283361586268e-15,9.581361990167438e-15,8.71100930425308e-15
cubic,0.0,3,0.9607359798384988,base_r2,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.8979336926446688e-13,3.0765543710228574e-14,0.16893890073566056,2.487990799941014,5.839096198017508e-27,5.197497134940931e-15,1.8979336926446688e-13,3.0765543710228574e-14
cubic,0.0,3,0.9607359798384988,base_avg12,X1+Y2+Z1,"3-axis:(1, 1, 2)",6.876381705372201e-14,1.8932929125736793e-14,0.16893890073566056,2.487990799941014,1.30190047469325e-27,3.198508234208145e-15,6.876381705372201e-14,1.8932929125736793e-14
cubic,0.0,4,0.9607359798385471,base_r1,X1+Y2+Z1,"3-axis:(1, 1, 2)",6.921232214618994e-19,5.918539192690315e-17,0.17514371841436518,2.4879907999410187,4.0963584123933303e-35,1.0365949617889368e-17,6.921232214618994e-19,5.918539192690315e-17
cubic,0.0,4,0.9607359798385471,x+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",8.067904002318934e-19,7.038279103051733e-17,0.17514371841436518,2.4879907999410187,5.678416014494879e-35,1.2327103733466034e-17,8.067904002318934e-19,7.038279103051733e-17
