geometry,beta,perm_tag,perm,criterion,baseline_q,expected_q,observed_q,exact_match,baseline_family,observed_family,family_match
tet_1.10,1.5,XYZ,"(0, 1, 2)",consensus,X1+Y1+Z2,X1+Y1+Z2,X1+Y1+Z2,1,"1-axis:(1,)","1-axis:(1,)",1
tet_1.10,1.5,XZY,"(0, 2, 1)",consensus,X1+Y1+Z2,X1+Y2+Z1,X1+Y1+Z2,0,"1-axis:(1,)","3-axis:(1, 1, 2)",0
tet_1.10,1.5,ZXY,"(2, 0, 1)",consensus,X1+Y1+Z2,X2+Y1+Z1,X1,0,"1-axis:(1,)","1-axis:(1,)",1
tet_1.10,2.0,XYZ,"(0, 1, 2)",consensus,X1+Y1+Z1,X1+Y1+Z1,X1+Y1+Z1,1,"3-axis:(1, 1, 1)","3-axis:(1, 1, 1)",1
tet_1.10,2.0,XZY,"(0, 2, 1)",consensus,X1+Y1+Z1,X1+Y1+Z1,X1+Y2+Z1,0,"3-axis:(1, 1, 1)","3-axis:(1, 1, 2)",0
tet_1.10,2.0,ZXY,"(2, 0, 1)",consensus,X1+Y1+Z1,X1+Y1+Z1,X1+Y1+Z1,1,"3-axis:(1, 1, 1)","3-axis:(1, 1, 1)",1
tet_1.10,5.0,XYZ,"(0, 1, 2)",consensus,X1+Y2+Z2,X1+Y2+Z2,X1+Y2+Z2,1,"3-axis:(1, 2, 2)","3-axis:(1, 2, 2)",1
tet_1.10,5.0,XZY,"(0, 2, 1)",consensus,X1+Y2+Z2,X1+Y2+Z2,X1+Y2+Z1,0,"3-axis:(1, 2, 2)","3-axis:(1, 1, 2)",0
tet_1.10,5.0,ZXY,"(2, 0, 1)",consensus,X1+Y2+Z2,X2+Y1+Z2,X1+Y1+Z2,0,"3-axis:(1, 2, 2)","3-axis:(1, 1, 2)",0
tet_1.10,10.0,XYZ,"(0, 1, 2)",consensus,X1+Y2+Z2,X1+Y2+Z2,X1+Y2+Z2,1,"3-axis:(1, 2, 2)","3-axis:(1, 2, 2)",1
tet_1.10,10.0,XZY,"(0, 2, 1)",consensus,X1+Y2+Z2,X1+Y2+Z2,X1+Y1+Z1,0,"3-axis:(1, 2, 2)","3-axis:(1, 1, 1)",0
tet_1.10,10.0,ZXY,"(2, 0, 1)",consensus,X1+Y2+Z2,X2+Y1+Z2,X1+Y2+Z1,0,"3-axis:(1, 2, 2)","3-axis:(1, 1, 2)",0
tet_1.20,0.0,XYZ,"(0, 1, 2)",consensus,Y1,Y1,Y1,1,"1-axis:(1,)","1-axis:(1,)",1
tet_1.20,0.0,XZY,"(0, 2, 1)",consensus,Y1,Z1,Z1,1,"1-axis:(1,)","1-axis:(1,)",1
