geometry,beta,variant,criterion,local_mode_index,eigenvalue,dominant_q,q_family,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,criterion_value
cubic,0.0,base_avg12,score_q,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139926230951742,0.0004817122724298639,0.9999999999999909,3.713972400291809,7.293088269132268e-05
cubic,0.0,base_avg12,score_iso,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139926230951742,0.0004817122724298639,0.9999999999999909,3.713972400291809,0.0004817122724298595
cubic,0.0,base_avg12,q_only,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139926230951742,0.0004817122724298639,0.9999999999999909,3.713972400291809,0.15139926230951742
cubic,0.0,base_avg12,xyz_only,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139926230951742,0.0004817122724298639,0.9999999999999909,3.713972400291809,0.0004817122724298639
cubic,0.0,base_r1,score_q,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139921439940981,0.000112712200736694,0.9999999999999909,3.713972400291809,1.7064538644764054e-05
cubic,0.0,base_r1,score_iso,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139921439940981,0.000112712200736694,0.9999999999999909,3.713972400291809,0.00011271220073669298
cubic,0.0,base_r1,q_only,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139921439940981,0.000112712200736694,0.9999999999999909,3.713972400291809,0.15139921439940981
cubic,0.0,base_r1,xyz_only,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139921439940981,0.000112712200736694,0.9999999999999909,3.713972400291809,0.000112712200736694
cubic,0.0,base_r2,score_q,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139926419468325,0.0008507123441230338,0.9999999999999909,3.713972400291809,0.00012879722294156147
cubic,0.0,base_r2,score_iso,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139926419468325,0.0008507123441230338,0.9999999999999909,3.713972400291809,0.0008507123441230261
cubic,0.0,base_r2,q_only,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139926419468325,0.0008507123441230338,0.9999999999999909,3.713972400291809,0.15139926419468325
cubic,0.0,base_r2,xyz_only,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139926419468325,0.0008507123441230338,0.9999999999999909,3.713972400291809,0.0008507123441230338
cubic,0.0,x+_r1,score_q,8,2.882207939515427,X1,"1-axis:(1,)",0.15139921439940462,0.00011271220073669468,0.9999999999999909,3.713972400291809,1.706453864476357e-05
cubic,0.0,x+_r1,score_iso,8,2.882207939515427,X1,"1-axis:(1,)",0.15139921439940462,0.00011271220073669468,0.9999999999999909,3.713972400291809,0.00011271220073669365
cubic,0.0,x+_r1,q_only,8,2.882207939515427,X1,"1-axis:(1,)",0.15139921439940462,0.00011271220073669468,0.9999999999999909,3.713972400291809,0.15139921439940462
cubic,0.0,x+_r1,xyz_only,8,2.882207939515427,X1,"1-axis:(1,)",0.15139921439940462,0.00011271220073669468,0.9999999999999909,3.713972400291809,0.00011271220073669468
cubic,0.0,xy+_r1,score_q,8,2.882207939515427,X1,"1-axis:(1,)",0.1513992143994051,0.00011271220073669607,0.9999999999999909,3.713972400291809,1.7064538644763834e-05
cubic,0.0,xy+_r1,score_iso,8,2.882207939515427,X1,"1-axis:(1,)",0.1513992143994051,0.00011271220073669607,0.9999999999999909,3.713972400291809,0.00011271220073669504
cubic,0.0,xy+_r1,q_only,8,2.882207939515427,X1,"1-axis:(1,)",0.1513992143994051,0.00011271220073669607,0.9999999999999909,3.713972400291809,0.1513992143994051
cubic,0.0,xy+_r1,xyz_only,8,2.882207939515427,X1,"1-axis:(1,)",0.1513992143994051,0.00011271220073669607,0.9999999999999909,3.713972400291809,0.00011271220073669607
cubic,0.0,xyz+_r1,score_q,8,2.882207939515427,Y1,"1-axis:(1,)",0.1513992143994118,0.00011271220073669346,0.9999999999999909,3.713972400291809,1.7064538644764196e-05
cubic,0.0,xyz+_r1,score_iso,8,2.882207939515427,Y1,"1-axis:(1,)",0.1513992143994118,0.00011271220073669346,0.9999999999999909,3.713972400291809,0.00011271220073669243
cubic,0.0,xyz+_r1,q_only,8,2.882207939515427,Y1,"1-axis:(1,)",0.1513992143994118,0.00011271220073669346,0.9999999999999909,3.713972400291809,0.1513992143994118
cubic,0.0,xyz+_r1,xyz_only,8,2.882207939515427,Y1,"1-axis:(1,)",0.1513992143994118,0.00011271220073669346,0.9999999999999909,3.713972400291809,0.00011271220073669346
cubic,0.0,xz+_r1,score_q,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139921439940565,0.00011271220073669345,0.9999999999999909,3.713972400291809,1.70645386447635e-05
cubic,0.0,xz+_r1,score_iso,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139921439940565,0.00011271220073669345,0.9999999999999909,3.713972400291809,0.00011271220073669242
cubic,0.0,xz+_r1,q_only,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139921439940565,0.00011271220073669345,0.9999999999999909,3.713972400291809,0.15139921439940565
cubic,0.0,xz+_r1,xyz_only,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139921439940565,0.00011271220073669345,0.9999999999999909,3.713972400291809,0.00011271220073669345
cubic,0.0,y+_r1,score_q,8,2.882207939515427,X1,"1-axis:(1,)",0.15139921439941192,0.00011271220073669337,0.9999999999999909,3.713972400291809,1.7064538644764193e-05
cubic,0.0,y+_r1,score_iso,8,2.882207939515427,X1,"1-axis:(1,)",0.15139921439941192,0.00011271220073669337,0.9999999999999909,3.713972400291809,0.00011271220073669234
cubic,0.0,y+_r1,q_only,8,2.882207939515427,X1,"1-axis:(1,)",0.15139921439941192,0.00011271220073669337,0.9999999999999909,3.713972400291809,0.15139921439941192
cubic,0.0,y+_r1,xyz_only,8,2.882207939515427,X1,"1-axis:(1,)",0.15139921439941192,0.00011271220073669337,0.9999999999999909,3.713972400291809,0.00011271220073669337
cubic,0.0,yz+_r1,score_q,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139921439940998,0.00011271220073669441,0.9999999999999909,3.713972400291809,1.7064538644764132e-05
cubic,0.0,yz+_r1,score_iso,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139921439940998,0.00011271220073669441,0.9999999999999909,3.713972400291809,0.00011271220073669338
cubic,0.0,yz+_r1,q_only,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139921439940998,0.00011271220073669441,0.9999999999999909,3.713972400291809,0.15139921439940998
cubic,0.0,yz+_r1,xyz_only,8,2.882207939515427,Z1,"1-axis:(1,)",0.15139921439940998,0.00011271220073669441,0.9999999999999909,3.713972400291809,0.00011271220073669441
cubic,0.0,z+_r1,score_q,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139921439940496,0.00011271220073669387,0.9999999999999909,3.713972400291809,1.7064538644763485e-05
cubic,0.0,z+_r1,score_iso,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139921439940496,0.00011271220073669387,0.9999999999999909,3.713972400291809,0.00011271220073669284
cubic,0.0,z+_r1,q_only,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139921439940496,0.00011271220073669387,0.9999999999999909,3.713972400291809,0.15139921439940496
cubic,0.0,z+_r1,xyz_only,8,2.882207939515427,Y1,"1-axis:(1,)",0.15139921439940496,0.00011271220073669387,0.9999999999999909,3.713972400291809,0.00011271220073669387
cubic,1.0,base_avg12,score_q,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101504237803346,0.00024302754119816846,0.9999999999999979,2.293401573286693,1.9688886549198893e-05
cubic,1.0,base_avg12,score_iso,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101504237803346,0.00024302754119816846,0.9999999999999979,2.293401573286693,0.00024302754119816795
cubic,1.0,base_avg12,q_only,8,5.806688711161008,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.2281241772218131,3.065150647141511e-05,0.7564492298499127,1.618863166238368,0.2281241772218131
cubic,1.0,base_avg12,xyz_only,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101504237803346,0.00024302754119816846,0.9999999999999979,2.293401573286693,0.00024302754119816846
cubic,1.0,base_r1,score_q,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101503670650692,5.9990325044728194e-05,0.9999999999999979,2.293401573286693,4.860118385533936e-06
cubic,1.0,base_r1,score_iso,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101503670650692,5.9990325044728194e-05,0.9999999999999979,2.293401573286693,5.9990325044728065e-05
cubic,1.0,base_r1,q_only,8,5.806688711161008,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.228121801343781,7.5824478610193525e-06,0.7564492298499127,1.618863166238368,0.228121801343781
cubic,1.0,base_r1,xyz_only,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101503670650692,5.9990325044728194e-05,0.9999999999999979,2.293401573286693,5.9990325044728194e-05
cubic,1.0,base_r2,score_q,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101504262630599,0.00042606475735160876,0.9999999999999979,2.293401573286693,3.45176544784073e-05
cubic,1.0,base_r2,score_iso,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101504262630599,0.00042606475735160876,0.9999999999999979,2.293401573286693,0.00042606475735160784
cubic,1.0,base_r2,q_only,8,5.806688711161008,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.22812428167365034,5.372056508181087e-05,0.7564492298499127,1.618863166238368,0.22812428167365034
cubic,1.0,base_r2,xyz_only,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101504262630599,0.00042606475735160876,0.9999999999999979,2.293401573286693,0.00042606475735160876
cubic,1.0,x+_r1,score_q,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101503670650534,5.999032504472765e-05,0.9999999999999979,2.293401573286693,4.860118385533797e-06
cubic,1.0,x+_r1,score_iso,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101503670650534,5.999032504472765e-05,0.9999999999999979,2.293401573286693,5.999032504472752e-05
cubic,1.0,x+_r1,q_only,8,5.806688711161008,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.2281218013438664,7.582447861021524e-06,0.7564492298499127,1.618863166238368,0.2281218013438664
cubic,1.0,x+_r1,xyz_only,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101503670650534,5.999032504472765e-05,0.9999999999999979,2.293401573286693,5.999032504472765e-05
cubic,1.0,xy+_r1,score_q,10,5.835146226848589,X1,"1-axis:(1,)",0.08101503670650544,5.999032504472873e-05,0.9999999999999979,2.293401573286693,4.86011838553389e-06
cubic,1.0,xy+_r1,score_iso,10,5.835146226848589,X1,"1-axis:(1,)",0.08101503670650544,5.999032504472873e-05,0.9999999999999979,2.293401573286693,5.99903250447286e-05
cubic,1.0,xy+_r1,q_only,8,5.806688711161008,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.22812180134378993,7.5824478610186105e-06,0.7564492298499127,1.618863166238368,0.22812180134378993
cubic,1.0,xy+_r1,xyz_only,10,5.835146226848589,X1,"1-axis:(1,)",0.08101503670650544,5.999032504472873e-05,0.9999999999999979,2.293401573286693,5.999032504472873e-05
cubic,1.0,xyz+_r1,score_q,10,5.835146226848589,X1,"1-axis:(1,)",0.08101503670650319,5.9990325044727726e-05,0.9999999999999979,2.293401573286693,4.860118385533674e-06
cubic,1.0,xyz+_r1,score_iso,10,5.835146226848589,X1,"1-axis:(1,)",0.08101503670650319,5.9990325044727726e-05,0.9999999999999979,2.293401573286693,5.99903250447276e-05
cubic,1.0,xyz+_r1,q_only,8,5.806688711161008,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.22812180134394072,7.5824478610223425e-06,0.7564492298499127,1.618863166238368,0.22812180134394072
cubic,1.0,xyz+_r1,xyz_only,10,5.835146226848589,X1,"1-axis:(1,)",0.08101503670650319,5.9990325044727726e-05,0.9999999999999979,2.293401573286693,5.9990325044727726e-05
cubic,1.0,xz+_r1,score_q,10,5.835146226848589,Z1,"1-axis:(1,)",0.0810150367065064,5.9990325044728885e-05,0.9999999999999979,2.293401573286693,4.860118385533961e-06
cubic,1.0,xz+_r1,score_iso,10,5.835146226848589,Z1,"1-axis:(1,)",0.0810150367065064,5.9990325044728885e-05,0.9999999999999979,2.293401573286693,5.9990325044728756e-05
cubic,1.0,xz+_r1,q_only,8,5.806688711161008,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.22812180134378002,7.5824478610221e-06,0.7564492298499127,1.618863166238368,0.22812180134378002
cubic,1.0,xz+_r1,xyz_only,10,5.835146226848589,Z1,"1-axis:(1,)",0.0810150367065064,5.9990325044728885e-05,0.9999999999999979,2.293401573286693,5.9990325044728885e-05
cubic,1.0,y+_r1,score_q,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101503670650892,5.9990325044726635e-05,0.9999999999999979,2.293401573286693,4.860118385533929e-06
cubic,1.0,y+_r1,score_iso,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101503670650892,5.9990325044726635e-05,0.9999999999999979,2.293401573286693,5.9990325044726506e-05
cubic,1.0,y+_r1,q_only,8,5.806688711161008,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.22812180134392016,7.582447861022714e-06,0.7564492298499127,1.618863166238368,0.22812180134392016
cubic,1.0,y+_r1,xyz_only,10,5.835146226848589,Y1,"1-axis:(1,)",0.08101503670650892,5.9990325044726635e-05,0.9999999999999979,2.293401573286693,5.9990325044726635e-05
