y,double_slit_intensity,double_slit_intensity_norm,one_slit_intensity,one_slit_intensity_norm
-0.36,0.00012311105766070186,0.02609681371021961,3.483926229461437e-07,0.0002758158290922664
-0.35928,0.00012226817915266338,0.025918142160948617,3.8214655677218506e-07,0.00030253817804623453
-0.35856,0.0001213224931499713,0.02571767770300663,4.2634437423522336e-07,0.0003375287515105901
-0.35784,0.0001202782524290922,0.025496321830681064,4.811046047248773e-07,0.00038088138695408603
-0.35712,0.00011914008841993077,0.025255056304389973,5.465455808574477e-07,0.0004326897660637732
-0.3564,0.00011791299828681101,0.024994940412136558,6.227854261645174e-07,0.0004930474049982986
-0.35568,0.00011660233072928592,0.02471710795959579,7.099420427579712e-07,0.0005620476446225352
-0.35496,0.0001152137705401964,0.024422763996765358,8.081330989732463e-07,0.0006397836407249786
-0.35424,0.00011375332196260479,0.024113181290004733,9.174760169910698e-07,0.0007263483542181106
-0.35352,0.00011222729089134716,0.023789696549158995,1.0380879604399648e-06,0.0008218345413235393
-0.3528,0.0001106422659689677,0.0234537064203162,1.170085821979904e-06,0.0009263347437422125
-0.35208,0.00010900509862966337,0.02310666325556627,1.3135862108688493e-06,0.0010399412788110838
-0.35136,0.00010732288214864267,0.022750070671929714,1.4687054405131968e-06,0.0011627462296470352
-0.35064,0.00010560292975787065,0.022385478912380952,1.6355595160034419e-06,0.0012948414352791009
-0.34992,0.00010385275189263669,0.02201448002262533,1.8142641216361926e-06,0.0014363184807698807
-0.3492,0.00010208003263663313,0.021638702857978233,2.004934608423955e-06,0.0015872686873272747
-0.34848,0.00010029260543631277,0.0212598079353475,2.2076859815938086e-06,0.0017477831024074223
-0.34776,9.849842815819665e-05,0.020879482145935883,2.4226328880764233e-06,0.0019179524898099935
-0.34704,9.670555756545856e-05,0.02049943334484308,2.6498896039863206e-06,0.0020978673197665494
-0.34631999999999996,9.492212329260521e-05,0.020121384834275117,2.889570022094786e-06,0.0022876177590230857
-0.34559999999999996,9.315630139929188e-05,0.01974706975753985,3.141787639297201e-06,0.002487293660918154
-0.34487999999999996,9.141628758634068e-05,0.019378225421436877,3.4066555440753326e-06,0.0026969845554570006
-0.34415999999999997,8.971027015878165e-05,0.01901658756502191,3.684286403955962e-06,0.0029167796393827932
-0.34343999999999997,8.804640282226833e-05,0.01866388459305022,3.974792452967904e-06,0.003146767766246587
-0.34271999999999997,8.64327774004768e-05,0.01832183179267037,4.2782854790973534e-06,0.003387037436475956
-0.34199999999999997,8.487739656211115e-05,0.017992125552154247,4.594876811744473e-06,0.0036376767874446167
-0.34128,8.338814664685955e-05,0.01767643760060246,4.924677309181142e-06,0.003898773583542961
-0.34056,8.197277068013735e-05,0.017376409287668374,5.267797346011387e-06,0.004170415206250721
-0.33984,8.063884166662203e-05,0.017093645922379875,5.624346800637004e-06,0.004452688644213735
-0.33912,7.939373625252057e-05,0.016829711190124188,5.994435042727556e-06,0.004745680483324187
-0.3384,7.824460884613162e-05,0.01658612166678105,6.378170920698338e-06,0.005049476896807147
-0.33768,7.719836628563374e-05,0.016364341448855655,6.775662749195733e-06,0.005364163635312968
-0.33696,7.626164314209352e-05,0.016165776918264152,7.187018296592286e-06,0.005689826017017366
-0.33624,7.544077774449181e-05,0.015991771660170954,7.612344772492558e-06,0.006026548917730049
-0.33552,7.474178901207682e-05,0.01584360155196142,8.051748815250871e-06,0.006374416761012748
-0.3348,7.417035417757972e-05,0.015722470041057656,8.505336479502775e-06,0.00673351350830812
-0.33408,7.373178748281372e-05,0.015629503628858045,8.973213223710766e-06,0.007103922649079928
-0.33336,7.343101992583694e-05,0.015565747577584946,9.45548389772644e-06,0.00748572719096623
-0.33264,7.327258013631186e-05,0.015532161856285094,9.95225273036932e-06,0.007879009649945777
-0.33192,7.326057645284154e-05,0.01552961734162237,1.0463623317025102e-05,0.008283852040519776
-0.3312,7.339868027296703e-05,0.01555889228844654,1.0989698607263247e-05,0.00870033586590898
-0.33048,7.369011074318752e-05,0.015620669084417107,1.153058089247589e-05,0.009128542108267638
-0.32976,7.413762085276256e-05,0.015715531302197792,1.2086371793539578e-05,0.00956855121891553
-0.32904,7.474348499126046e-05,0.015843961061932765,1.2657172248500501e-05,0.010020443108588599
-0.32832,7.550948802577306e-05,0.01600633671585844,1.3243082500285627e-05,0.01048429713771009
-0.3276,7.643691594947214e-05,0.016202930866004845,1.384420208443912e-05,0.010960192106681702
-0.32688,7.75265481487342e-05,0.01643390872499757,1.4460629816887952e-05,0.011448206246197863
-0.32616,7.877865133142378e-05,0.016699326828988514,1.5092463781735488e-05,0.01194841720758213
-0.32544,8.019297515410403e-05,0.016999132110721495,1.573980131908646e-05,0.012460902053148464
-0.32472,8.176874958096523e-05,0.017333161339683694,1.6402739012903444e-05,0.012985737246587426
-0.324,8.350468400213472e-05,0.01770114093520689,1.7081372678895693e-05,0.013522998643377998
-0.32328,8.539896813373943e-05,0.01810268715726078,1.777579735244356e-05,0.01407276148122758
-0.32256,8.744927471672987e-05,0.01853730667854378,1.8486107276557557e-05,0.014635100370539403
-0.32184,8.965276402593948e-05,0.01900439754030363,1.9212395889875483e-05,0.015210089284910081
-0.32111999999999996,9.200609019528047e-05,0.019503250493138592,1.9954755814697466e-05,0.015797801551657185
-0.3204,9.450540935929699e-05,0.020033050722826174,2.0713278845059466e-05,0.016398309842377265
-0.31967999999999996,9.714638960555922e-05,0.020592879960009924,2.1488055934850418e-05,0.017011686163538403
-0.31896,9.992422272660624e-05,0.021181718971350676,2.2279177185968698e-05,0.017638001847103926
-0.31823999999999997,0.00010283363775435491,0.02179845042852105,2.308673183652458e-05,0.01827732754119251
-0.31751999999999997,0.00010586891625404704,0.022441862150183036,2.391080824908592e-05,0.018929733200772514
-0.31679999999999997,0.00010902390934903278,0.02311065071086449,2.4751493898971018e-05,0.019595288078393655
-0.31607999999999997,0.0001122920564418745,0.023803425409417916,2.5608875362588557e-05,0.020274060714955966
-0.31536,0.00011566640559153987,0.024518712588533463,2.6483038305826088e-05,0.02096611893051717
-0.31464,0.00011913963550074801,0.025254960295568646,2.737406747248922e-05,0.021671529815140218
-0.31392,0.00012270407906193987,0.02601054327377182,2.8282046672792172e-05,0.022390359719781466
-0.3132,0.000126351748404836,0.026783768271808905,2.920705877189997e-05,0.02312267424721977
