x,y,u_abs,u_abs_norm,carrier_ge_075,transition_077_085
0.0,-0.36,0.0,0.0,0,0
0.0,-0.3497142857142857,0.0,0.0,0,0
0.0,-0.3394285714285714,0.0,0.0,0,0
0.0,-0.3291428571428571,0.0,0.0,0,0
0.0,-0.31885714285714284,0.0,0.0,0,0
0.0,-0.30857142857142855,0.0,0.0,0,0
0.0,-0.29828571428571427,0.0,0.0,0,0
0.0,-0.288,0.0,0.0,0,0
0.0,-0.2777142857142857,0.0,0.0,0,0
0.0,-0.2674285714285714,0.0,0.0,0,0
0.0,-0.2571428571428571,0.0,0.0,0,0
0.0,-0.24685714285714283,0.0,0.0,0,0
0.0,-0.23657142857142857,0.0,0.0,0,0
0.0,-0.22628571428571428,0.0,0.0,0,0
0.0,-0.216,0.0,0.0,0,0
0.0,-0.2057142857142857,0.0,0.0,0,0
0.0,-0.19542857142857142,0.0,0.0,0,0
0.0,-0.18514285714285714,0.0,0.0,0,0
0.0,-0.17485714285714285,0.0,0.0,0,0
0.0,-0.16457142857142856,0.0,0.0,0,0
0.0,-0.15428571428571428,0.0,0.0,0,0
0.0,-0.144,0.0,0.0,0,0
0.0,-0.1337142857142857,0.0,0.0,0,0
0.0,-0.12342857142857142,0.0,0.0,0,0
0.0,-0.11314285714285716,0.0,0.0,0,0
0.0,-0.10285714285714287,0.0,0.0,0,0
0.0,-0.09257142857142858,0.0,0.0,0,0
0.0,-0.0822857142857143,0.0,0.0,0,0
0.0,-0.07200000000000001,0.0,0.0,0,0
0.0,-0.06171428571428572,0.0,0.0,0,0
0.0,-0.051428571428571435,0.0,0.0,0,0
0.0,-0.04114285714285715,0.0,0.0,0,0
0.0,-0.03085714285714286,0.0,0.0,0,0
0.0,-0.020571428571428574,0.0,0.0,0,0
0.0,-0.010285714285714287,0.0,0.0,0,0
0.0,0.0,0.0,0.0,0,0
0.0,0.010285714285714287,0.0,0.0,0,0
0.0,0.020571428571428574,0.0,0.0,0,0
0.0,0.03085714285714286,0.0,0.0,0,0
0.0,0.04114285714285715,0.0,0.0,0,0
0.0,0.051428571428571435,0.0,0.0,0,0
