case,visibility,fringes,Trel,corr_incoh,asym
coherent_base,0.9785080712426684,5,1.0,0.7695065310745922,0.0
static_spatial_profile,0.9736585966246979,5,0.9176239608699921,0.7706977395430525,0.07909824653836163
stochastic_robin_profile,0.564950630281591,5,0.9165063538970465,0.8996560303226951,-0.0019304843767812617
path_marking_mu_0.50,0.5222541041350758,5,1.0,0.9235987499828396,0.0
incoherent_reference,0.9997374572649788,1,1.0,1.0,0.0
