parameter,value
V0,1.0094051134789226
a_sigma,0.17562016243524733
b_sigma2,0.18648903323350435
r2_new,0.9094278940199659
mae_new,0.059681092571906
rmse_new,0.08219516347207469
r2_old_mult,0.8063981101387664
mae_old_mult,0.06994502902314068
rmse_old_mult,0.12017214875394071
