mu_overlap,sigma_phase,visibility,fringes,Trel,corr_incoh,asym,visibility_pred_mult,interaction_visibility
0.0,0.0,0.0,0.0,0.8875167631105644,0.9998121637134918,0.00754834581565958,0.0,0.0
0.0,0.39999999999999997,0.0,0.0,0.9277557813237048,0.9994183449773769,0.021724725698109366,0.0,0.0
0.0,0.7999999999999999,0.0,0.0,0.9015778770654779,0.9922889236055031,0.09420836336480964,0.0,0.0
0.0,1.2,0.0,0.0,0.9304013465930034,0.9992205300230362,0.01531129030251333,0.0,0.0
0.0,1.5999999999999999,0.0,0.0,0.9062090812585885,0.9837806439573693,0.12699947965703504,0.0,0.0
0.0,1.9999999999999998,0.0,0.0,0.9192399181047727,0.9954592380269836,0.006814973937274288,0.0,0.0
0.0,2.4,0.0,0.0,0.932387093159213,0.9795816484082972,-0.12925974812547456,0.0,0.0
0.19999999999999996,0.0,0.23646069678319312,3.0,0.925243890617007,0.9851254443131596,0.011945144954938305,0.23602809408686118,0.0004326026963319407
0.19999999999999996,0.39999999999999997,0.21492589503397502,3.0,0.9183322940756049,0.9802021165403628,0.09677573161642841,0.22950746817121856,-0.014581573137243536
0.19999999999999996,0.7999999999999999,0.22023719793587665,4.0,0.928920251907966,0.9830911286918336,-0.031753800543188694,0.21202785721480916,0.008209340721067493
0.19999999999999996,1.2,0.19038510502612552,3.0,0.9316657908438684,0.983742693660363,-0.07075134208796162,0.21050739739320365,-0.020122292367078132
0.19999999999999996,1.5999999999999999,0.013869008110158908,2.0,0.9073985285167139,0.9460631045101371,0.1199071912426581,0.14607241875869653,-0.13220341064853763
0.19999999999999996,1.9999999999999998,0.13083249738052305,2.0,0.9207301833417373,0.9847606721701595,-0.07013244240333623,0.13051287947718,0.0003196179033430613
0.19999999999999996,2.4,0.16161461898761453,3.0,0.92711324146276,0.979378157948711,-0.036353736197718436,0.06620662562441475,0.09540799336319979
0.3999999999999999,0.0,0.4285651329567189,5.0,0.918702583590775,0.9446881782622183,0.01614808707485467,0.4261008337020954,0.002464299254623492
0.3999999999999999,0.39999999999999997,0.3850227606979539,5.0,0.9125604470125142,0.9488070180551105,0.06950264296691852,0.41432916664837466,-0.029306405950420777
0.3999999999999999,0.7999999999999999,0.36681110170485914,5.0,0.9244122593206557,0.9379267498301884,-0.14134754388393359,0.3827732756849313,-0.01596217398007216
0.3999999999999999,1.2,0.22916540846955838,4.0,0.9124027417631595,0.975147531178054,-0.008353805604385235,0.3800283939787805,-0.15086298550922214
0.3999999999999999,1.5999999999999999,0.15772272652123542,4.0,0.9065493481393438,0.9640255855542623,0.009738659365966133,0.2637041139308464,-0.105981387409611
0.3999999999999999,1.9999999999999998,0.0,0.0,0.917845417233622,0.9863935545830607,0.10982038961075281,0.2356145227932982,-0.2356145227932982
0.3999999999999999,2.4,0.053385547849472394,5.0,0.914172747945462,0.9714562181352173,0.011212200646495448,0.11952262922050184,-0.06613708137102944
0.6,0.0,0.6054394039741845,4.0,0.9298184409713484,0.8867369173163483,0.020680220729278553,0.6025525477394877,0.0028868562346967552
0.6,0.39999999999999997,0.5939588106893834,4.0,0.9183157569372592,0.888110051802975,0.06326509313737769,0.5859061405669558,0.008052670122427608
0.6,0.7999999999999999,0.5492153744522011,4.0,0.9147282576448006,0.8981339025375705,0.0997792851612421,0.5412827064116831,0.007932668040518065
0.6,1.2,0.5476523137694325,5.0,0.9354525702001663,0.9002743520760949,-0.04238156867175534,0.5374011475540889,0.01025116621534361
0.6,1.5999999999999999,0.1547419788600299,3.0,0.9129226558982433,0.9836878069423676,0.06839156565175913,0.3729060661953694,-0.2181640873353395
0.6,1.9999999999999998,0.2683417126374265,4.0,0.9198410093925585,0.9579090375109925,0.022136632995437087,0.3331843539475039,-0.06484264131007739
0.6,2.4,0.2785346182301571,4.0,0.9256619014651116,0.9351856268252957,-0.16896363069475173,0.16901789213509671,0.10951672609506041
0.8,0.0,0.7848315872285094,4.0,0.9049700792319296,0.8220131741537848,0.029552900815822406,0.7830443057187954,0.0017872815097140782
0.8,0.39999999999999997,0.7752150512611403,4.0,0.9321658314422535,0.8233146189903792,0.016215375439078306,0.7614115462258203,0.013803505035320018
0.8,0.7999999999999999,0.6804924298293566,4.0,0.9253478677126932,0.8574269473113115,0.01752591446022092,0.7034213740026817,-0.022928944173325028
0.8,1.2,0.2103752962238812,4.0,0.9017820946594771,0.970135432114386,0.13166311859342922,0.6983771125981717,-0.4880018163742905
0.8,1.5999999999999999,0.42976150662924834,4.0,0.9126250133088313,0.9049326727123966,0.09824689600982892,0.4846083097611042,-0.05484680313185586
0.8,1.9999999999999998,0.37570486037944906,4.0,0.9234577825218827,0.9071394596031747,0.17294397035171474,0.43298814699558336,-0.0572832866161343
0.8,2.4,0.07828360727526475,3.0,0.9029032380754863,0.9577390197029456,0.06791560085682682,0.21964640013139838,-0.14136279285613362
1.0,0.0,0.9646108897020513,4.0,0.9103530567180581,0.7558975292114593,0.032729981646679146,0.9584127182148373,0.0061981714872140214
1.0,0.39999999999999997,0.8732836748398721,4.0,0.900826209519241,0.7804574590460712,-0.08564983961465385,0.9319351464136886,-0.05865147157381645
